Year,Ward,WD12CD,WD12CDO,Candidate,Party,Votes,Result
2011,Bathavon North,E05001936,00HANQ,Geoff Ward,Conservative Party,1289,Elected
2011,Bathavon North,E05001936,00HANQ,Alison Millar,Liberal Democrats,1237,Not elected
2011,Bathavon North,E05001936,00HANQ,Eve Strasburger,Liberal Democrats,855,Not elected
2011,Bathavon North,E05001936,00HANQ,Charlotte Moore,Liberal Democrats,826,Not elected
2011,Bathavon North,E05001936,00HANQ,Anne Brown,Labour Party,591,Not elected
2011,Bathavon North,E05001936,00HANQ,Justin Christopher Temblett-Wood,Green Party,572,Not elected
2011,Bathavon North,E05001936,00HANQ,Derek William Brown,Labour Party,567,Not elected
2007,Bathavon North,E05001936,00HANQ,Gabriel Batt,Conservative Party,1524,Elected
2007,Bathavon North,E05001936,00HANQ,Ian Dewey,Conservative Party,1522,Elected
2007,Bathavon North,E05001936,00HANQ,Martin Veal,Conservative Party,1517,Elected
2007,Bathavon North,E05001936,00HANQ,Katherine Frances Hall,Liberal Democrats,549,Not elected
2007,Bathavon North,E05001936,00HANQ,Anna Habermann,Liberal Democrats,523,Not elected
2007,Bathavon North,E05001936,00HANQ,Justin Christopher Tremblett-Wood,Green Party,512,Not elected
2007,Bathavon North,E05001936,00HANQ,John Peter Munro,Liberal Democrats,464,Not elected
2007,Bathavon North,E05001936,00HANQ,David Walter Lavington,Labour Party,341,Not elected
2007,Bathavon North,E05001936,00HANQ,Anne Brown,Labour Party,306,Not elected
2007,Bathavon North,E05001936,00HANQ,Derek William Brown,Labour Party,274,Not elected
2003,Bathavon North,E05001936,00HANQ,William Anthony Cox,Conservative Party,1280,Elected
2003,Bathavon North,E05001936,00HANQ,Ian Dewey,Conservative Party,1265,Elected
2003,Bathavon North,E05001936,00HANQ,Martin Veal,Conservative Party,1239,Elected
2003,Bathavon North,E05001936,00HANQ,David Walter Lavington,Liberal Democrats,363,Not elected
2003,Bathavon North,E05001936,00HANQ,Shirley Ann Wilkins,Liberal Democrats,346,Not elected
2003,Bathavon North,E05001936,00HANQ,Lawrence Aggleton,Liberal Democrats,330,Not elected
2003,Bathavon North,E05001936,00HANQ,Courtney Dale Lane,Liberal Democrats,317,Not elected
2003,Bathavon North,E05001936,00HANQ,Derek William Brown,Labour Party,293,Not elected
2003,Bathavon North,E05001936,00HANQ,Hendrik Bebber,Labour Party,290,Not elected
2003,Bathavon North,E05001936,00HANQ,Michael Boulton,Green Party,223,Not elected
2003,Bathavon North,E05001936,00HANQ,Adrian Philip Shute,Independent,195,Not elected
2015,Bathavon North,E05001936,00HANQ,Ian Cooper,Conservative Party,1501,Not elected
2015,Bathavon North,E05001936,00HANQ,Geoff Ward,Conservative Party,1765,Elected
2015,Bathavon North,E05001936,00HANQ,Martin Veal,Conservative Party,1971,Elected
2015,Bathavon North,E05001936,00HANQ,Justin Christopher Temblett-Wood,Green Party,788,Not elected
2015,Bathavon North,E05001936,00HANQ,Hendrik Bebber,Labour Party,673,Not elected
2015,Bathavon North,E05001936,00HANQ,Alex Jovcic-Sas,Labour Party,394,Not elected
2015,Bathavon North,E05001936,00HANQ,Andrew Robert Pottage,Labour Party,406,Not elected
2015,Bathavon North,E05001936,00HANQ,Dorian Baker,Liberal Democrats,1286,Not elected
2015,Bathavon North,E05001936,00HANQ,Alison Millar,Liberal Democrats,1544,Elected
2015,Bathavon North,E05001936,00HANQ,Vito Pecchia,Liberal Democrats,1305,Not elected
2015,Bathavon North,E05001936,00HANQ,Dan Evans,UK Independence Party,288,Not elected
2011,Bathavon South,E05001937,00HANR,Trelawny Neilson Butters,Liberal Democrats,680,Elected
2011,Bathavon South,E05001937,00HANR,Harvey Haeberling,Conservative Party,478,Not elected
2011,Bathavon South,E05001937,00HANR,David Walter Lavington,Labour Party,116,Not elected
2011,Bathavon South,E05001937,00HANR,Hugh Golden Prentice,Green Party,105,Not elected
2007,Bathavon South,E05001937,00HANR,Neil Butters,Liberal Democrats,502,Elected
2007,Bathavon South,E05001937,00HANR,Harvey Nicholas Haeberling,Conservative Party,405,Not elected
2007,Bathavon South,E05001937,00HANR,Janet Plater,Green Party,189,Not elected
2003,Bathavon South,E05001937,00HANR,Brigitte Dawson,Liberal Democrats,660,Elected
2003,Bathavon South,E05001937,00HANR,John Doran,Conservative Party,379,Not elected
2015,Bathavon South,E05001937,00HANR,Johnny Kidney,Conservative Party,644,Not elected
2015,Bathavon South,E05001937,00HANR,Hugh Golden Prentice,Green Party,177,Not elected
2015,Bathavon South,E05001937,00HANR,Jordan Ness,Labour Party,127,Not elected
2015,Bathavon South,E05001937,00HANR,Neil Butters,Liberal Democrats,860,Elected
2011,Bathavon West,E05001938,00HANS,David John Veale,Conservative Party,493,Elected
2011,Bathavon West,E05001938,00HANS,Louise Bray,Liberal Democrats,437,Not elected
2007,Bathavon West,E05001938,00HANS,Victor Clarke,Conservative Party,450,Elected
2007,Bathavon West,E05001938,00HANS,Louise Bray,Liberal Democrats,378,Not elected
2003,Bathavon West,E05001938,00HANS,Rosemary Rea Todd,Liberal Democrats,434,Elected
2003,Bathavon West,E05001938,00HANS,Paul Baines,Conservative Party,242,Not elected
2015,Bathavon West,E05001938,00HANS,David Veale,Conservative Party,712,Elected
2015,Bathavon West,E05001938,00HANS,Marilyn Deacon,Independent,110,Not elected
2015,Bathavon West,E05001938,00HANS,George James Oram,Green Party,328,Not elected
2015,Bathavon West,E05001938,00HANS,William Hobhouse,Liberal Democrats,388,Not elected
2011,Bathwick,E05001939,00HANT,Nicholas John Coombes,Liberal Democrats,740,Elected
2011,Bathwick,E05001939,00HANT,David John Martin,Liberal Democrats,657,Elected
2011,Bathwick,E05001939,00HANT,Tony Hickman,Conservative Party,528,Not elected
2011,Bathwick,E05001939,00HANT,Johnny Kidney,Conservative Party,528,Not elected
2011,Bathwick,E05001939,00HANT,Katharine Anne Miles,Green Party,155,Not elected
2011,Bathwick,E05001939,00HANT,Peter Marsh,Labour Party,153,Not elected
2011,Bathwick,E05001939,00HANT,Jenny Rust,Green Party,124,Not elected
2007,Bathwick,E05001939,00HANT,Nicholas Coombes,Liberal Democrats,740,Elected
2007,Bathwick,E05001939,00HANT,Armand Edwards,Liberal Democrats,712,Elected
2007,Bathwick,E05001939,00HANT,John Anthony Bailey,Conservative Party,614,Not elected
2007,Bathwick,E05001939,00HANT,Sir Elgar Jenkins,Conservative Party,439,Not elected
2007,Bathwick,E05001939,00HANT,Jeremy John Ames Payne,Independent,367,Not elected
2007,Bathwick,E05001939,00HANT,Lesley Annette Martin,Independent,288,Not elected
2007,Bathwick,E05001939,00HANT,Jenny Rust,Green Party,214,Not elected
2007,Bathwick,E05001939,00HANT,Anthony Peter Schlesinger,Labour Party,83,Not elected
2003,Bathwick,E05001939,00HANT,John Anthony Bailey,Conservative Party,687,Elected
2003,Bathwick,E05001939,00HANT,Sir Elgar Jenkins,Conservative Party,645,Elected
2003,Bathwick,E05001939,00HANT,Nicolette Helen Marie Rattle,Liberal Democrats,529,Not elected
2003,Bathwick,E05001939,00HANT,Kenneth David Drain,Liberal Democrats,506,Not elected
2003,Bathwick,E05001939,00HANT,Ryan Thomas Jones,Labour Party,78,Not elected
2015,Bathwick,E05001939,00HANT,Steve Jeffries,Conservative Party,966,Elected
2015,Bathwick,E05001939,00HANT,Matt Cochrane,Conservative Party,1121,Elected
2015,Bathwick,E05001939,00HANT,Matt Benka,Green Party,584,Not elected
2015,Bathwick,E05001939,00HANT,Samuel Marlow-Stevens,Labour Party,287,Not elected
2015,Bathwick,E05001939,00HANT,Saiful Islam,Labour Party,357,Not elected
2015,Bathwick,E05001939,00HANT,David Martin,Liberal Democrats,797,Not elected
2015,Bathwick,E05001939,00HANT,Claire Jackson,Liberal Democrats,826,Not elected
2011,Chew Valley North,E05001940,00HANU,Malcolm Charles Hanney,Conservative Party,672,Elected
2011,Chew Valley North,E05001940,00HANU,Nicholas John Evan Roberts,Liberal Democrats,122,Not elected
2011,Chew Valley North,E05001940,00HANU,Hattie Ajderian,Labour Party,117,Not elected
2007,Chew Valley North,E05001940,00HANU,Malcolm Hanney,Conservative Party,710,Elected
2007,Chew Valley North,E05001940,00HANU,Robert Ball,Liberal Democrats,137,Not elected
2003,Chew Valley North,E05001940,00HANU,Malcolm Hanney,Conservative Party,675,Elected
2003,Chew Valley North,E05001940,00HANU,Anne Ledbetter,Liberal Democrats,118,Not elected
2015,Chew Valley North,E05001940,00HANU,Liz Richardson,Conservative Party,969,Elected
2015,Chew Valley North,E05001940,00HANU,Laurence Henry Guy,Green Party,284,Not elected
2015,Chew Valley North,E05001940,00HANU,Charles Harrison Fenn,Liberal Democrats,305,Not elected
2011,Chew Valley South,E05001941,00HANW,Victor Lewis Pritchard,Conservative Party,451,Elected
2011,Chew Valley South,E05001941,00HANW,Charles Fenn,Liberal Democrats,154,Not elected
2011,Chew Valley South,E05001941,00HANW,John Kenyon Knibbs,Independent,132,Not elected
2011,Chew Valley South,E05001941,00HANW,Susan Irene Thorne,Labour Party,127,Not elected
2007,Chew Valley South,E05001941,00HANW,Vic Pritchard,Conservative Party,614,Elected
2007,Chew Valley South,E05001941,00HANW,David Brassington,Liberal Democrats,228,Not elected
2003,Chew Valley South,E05001941,00HANW,Vic Pritchard,Conservative Party,447,Elected
2003,Chew Valley South,E05001941,00HANW,Adrian Mark Usher,Liberal Democrats,241,Not elected
2015,Chew Valley South,E05001941,00HANW,Vic Pritchard,Conservative Party,1071,Elected
2015,Chew Valley South,E05001941,00HANW,Sally Clare Roff Calverley,Green Party,321,Not elected
2015,Chew Valley South,E05001941,00HANW,Gitte Dawson,Liberal Democrats,202,Not elected
2011,Clutton,E05001942,00HANX,Jeremy Sparks,Liberal Democrats,568,Elected
2011,Clutton,E05001942,00HANX,Steve Willcox,Conservative Party,511,Not elected
2007,Clutton,E05001942,00HANX,Stephen Willcox,Conservative Party,532,Elected
2007,Clutton,E05001942,00HANX,Christine Mary Tanner,Labour Party,173,Not elected
2007,Clutton,E05001942,00HANX,Gillian Rosme Roberts,Liberal Democrats,148,Not elected
2003,Clutton,E05001942,00HANX,Stephen Willcox,Conservative Party,405,Elected
2003,Clutton,E05001942,00HANX,Keith Hallett,Labour Party,212,Not elected
2003,Clutton,E05001942,00HANX,Gillian Dorothy Dunkerley,Liberal Democrats,133,Not elected
2015,Clutton,E05001942,00HANX,Karen Ruth Warrington,Conservative Party,736,Elected
2015,Clutton,E05001942,00HANX,Michael Charles Edwards,Green Party,131,Not elected
2015,Clutton,E05001942,00HANX,Neil Dowman,Labour Party,183,Not elected
2015,Clutton,E05001942,00HANX,Jeremy Sparks,Liberal Democrats,540,Not elected
2011,Combe Down,E05001943,00HANY,Roger Alan Symonds,Liberal Democrats,1052,Elected
2011,Combe Down,E05001943,00HANY,Cherry Elizabeth Beath,Liberal Democrats,1042,Elected
2011,Combe Down,E05001943,00HANY,Robin Henderson Kirkland,Conservative Party,567,Not elected
2011,Combe Down,E05001943,00HANY,Glenys Chalker,Conservative Party,564,Not elected
2011,Combe Down,E05001943,00HANY,Giles Oliver Malcolm Green,Green Party,317,Not elected
2011,Combe Down,E05001943,00HANY,Jane Bigham,Labour Party,283,Not elected
2011,Combe Down,E05001943,00HANY,Kevin Russell,Independent,59,Not elected
2007,Combe Down,E05001943,00HANY,Roger Symonds,Liberal Democrats,1152,Elected
2007,Combe Down,E05001943,00HANY,Cherry Beath,Liberal Democrats,1087,Elected
2007,Combe Down,E05001943,00HANY,Leila Wishart,Conservative Party,785,Not elected
2007,Combe Down,E05001943,00HANY,Alan Robert Garrett,Conservative Party,715,Not elected
2007,Combe Down,E05001943,00HANY,Katherine Victoria Spear,Green Party,333,Not elected
2003,Combe Down,E05001943,00HANY,Leila Wishart,Conservative Party,765,Elected
2003,Combe Down,E05001943,00HANY,Roger Symonds,Liberal Democrats,698,Elected
2003,Combe Down,E05001943,00HANY,Alan Robert Garrett,Conservative Party,581,Not elected
2003,Combe Down,E05001943,00HANY,Michael James Walter Senior,Liberal Democrats,525,Not elected
2003,Combe Down,E05001943,00HANY,Jill Attwood,Independent,390,Not elected
2003,Combe Down,E05001943,00HANY,Debra Elaine Shute,Independent,114,Not elected
2015,Combe Down,E05001943,00HANY,Bob Goodman,Conservative Party,1006,Elected
2015,Combe Down,E05001943,00HANY,David Sebastian Beaugeard,Conservative Party,964,Not elected
2015,Combe Down,E05001943,00HANY,Rosie Jones,Green Party,729,Not elected
2015,Combe Down,E05001943,00HANY,Sanjeev Chaddha,Labour Party,396,Not elected
2015,Combe Down,E05001943,00HANY,Joel Hirst,Liberal Democrats,743,Not elected
2015,Combe Down,E05001943,00HANY,Councillor Cherry Beath,Liberal Democrats,1247,Elected
2015,Combe Down,E05001943,00HANY,Michael Gerard Stanley,UK Independence Party,256,Not elected
2011,Farmborough,E05001944,00HANZ,Sally Davis,Conservative Party,861,Elected
2011,Farmborough,E05001944,00HANZ,Adrian Dobinson,Liberal Democrats,228,Not elected
2011,Farmborough,E05001944,00HANZ,Sarah Louise Pryer,Labour Party,110,Not elected
2007,Farmborough,E05001944,00HANZ,Sally Davis,Conservative Party,725,Elected
2007,Farmborough,E05001944,00HANZ,Terrance Gilbert Bishop,Labour Party,167,Not elected
2007,Farmborough,E05001944,00HANZ,Charlotte Moore,Liberal Democrats,85,Not elected
2003,Farmborough,E05001944,00HANZ,Sally Davis,Conservative Party,623,Elected
2003,Farmborough,E05001944,00HANZ,William Gordon Melling,Liberal Democrats,187,Not elected
2015,Farmborough,E05001944,00HANZ,Sally Davis,Conservative Party,1191,Elected
2015,Farmborough,E05001944,00HANZ,Nicole Sykes,Liberal Democrats,409,Not elected
2011,High Littleton,E05001945,00HAPA,Les Kew,Conservative Party,742,Elected
2011,High Littleton,E05001945,00HAPA,Roger Baber,Labour Party,308,Not elected
2011,High Littleton,E05001945,00HAPA,Frank Blades,Liberal Democrats,153,Not elected
2007,High Littleton,E05001945,00HAPA,Les Kew,Conservative Party,700,Elected
2007,High Littleton,E05001945,00HAPA,Andrew Vincet Merchant,Labour Party,171,Not elected
2007,High Littleton,E05001945,00HAPA,Stephen Dawson,Liberal Democrats,118,Not elected
2003,High Littleton,E05001945,00HAPA,Les Kew,Conservative Party,569,Elected
2003,High Littleton,E05001945,00HAPA,Jean Rose Elizabeth Vine,Liberal Democrats,169,Not elected
2015,High Littleton,E05001945,00HAPA,Les Kew,Conservative Party,1102,Elected
2015,High Littleton,E05001945,00HAPA,Sarah Georgina Huggins,Green Party,358,Not elected
2015,High Littleton,E05001945,00HAPA,Andy Stewart,Liberal Democrats,284,Not elected
2011,Keynsham East,E05001946,00HAPB,Bryan Organ,Conservative Party,1310,Elected
2011,Keynsham East,E05001946,00HAPB,Marie Longstaff,Conservative Party,1138,Elected
2011,Keynsham East,E05001946,00HAPB,Andy Wait,Liberal Democrats,622,Not elected
2011,Keynsham East,E05001946,00HAPB,Steve Rossiter,Labour Party,565,Not elected
2011,Keynsham East,E05001946,00HAPB,Roger Martin Clark,Liberal Democrats,528,Not elected
2007,Keynsham East,E05001946,00HAPB,Marie Longstaff (previously Brewer),Conservative Party,1186,Elected
2007,Keynsham East,E05001946,00HAPB,Bryan Organ,Conservative Party,1174,Elected
2007,Keynsham East,E05001946,00HAPB,Andrew John Wait,Liberal Democrats,512,Not elected
2007,Keynsham East,E05001946,00HAPB,Roger Martin Clark,Liberal Democrats,511,Not elected
2007,Keynsham East,E05001946,00HAPB,Alison Smith,Green Party,297,Not elected
2007,Keynsham East,E05001946,00HAPB,Mike Tucker,Labour Party,238,Not elected
2007,Keynsham East,E05001946,00HAPB,Brian Trevor Jenkins,British National Party,208,Not elected
2003,Keynsham East,E05001946,00HAPB,Bryan Organ,Conservative Party,1026,Elected
2003,Keynsham East,E05001946,00HAPB,Marie Longstaff (previously Brewer),Conservative Party,1004,Elected
2003,Keynsham East,E05001946,00HAPB,Roger Martin Clark,Liberal Democrats,706,Not elected
2003,Keynsham East,E05001946,00HAPB,Jeanne Barbara Pinkerton,Liberal Democrats,706,Not elected
2003,Keynsham East,E05001946,00HAPB,Beverley Michaela Hunt,Labour Party,201,Not elected
2015,Keynsham East,E05001946,00HAPB,Bryan Organ,Conservative Party,1802,Elected
2015,Keynsham East,E05001946,00HAPB,Marie Longstaff,Conservative Party,1858,Elected
2015,Keynsham East,E05001946,00HAPB,Sam Willitts,Green Party,477,Not elected
2015,Keynsham East,E05001946,00HAPB,Jonathan Samuel Wallcroft,Labour Party,543,Not elected
2015,Keynsham East,E05001946,00HAPB,Keith Burchell,Labour Party,555,Not elected
2015,Keynsham East,E05001946,00HAPB,Andy Wait,Liberal Democrats,854,Not elected
2015,Keynsham East,E05001946,00HAPB,Keith Kirwan,Liberal Democrats,583,Not elected
2011,Keynsham North,E05001947,00HAPC,Charles Daniel Gerrish,Conservative Party,1174,Elected
2011,Keynsham North,E05001947,00HAPC,Brian Simmons,Conservative Party,913,Elected
2011,Keynsham North,E05001947,00HAPC,Luke Hobbs,Labour Party,545,Not elected
2011,Keynsham North,E05001947,00HAPC,Keith Richard Kirwan,Liberal Democrats,344,Not elected
2011,Keynsham North,E05001947,00HAPC,Michael Evans,Labour Party,330,Not elected
2011,Keynsham North,E05001947,00HAPC,Angela Godfrey,Liberal Democrats,203,Not elected
2007,Keynsham North,E05001947,00HAPC,Charles Gerrish,Conservative Party,1178,Elected
2007,Keynsham North,E05001947,00HAPC,Brian Simmons,Conservative Party,989,Elected
2007,Keynsham North,E05001947,00HAPC,Keith Kirwan,Liberal Democrats,478,Not elected
2007,Keynsham North,E05001947,00HAPC,Vicky Cox,Liberal Democrats,377,Not elected
2007,Keynsham North,E05001947,00HAPC,Roy Staddon,Labour Party,301,Not elected
2007,Keynsham North,E05001947,00HAPC,Rick Smith,Green Party,244,Not elected
2003,Keynsham North,E05001947,00HAPC,Charles Gerrish,Conservative Party,586,Elected
2003,Keynsham North,E05001947,00HAPC,Keith Kirwan,Liberal Democrats,578,Elected
2003,Keynsham North,E05001947,00HAPC,Brian Simmons,Conservative Party,504,Not elected
2003,Keynsham North,E05001947,00HAPC,John Hudson,Liberal Democrats,495,Not elected
2003,Keynsham North,E05001947,00HAPC,Patricia Ann Hogg,Labour Party,482,Not elected
2003,Keynsham North,E05001947,00HAPC,Gordon Arthur Derrick,Labour Party,463,Not elected
2015,Keynsham North,E05001947,00HAPC,Brian Simmons,Conservative Party,1203,Elected
2015,Keynsham North,E05001947,00HAPC,Charles Daniel Gerrish,Conservative Party,1443,Elected
2015,Keynsham North,E05001947,00HAPC,Justin Nigel Edwards,Green Party,423,Not elected
2015,Keynsham North,E05001947,00HAPC,Elizabeth Jane King,Labour Party,570,Not elected
2015,Keynsham North,E05001947,00HAPC,Christopher Jeffery Davis,Labour Party,609,Not elected
2015,Keynsham North,E05001947,00HAPC,Joshua Little,Liberal Democrats,171,Not elected
2015,Keynsham North,E05001947,00HAPC,Thomas Pirie,Liberal Democrats,108,Not elected
2015,Keynsham North,E05001947,00HAPC,Steve Grimes,UK Independence Party,437,Not elected
2011,Keynsham South,E05001948,00HAPD,Alan Dudley Hale,Conservative Party,824,Elected
2011,Keynsham South,E05001948,00HAPD,Kate Simmons,Conservative Party,640,Elected
2011,Keynsham South,E05001948,00HAPD,Paul Rabbeth,Labour Party,600,Not elected
2011,Keynsham South,E05001948,00HAPD,Keith Burchell,Labour Party,595,Not elected
2011,Keynsham South,E05001948,00HAPD,Tony Crouch,Liberal Democrats,416,Not elected
2011,Keynsham South,E05001948,00HAPD,Sam Lawes,Liberal Democrats,228,Not elected
2007,Keynsham South,E05001948,00HAPD,Adrian Inker,Labour Party,738,Elected
2007,Keynsham South,E05001948,00HAPD,Alan Hale,Conservative Party,617,Elected
2007,Keynsham South,E05001948,00HAPD,Margaret Rose Brewer,Conservative Party,568,Not elected
2007,Keynsham South,E05001948,00HAPD,Paul Rabbeth,Labour Party,548,Not elected
2007,Keynsham South,E05001948,00HAPD,Tony Crouch,Liberal Democrats,454,Not elected
2007,Keynsham South,E05001948,00HAPD,Michelle Allison Drew,Liberal Democrats,331,Not elected
2007,Keynsham South,E05001948,00HAPD,Clive Courtney,British National Party,211,Not elected
2003,Keynsham South,E05001948,00HAPD,Adrian Inker,Labour Party,603,Elected
2003,Keynsham South,E05001948,00HAPD,Hilary Fraser,Labour Party,485,Elected
2003,Keynsham South,E05001948,00HAPD,Edward Gough,Conservative Party,357,Not elected
2003,Keynsham South,E05001948,00HAPD,Andrew Bryce Halliday,Liberal Democrats,334,Not elected
2003,Keynsham South,E05001948,00HAPD,Christine Helen Kirwan,Liberal Democrats,318,Not elected
2003,Keynsham South,E05001948,00HAPD,Harvey Nicholas Haeberling,Conservative Party,309,Not elected
2015,Keynsham South,E05001948,00HAPD,Lisa O'Brien,Conservative Party,913,Elected
2015,Keynsham South,E05001948,00HAPD,Alan Dudley Hale,Conservative Party,1213,Elected
2015,Keynsham South,E05001948,00HAPD,Matt Orton,Green Party,244,Not elected
2015,Keynsham South,E05001948,00HAPD,Fflyff McLaren,Labour Party,483,Not elected
2015,Keynsham South,E05001948,00HAPD,Tony Crouch,Labour Party,827,Not elected
2015,Keynsham South,E05001948,00HAPD,Linda Denise Hawes,Liberal Democrats,184,Not elected
2015,Keynsham South,E05001948,00HAPD,Karen Godfrey,Liberal Democrats,284,Not elected
2015,Keynsham South,E05001948,00HAPD,Philip Evans,UK Independence Party,444,Not elected
2011,Kingsmead,E05001949,00HAPE,Andrew John Furse,Liberal Democrats,924,Elected
2011,Kingsmead,E05001949,00HAPE,Douglas Nicol,Liberal Democrats,620,Elected
2011,Kingsmead,E05001949,00HAPE,Carol Anne Paradise,Conservative Party,469,Not elected
2011,Kingsmead,E05001949,00HAPE,Eric Lucas,Green Party,457,Not elected
2011,Kingsmead,E05001949,00HAPE,Anthony Bernard Masters,Conservative Party,417,Not elected
2011,Kingsmead,E05001949,00HAPE,Pam Richards,Labour Party,367,Not elected
2011,Kingsmead,E05001949,00HAPE,Michael Stanley,UK Independence Party,94,Not elected
2007,Kingsmead,E05001949,00HAPE,Andrew Furse,Liberal Democrats,720,Elected
2007,Kingsmead,E05001949,00HAPE,Carol Paradise,Liberal Democrats,601,Elected
2007,Kingsmead,E05001949,00HAPE,Shirley Jeanne Paradise,Conservative Party,464,Not elected
2007,Kingsmead,E05001949,00HAPE,William Campbell Viles,Conservative Party,450,Not elected
2007,Kingsmead,E05001949,00HAPE,Eric Lucas,Green Party,325,Not elected
2007,Kingsmead,E05001949,00HAPE,Gavin Withers,Green Party,272,Not elected
2007,Kingsmead,E05001949,00HAPE,Bruce Rowland,Independent,95,Not elected
2003,Kingsmead,E05001949,00HAPE,Andrew Furse,Liberal Democrats,615,Elected
2003,Kingsmead,E05001949,00HAPE,Carol Paradise,Liberal Democrats,548,Elected
2003,Kingsmead,E05001949,00HAPE,Christopher John Butt,Conservative Party,537,Not elected
2003,Kingsmead,E05001949,00HAPE,Andrew Gordon Borland,Conservative Party,532,Not elected
2003,Kingsmead,E05001949,00HAPE,Eric Lucas,Green Party,235,Not elected
2015,Kingsmead,E05001949,00HAPE,Benedict Chaplin Spencer,Conservative Party,680,Not elected
2015,Kingsmead,E05001949,00HAPE,Chris Pearce,Conservative Party,872,Elected
2015,Kingsmead,E05001949,00HAPE,Eric Lucas,Green Party,696,Not elected
2015,Kingsmead,E05001949,00HAPE,Dick Daniel,Green Party,625,Not elected
2015,Kingsmead,E05001949,00HAPE,Pam Richards,Labour Party,404,Not elected
2015,Kingsmead,E05001949,00HAPE,Douglas Nicol,Liberal Democrats,624,Not elected
2015,Kingsmead,E05001949,00HAPE,Andrew Furse,Liberal Democrats,967,Elected
2015,Kingsmead,E05001949,00HAPE,Andrew George Bosanquet,UK Independence Party,163,Not elected
2011,Lambridge,E05001950,00HAPF,Bryan Alan Chalker,Conservative Party,871,Elected
2011,Lambridge,E05001950,00HAPF,Dave Laming,Conservative Party,719,Elected
2011,Lambridge,E05001950,00HAPF,Quil Cantrell,Liberal Democrats,617,Not elected
2011,Lambridge,E05001950,00HAPF,Bernard Morgan,Labour Party,605,Not elected
2011,Lambridge,E05001950,00HAPF,Thelma Vivian Grimes,Green Party,593,Not elected
2011,Lambridge,E05001950,00HAPF,Raine Cantrell,Liberal Democrats,587,Not elected
2007,Lambridge,E05001950,00HAPF,Bryan Chalker,Conservative Party,891,Elected
2007,Lambridge,E05001950,00HAPF,Richard Maybury,Conservative Party,761,Elected
2007,Lambridge,E05001950,00HAPF,Michael James Kelleher,Liberal Democrats,706,Not elected
2007,Lambridge,E05001950,00HAPF,Sue Sutherland,Liberal Democrats,671,Not elected
2007,Lambridge,E05001950,00HAPF,Anna Clare Gillespie,Green Party,484,Not elected
2007,Lambridge,E05001950,00HAPF,Martin John Pring,Labour Party,190,Not elected
2007,Lambridge,E05001950,00HAPF,Laurel Denise Casserley,Labour Party,187,Not elected
2003,Lambridge,E05001950,00HAPF,Michael James Kelleher,Liberal Democrats,630,Elected
2003,Lambridge,E05001950,00HAPF,Bryan Chalker,Conservative Party,615,Elected
2003,Lambridge,E05001950,00HAPF,Glenys Chalker,Conservative Party,581,Not elected
2003,Lambridge,E05001950,00HAPF,Philip Christopher James,Liberal Democrats,565,Not elected
2003,Lambridge,E05001950,00HAPF,Michael Gordon,Green Party,296,Not elected
2015,Lambridge,E05001950,00HAPF,Tor Soltvedt,Conservative Party,541,Not elected
