title,url,created,state,whensent,category,lastupdate,latitude,longitude,ward,Location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
Parked in taxi rank refused to move,https://www.fixmystreet.com/report/824633,2016-05-15 12:10:26 UTC,confirmed,2016-05-15 12:15:16 UTC,Car parking,2016-05-15 12:15:16 UTC,51.37956,-2.358168,Abbey,"(51.37956, -2.358168)",35,13,7,1,21
Double Parking along road.,https://www.fixmystreet.com/report/713840,2015-11-10 12:09:18 UTC,confirmed,2015-11-10 12:15:18 UTC,Car parking,2015-11-10 12:15:18 UTC,51.371571,-2.38863,Southdown,"(51.371571, -2.38863)",27,441,15,1,85
Pothole on uphill carriageway,https://www.fixmystreet.com/report/993576,2017-03-03 11:01:46 UTC,confirmed,2017-03-03 11:05:59 UTC,Potholes,2017-03-03 11:05:59 UTC,51.401132,-2.304883,Bathford,"(51.401132, -2.304883)",1,41,10,1,26
12inch wide 20inch minimum long pothole,https://www.fixmystreet.com/report/907037,2016-10-04 14:01:23 UTC,fixed - user,2016-10-04 14:05:14 UTC,Potholes,2017-02-22 19:04:13 UTC,51.28425,-2.487995,Midsomer Norton,"(51.28425, -2.487995)",25,304,27,1,13
Dangerous pothole on driving line for motorbikes,https://www.fixmystreet.com/report/809057,2016-04-15 09:38:28 UTC,confirmed,2016-04-15 09:40:09 UTC,Potholes,2016-05-13 12:54:00 UTC,51.370928,-2.547776,Publow,"(51.370928, -2.547776)",7,400,20,1,74
Very poor road surface on bend,https://www.fixmystreet.com/report/994408,2017-03-04 12:50:58 UTC,confirmed,2017-03-04 12:55:13 UTC,Potholes,2017-03-04 12:55:13 UTC,51.402763,-2.469414,Saltford,"(51.402763, -2.469414)",17,427,16,1,82
Deeply sunken drain cover between lamposts number 10 and 11 in direction Bath to Bristol,https://www.fixmystreet.com/report/808301,2016-04-14 07:43:13 UTC,fixed - user,2016-04-14 07:45:42 UTC,Roads/highways,2016-05-12 08:14:35 UTC,51.388612,-2.43402,Corston,"(51.388612, -2.43402)",8,124,16,1,41
Builders rubble in field entrance,https://www.fixmystreet.com/report/747861,2016-01-17 22:06:15 UTC,confirmed,2016-01-17 22:10:35 UTC,Flytipping,2016-01-17 22:10:35 UTC,51.340918,-2.667638,Nempnett Thrubwell,"(51.340918, -2.667638)",4,88,21,1,32
Flytipping of dismantled furniture.,https://www.fixmystreet.com/report/693944,2015-09-24 21:25:04 UTC,confirmed,2015-09-24 21:30:16 UTC,Flytipping,2015-09-24 21:30:16 UTC,51.388209,-2.36447,Lansdown,"(51.388209, -2.36447)",21,247,7,1,2
Pothole still waiting to be fixed.,https://www.fixmystreet.com/report/753884,2016-01-26 16:52:42 UTC,confirmed,2016-01-26 16:55:29 UTC,Potholes,2016-01-26 16:55:29 UTC,51.410759,-2.394859,Charlcombe,"(51.410759, -2.394859)",1,47,10,1,25
Partial demolition of garden wall in conservation area,https://www.fixmystreet.com/report/677972,2015-08-18 14:47:50 UTC,fixed - user,2015-08-18 14:50:17 UTC,Other,2016-03-02 11:42:54 UTC,51.389943,-2.367027,Lansdown,"(51.389943, -2.367027)",21,242,7,1,2
Severe potholes likely to cause damage to cars,https://www.fixmystreet.com/report/990879,2017-02-28 07:59:40 UTC,confirmed,2017-02-28 08:10:44 UTC,Potholes,2017-02-28 08:10:44 UTC,51.346215,-2.455767,Priston,"(51.346215, -2.455767)",9,69,22,1,28
Sunken drain cover,https://www.fixmystreet.com/report/794579,2016-03-24 13:55:23 UTC,fixed - user,2016-03-24 14:00:50 UTC,Potholes,2016-05-19 17:30:14 UTC,51.326831,-2.333399,Hinton Charterhouse,"(51.326831, -2.333399)",10,54,10,1,113
Road surface starting to break up (again),https://www.fixmystreet.com/report/751365,2016-01-22 18:04:33 UTC,fixed - user,2016-01-22 18:05:19 UTC,Potholes,2016-08-20 18:18:53 UTC,51.330652,-2.317236,Hinton Charterhouse,"(51.330652, -2.317236)",10,54,10,1,113
Pothole opened up again,https://www.fixmystreet.com/report/977445,2017-02-09 22:46:02 UTC,confirmed,2017-02-09 22:50:56 UTC,Potholes,2017-02-09 22:50:56 UTC,51.334371,-2.436724,Dunkerton and Tunley,"(51.334371, -2.436724)",9,66,22,1,28
Huge pothole just to the left of centre line going North-this road is a DISGRACE,https://www.fixmystreet.com/report/1005835,2017-03-19 14:43:56 UTC,confirmed,2017-03-19 14:50:20 UTC,Potholes,2017-03-19 14:50:20 UTC,51.324492,-2.458814,Camerton,"(51.324492, -2.458814)",9,63,22,1,28
"Residents' ""Right to Light"" is being denied by overgrown trees",https://www.fixmystreet.com/report/933016,2016-11-25 22:54:38 UTC,confirmed,2016-11-25 23:00:11 UTC,Trees,2017-03-07 22:11:00 UTC,51.375782,-2.406299,Twerton,"(51.375782, -2.406299)",28,475,11,1,90
Litter on the road,https://www.fixmystreet.com/report/980916,2017-02-14 23:58:00 UTC,confirmed,2017-02-15 00:00:19 UTC,Rubbish (refuse and recycling),2017-02-15 00:00:19 UTC,51.341764,-2.545802,Clutton,"(51.341764, -2.545802)",5,95,20,1,34
4 depresed man hole covers,https://www.fixmystreet.com/report/898336,2016-09-19 09:02:31 UTC,confirmed,2016-09-19 09:05:25 UTC,Potholes,2016-10-17 13:19:29 UTC,51.278655,-2.497692,Midsomer Norton,"(51.278655, -2.497692)",25,298,27,1,12
Dip in the road,https://www.fixmystreet.com/report/921796,2016-11-03 07:37:21 UTC,confirmed,2016-11-03 07:40:10 UTC,Roads/highways,2017-02-23 14:04:13 UTC,51.361957,-2.478587,Marksbury,"(51.361957, -2.478587)",8,130,16,1,40
"Fly tipping, inc carpet",https://www.fixmystreet.com/report/802090,2016-04-04 19:20:25 UTC,confirmed,2016-04-04 19:25:15 UTC,Flytipping,2016-04-04 19:25:15 UTC,51.370148,-2.592907,Chew Magna,"(51.370148, -2.592907)",6,79,21,1,31
Traffic Speeding Mounting Pavements,https://www.fixmystreet.com/report/676074,2015-08-13 17:26:07 UTC,confirmed,2015-08-13 17:31:17 UTC,Roads/highways,2015-08-13 17:31:17 UTC,51.375285,-2.386422,Westmoreland,"(51.375285, -2.386422)",32,532,13,1,101
Dog mess on pavement,https://www.fixmystreet.com/report/924324,2016-11-08 13:40:41 UTC,fixed - user,2016-11-08 13:45:54 UTC,Dog fouling,2016-12-06 14:31:00 UTC,51.389629,-2.366206,Lansdown,"(51.389629, -2.366206)",21,246,7,1,2
Pothole,https://www.fixmystreet.com/report/707672,2015-10-27 10:23:34 UTC,fixed - user,2015-10-27 10:25:32 UTC,Potholes,2015-11-24 17:43:23 UTC,51.284538,-2.466261,Westfield,"(51.284538, -2.466261)",26,514,26,1,98
Pothole / sunken drain,https://www.fixmystreet.com/report/817374,2016-04-30 17:50:24 UTC,confirmed,2016-04-30 17:55:22 UTC,Potholes,2016-04-30 17:55:22 UTC,51.372755,-2.330147,Bathwick,"(51.372755, -2.330147)",22,70,12,1,29
Potholes,https://www.fixmystreet.com/report/821623,2016-05-09 11:56:55 UTC,confirmed,2016-05-09 12:00:16 UTC,Potholes,2016-05-09 12:00:16 UTC,51.296702,-2.575892,Hinton Blewett,"(51.296702, -2.575892)",2,273,21,1,6
Potholes,https://www.fixmystreet.com/report/702763,2015-10-15 07:41:04 UTC,confirmed,2015-10-15 07:45:15 UTC,Potholes,2015-10-15 07:45:15 UTC,51.408685,-2.395684,Charlcombe,"(51.408685, -2.395684)",1,47,10,1,25
Potholes and drain needs clearing of leaves,https://www.fixmystreet.com/report/959359,2017-01-16 18:27:12 UTC,confirmed,2017-01-16 18:30:18 UTC,Potholes,2017-02-02 17:47:55 UTC,51.334598,-2.310443,Freshford,"(51.334598, -2.310443)",10,52,10,1,113
Many little potholes,https://www.fixmystreet.com/report/969923,2017-02-01 08:34:28 UTC,confirmed,2017-02-01 08:35:50 UTC,Roads/highways,2017-02-01 08:35:50 UTC,51.391367,-2.359882,Lansdown,"(51.391367, -2.359882)",21,239,7,1,59
Pothole outside Anabels guesthouse,https://www.fixmystreet.com/report/931036,2016-11-22 13:03:06 UTC,confirmed,2016-11-22 13:05:10 UTC,Potholes,2016-11-22 13:05:10 UTC,51.378884,-2.357111,Abbey,"(51.378884, -2.357111)",35,13,7,1,21
Deep pothole,https://www.fixmystreet.com/report/973832,2017-02-06 08:50:21 UTC,confirmed,2017-02-06 08:55:19 UTC,Potholes,2017-03-06 09:14:43 UTC,51.414207,-2.510868,Keynsham,"(51.414207, -2.510868)",24,163,1,1,50
Hedge overgrowing footpath,https://www.fixmystreet.com/report/785047,2016-03-10 11:46:39 UTC,confirmed,2016-03-10 11:50:22 UTC,Pavements/footpaths,2016-03-10 11:50:22 UTC,51.363845,-2.3479,Combe Down,"(51.363845, -2.3479)",19,109,18,1,37
Large deep pothole,https://www.fixmystreet.com/report/770247,2016-02-18 11:06:00 UTC,fixed - user,2016-02-18 11:10:17 UTC,Potholes,2016-03-17 12:46:43 UTC,51.32047,-2.54432,Cameley,"(51.32047, -2.54432)",2,268,20,1,7
Large section of the road is now down to the base course.,https://www.fixmystreet.com/report/942000,2016-12-14 10:30:29 UTC,confirmed,2016-12-14 10:35:11 UTC,Potholes,2016-12-14 10:35:11 UTC,51.31766,-2.445754,Camerton,"(51.31766, -2.445754)",9,63,22,1,28
Badly worn road surface,https://www.fixmystreet.com/report/850765,2016-06-29 18:08:04 UTC,confirmed,2016-06-29 18:10:24 UTC,Roads/highways,2016-06-29 18:10:24 UTC,51.330439,-2.54448,Clutton,"(51.330439, -2.54448)",5,100,20,1,35
Rubbish,https://www.fixmystreet.com/report/834398,2016-06-03 08:56:39 UTC,confirmed,2016-06-03 09:05:16 UTC,Rubbish (refuse and recycling),2016-06-03 09:05:16 UTC,51.380523,-2.358373,Abbey,"(51.380523, -2.358373)",35,12,7,1,20
Street needs cleaning,https://www.fixmystreet.com/report/846843,2016-06-23 15:16:03 UTC,unconfirmed,,Rubbish (refuse and recycling),2016-06-23 15:16:03 UTC,51.378703,-2.384507,Westmoreland,"(51.378703, -2.384507)",32,527,13,1,101
Large pot hole on A368 approach to westway farm from Sutton Wick. Noticed whilst cycling.,https://www.fixmystreet.com/report/765397,2016-02-10 21:41:59 UTC,confirmed,2016-02-10 21:45:37 UTC,Potholes,2016-02-10 21:45:37 UTC,51.329928,-2.60519,Stowey-Sutton,"(51.329928, -2.60519)",4,89,21,1,33
Limited parking for residents caused by hospital staff,https://www.fixmystreet.com/report/739800,2016-01-06 13:43:25 UTC,confirmed,2016-01-06 13:45:09 UTC,Car parking,2016-01-06 13:45:09 UTC,51.392146,-2.386964,Weston,"(51.392146, -2.386964)",20,551,5,1,107
Loose dropped kerb,https://www.fixmystreet.com/report/953990,2017-01-08 14:59:22 UTC,confirmed,2017-01-08 15:05:11 UTC,Pavements/footpaths,2017-01-08 15:05:11 UTC,51.321115,-2.436584,Peasedown St John,"(51.321115, -2.436584)",15,389,22,1,71
Large dangerous pothole on left side,https://www.fixmystreet.com/report/778573,2016-03-01 15:01:39 UTC,confirmed,2016-03-01 15:05:51 UTC,Potholes,2016-03-01 15:05:51 UTC,51.365002,-2.547116,Publow,"(51.365002, -2.547116)",7,397,20,1,74
Bus stop sign has dropped halfway down post making it not easily visible,https://www.fixmystreet.com/report/861230,2016-07-17 14:51:12 UTC,fixed - user,2016-07-17 14:55:40 UTC,Bus stops,2017-03-01 18:12:17 UTC,51.336963,-2.480622,Timsbury,"(51.336963, -2.480622)",14,456,16,1,88
Over grown hedge and dangerous pavement,https://www.fixmystreet.com/report/932013,2016-11-23 21:39:43 UTC,confirmed,2016-11-23 21:45:11 UTC,Pavements/footpaths,2017-03-16 14:17:11 UTC,51.323451,-2.472507,Timsbury,"(51.323451, -2.472507)",14,459,16,1,87
White bmw been left abandon on middle of road since Friday evening,https://www.fixmystreet.com/report/889449,2016-09-03 10:59:09 UTC,fixed - user,2016-09-03 11:00:58 UTC,Abandoned vehicles,2016-10-01 11:55:47 UTC,51.371708,-2.550142,Publow,"(51.371708, -2.550142)",7,400,20,1,74
A pothole getter larger in middle of road.,https://www.fixmystreet.com/report/851904,2016-07-01 14:24:20 UTC,unconfirmed,,Potholes,2016-07-01 14:24:20 UTC,51.405761,-2.491682,Keynsham,"(51.405761, -2.491682)",16,146,3,1,46
New crossing encourages dangerous behaviour,https://www.fixmystreet.com/report/880991,2016-08-18 14:40:31 UTC,confirmed,2016-08-18 14:45:16 UTC,Traffic lights,2016-08-18 14:45:16 UTC,51.384898,-2.36214,Abbey,"(51.384898, -2.36214)",35,4,7,1,22
Potholes in the road,https://www.fixmystreet.com/report/978763,2017-02-12 09:32:31 UTC,confirmed,2017-02-12 09:35:18 UTC,Potholes,2017-02-12 09:35:18 UTC,51.396615,-2.385667,Weston,"(51.396615, -2.385667)",20,546,5,1,107
Hazardous loose aggregate on road from concrete spill,https://www.fixmystreet.com/report/811462,2016-04-19 09:41:04 UTC,confirmed,2016-04-19 09:45:53 UTC,Roads/highways,2016-04-19 09:45:53 UTC,51.376989,-2.409193,Twerton,"(51.376989, -2.409193)",28,470,11,1,90
Two street lights out - dark and dangerous,https://www.fixmystreet.com/report/925360,2016-11-10 17:36:22 UTC,confirmed,2016-11-10 17:40:10 UTC,Street lighting,2016-11-10 17:40:10 UTC,51.41679,-2.502025,Keynsham,"(51.41679, -2.502025)",24,173,1,1,49
Water on road,https://www.fixmystreet.com/report/786852,2016-03-13 11:20:53 UTC,confirmed,2016-03-13 11:25:21 UTC,Roads/highways,2016-03-13 11:25:21 UTC,51.366278,-2.345976,Widcombe,"(51.366278, -2.345976)",33,575,12,1,110
Street Lamps on an midday today,https://www.fixmystreet.com/report/908769,2016-10-07 12:54:23 UTC,fixed - user,2016-10-07 12:55:12 UTC,Street cleaning,2016-11-05 16:19:34 UTC,51.376383,-2.359052,Widcombe,"(51.376383, -2.359052)",33,567,12,1,109
Illegal caravan site on the Bristol-Bath cycle path,https://www.fixmystreet.com/report/807995,2016-04-13 15:57:14 UTC,fixed - user,2016-04-13 16:00:17 UTC,Other,2016-05-23 14:19:04 UTC,51.389122,-2.412969,Newton St Loe,"(51.389122, -2.412969)",9,68,22,1,28
Deep potholes next to drain covers in several locations here,https://www.fixmystreet.com/report/976879,2017-02-09 10:59:18 UTC,confirmed,2017-02-09 11:16:14 UTC,Potholes,2017-02-09 11:16:14 UTC,51.402455,-2.460016,Saltford,"(51.402455, -2.460016)",17,422,16,1,80
Collapsed manhole/inspection cover,https://www.fixmystreet.com/report/784641,2016-03-09 20:07:20 UTC,fixed - user,2016-03-09 20:10:09 UTC,Pavements/footpaths,2016-04-07 22:43:04 UTC,51.293631,-2.440132,Radstock,"(51.293631, -2.440132)",12,411,24,1,77
Badly Designed Roundabout,https://www.fixmystreet.com/report/957505,2017-01-13 18:53:52 UTC,confirmed,2017-01-13 19:11:06 UTC,Roads/highways,2017-02-10 21:30:08 UTC,51.359934,-2.354041,Combe Down,"(51.359934, -2.354041)",19,116,18,1,36
Deep pothole on left side of road from Bris to Bath near lampost no 50,https://www.fixmystreet.com/report/766286,2016-02-12 08:52:48 UTC,fixed - user,2016-02-12 08:55:48 UTC,Potholes,2016-03-11 09:08:00 UTC,51.407511,-2.469725,Saltford,"(51.407511, -2.469725)",17,427,16,1,82
Pot hole by the curb on the left hand side of the road by the roundabout,https://www.fixmystreet.com/report/840091,2016-06-13 10:27:55 UTC,confirmed,2016-06-13 10:30:18 UTC,Potholes,2016-06-13 10:30:18 UTC,51.286991,-2.492036,Midsomer Norton,"(51.286991, -2.492036)",25,301,27,1,14
Amber bulb not working,https://www.fixmystreet.com/report/822334,2016-05-10 15:32:02 UTC,fixed - user,2016-05-10 15:35:43 UTC,Traffic lights,2016-07-09 18:34:59 UTC,51.380505,-2.369505,Widcombe,"(51.380505, -2.369505)",33,559,12,1,112
