PRACTICE_CODE,CCG,CCG Name,Residential LA,ORG_NAME,LSOA_CODE,Male Patients,Female Patients,All Patients
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01033079,2,3,5
J83603,99N,NHS Wiltshire CCG,Bath and North East Somerset,JUBILEE FIELD SURGERY,E01014370,1,0,1
J83603,99N,NHS Wiltshire CCG,Bath and North East Somerset,JUBILEE FIELD SURGERY,E01014374,0,1,1
J83603,99N,NHS Wiltshire CCG,Bath and North East Somerset,JUBILEE FIELD SURGERY,E01014376,0,1,1
J83603,99N,NHS Wiltshire CCG,Bath and North East Somerset,JUBILEE FIELD SURGERY,E01014479,0,1,1
J83618,99N,NHS Wiltshire CCG,Bath and North East Somerset,TOLSEY SURGERY,E01014413,1,1,2
L81006,11H,NHS Bristol CCG,Bath and North East Somerset,THE GREEN PRACTICE AT WHITCHURCH H C,E01014383,0,1,1
L81006,11H,NHS Bristol CCG,Bath and North East Somerset,THE GREEN PRACTICE AT WHITCHURCH H C,E01014392,2,1,3
L81006,11H,NHS Bristol CCG,Bath and North East Somerset,THE GREEN PRACTICE AT WHITCHURCH H C,E01014446,2,5,7
L81006,11H,NHS Bristol CCG,Bath and North East Somerset,THE GREEN PRACTICE AT WHITCHURCH H C,E01014447,87,88,175
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014382,1,2,3
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014385,1,1,2
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014396,1,2,3
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014398,3,1,4
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014399,21,14,35
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014401,0,1,1
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014403,1,0,1
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014404,3,1,4
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014419,0,1,1
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014446,4,6,10
L81009,11H,NHS Bristol CCG,Bath and North East Somerset,STOCKWOOD MEDICAL CENTRE,E01014447,166,178,344
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014379,32,38,70
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014394,7,5,12
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014420,72,70,142
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014421,60,57,117
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014422,43,50,93
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014423,55,35,90
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014424,67,62,129
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014425,85,69,154
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014426,54,57,111
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014434,1,0,1
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014439,19,20,39
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014440,23,14,37
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014441,12,16,28
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014442,46,48,94
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014443,32,47,79
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014444,57,46,103
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014445,49,39,88
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014448,452,409,861
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014449,477,488,965
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014450,385,353,738
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014451,382,387,769
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014457,1,0,1
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014459,0,1,1
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014460,2,2,4
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014469,142,133,275
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014470,113,121,234
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014471,241,199,440
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01014472,110,123,233
L81010,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,HOPE HOUSE SURGERY,E01033079,15,16,31
L81013,11H,NHS Bristol CCG,Bath and North East Somerset,FISHPONDS FAMILY PRACTICE,E01014386,1,0,1
L81018,12A,NHS South Gloucestershire CCG,Bath and North East Somerset,THORNBURY HEALTH CENTRE - BURNEY,E01014377,1,0,1
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014370,74,61,135
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014371,73,61,134
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014372,43,44,87
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014373,16,9,25
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014374,9,6,15
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014375,17,9,26
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014376,4,6,10
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014377,20,18,38
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014379,17,13,30
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014380,62,76,138
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014381,112,108,220
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014387,47,38,85
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014388,35,31,66
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014389,28,46,74
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014390,65,51,116
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014391,1,1,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014392,2,1,3
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014393,1,1,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014394,0,1,1
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014396,1,3,4
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014401,1,0,1
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014402,1,0,1
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014404,1,2,3
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014405,25,25,50
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014407,54,42,96
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014409,28,22,50
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014410,12,12,24
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014411,21,16,37
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014412,14,16,30
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014413,8,6,14
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014414,33,21,54
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014415,116,110,226
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014416,63,60,123
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014417,97,82,179
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014425,1,1,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014427,17,10,27
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014428,11,9,20
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014429,22,18,40
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014430,22,14,36
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014431,45,45,90
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014432,17,25,42
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014433,39,32,71
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014434,51,56,107
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014435,22,11,33
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014436,24,29,53
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014437,38,45,83
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014438,32,31,63
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014441,0,1,1
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014442,5,3,8
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014443,2,6,8
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014444,5,2,7
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014445,4,4,8
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014448,3,2,5
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014449,1,1,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014451,2,0,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014452,0,2,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014453,0,1,1
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014454,2,0,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014455,48,36,84
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014456,30,28,58
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014457,40,34,74
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014458,21,25,46
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014459,2,1,3
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014460,1,1,2
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014461,18,16,34
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014462,26,20,46
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014463,51,50,101
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014464,26,32,58
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014465,15,13,28
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014466,18,22,40
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014467,31,26,57
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014468,41,33,74
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014471,1,0,1
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014473,27,17,44
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014474,21,24,45
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014475,44,28,72
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014476,24,16,40
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014477,20,14,34
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014478,22,15,37
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014479,17,17,34
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014480,20,15,35
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014481,208,182,390
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014482,270,288,558
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014483,466,451,917
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01014484,31,30,61
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01033078,45,40,85
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01033079,9,8,17
L81020,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,WIDCOMBE SURGERY,E01033080,33,22,55
L81022,11H,NHS Bristol CCG,Bath and North East Somerset,HORFIELD HC,E01014440,1,0,1
L81023,11H,NHS Bristol CCG,Bath and North East Somerset,EASTVILLE MEDICAL PRACTICE,E01014452,1,0,1
L81024,12A,NHS South Gloucestershire CCG,Bath and North East Somerset,COURTSIDE SURGERY,E01014370,1,0,1
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014379,14,10,24
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014385,3,3,6
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014386,3,7,10
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014391,16,15,31
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014392,1,1,2
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014393,30,28,58
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014394,80,96,176
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014401,1,0,1
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014417,1,0,1
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014418,2,3,5
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014419,5,9,14
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014420,355,334,689
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014421,243,254,497
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014422,278,282,560
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014423,412,368,780
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014424,418,402,820
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014425,536,584,1120
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014426,342,342,684
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014439,163,183,346
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014440,154,135,289
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014441,115,101,216
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014442,12,21,33
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014443,22,17,39
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014444,20,24,44
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014445,15,17,32
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014448,119,104,223
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014449,115,98,213
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014450,112,107,219
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014451,107,101,208
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014459,17,18,35
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014460,12,7,19
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014469,200,190,390
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014470,178,205,383
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014471,163,161,324
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014472,352,372,724
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01014475,1,0,1
L81025,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,ST CHADS SURGERY,E01033079,2,1,3
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014370,8,8,16
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014371,6,6,12
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014372,9,7,16
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014373,688,712,1400
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014374,476,553,1029
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014375,193,189,382
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014376,604,631,1235
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014377,62,60,122
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014380,9,4,13
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014381,8,9,17
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014388,1,0,1
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014389,1,1,2
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014390,2,0,2
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014392,2,0,2
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014405,5,2,7
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014409,46,46,92
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014410,18,17,35
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014411,217,257,474
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014412,6,3,9
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014413,7,9,16
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014414,6,6,12
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014416,0,1,1
L81027,11E,NHS Bath and North East Somerset CCG,Bath and North East Somerset,BATHEASTON MEDICAL CENTRE,E01014417,1,4,5
