Reference,Title,Description,Date,UnveilingYear,UnveilingDetails,Statement,Material,Inscription,History,Notes,WebsiteUrl,Height,Width,Depth,Diameter,SurfaceCondition,StructuralCondition,Address,Location,Lat,Lng,Categories,Artist1_Name,Artist1_Biography,Artist1_WebsiteUrl,Artist1_StartYear,Artist1_EndYear,Artist1_Notes,Artist2_Name,Artist2_Biography,Artist2_WebsiteUrl,Artist2_StartYear,Artist2_EndYear,Artist2_Notes,Artist3_Name,Artist3_Biography,Artist3_WebsiteUrl,Artist3_StartYear,Artist3_EndYear,Artist3_Notes,Artist4_Name,Artist4_Biography,Artist4_WebsiteUrl,Artist4_StartYear,Artist4_EndYear,Artist4_Notes,Artist5_Name,Artist5_Biography,Artist5_WebsiteUrl,Artist5_StartYear,Artist5_EndYear,Artist5_Notes,Artist6_Name,Artist6_Biography,Artist6_WebsiteUrl,Artist6_StartYear,Artist6_EndYear,Artist6_Notes,ImageFileNames,ImageCaptions,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
BA147,Communication,An urn in the shape of a birth bath is decorated with casts of hands signing in British Sign Language. The urn rests on a column that is wider at the base and narrower at the top.,2008,2008,The sculpture was unveiled in a ceremony celebrating the fifth anniversary of Watery Lane Cottage,"The artist was asked to make a tactile sculpture incorporating the hands of residents and care staff, signing in British Sign Language. The signs express the positive aspects of life experienced by the residents. The hands were cast from life and incorporated into the concrete ornament. The sculpture is also a bird bath.",Concrete,,"Communication was commissioned to celebrate the fifth anniversary of Watery Lane Cottage the home for deaf and blind residents at the RIND Poolemead in Twerton, Bath.","Access to the piece is by appointment, please contact the RNID centre to arrange a visit<br>See also Laurence Tindall’s Resurrection of Christ, Bath Abbey<br>Feeding 5000 and Creation Stories at St Philips School in Odd Down (conditions apply)<br>Fish and Loaves, St Philip and St James Church, Bath <br>What is Heaven Like at St Marks School, Bath<br>Pump Room Fountain, The Pump Rooms, Bath<br>Story Mountain at St Julian Primary in Wellow<br>The Temptation of Eve, Combe Grove Country Club, Bath",,140,53,,,Good,Very good,"Poolemead House, Watery Lane Cottage, RNID Poolemead, Twerton, Bath BA2 1RN","(51.3803, -2.40022)",51.3803,-2.40022,,Laurence Tindall,"Laurence Tindall specialises in Christian art and architecture. He trained as a sculptor at Kingston School of Art between 1969 and 1974. After graduating he worked as a stonemason and trained as a conservator at Wells Cathedral where he worked until 1984. Tindall became a lecturer in Sculpture at Bath Academy of Art from 1980 to 1990. In 1984 he joined the Partner Nimbus Conservation Project, a group of conservators of historical buildings and monuments.",http://www.laurencetindall.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA147-a.jpg|BA147-b.jpg|BA147-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,28,468,11,1,91
BA58,2 by 2 and Vision and Values,"2 by 2: a narrow rectangular strip of mosaic spanning the length of the Reception Class building, above the main door. Set against a background with all colours of the rainbow, animals coupled in pairs are progressing towards Noah’s Ark at the centre of the mosaic.<br>Vision and Values: a circular piece of mosaic to the left hand side of the school’s front wall. It depicts the stylised face of the Virgin Mary at the centre surrounded by two circles supporting symbols and images. ‘Bathwick St Mary’ is inscribed in the lower outer circle.",2004,2004,"2 by 2 was launched in July 2006 at the official opening of the conservation area of the school.Vision and Values was blessed in a ceremony led by Father David and attended by parents, children, the artist and a lecturer from Bath Spa University.","2 by 2: pairs of animals are moving towards Noah’s Ark in the middle of the frieze.<br>Vision and Values: the overall design evokes the stained glass windows of churches with the iconic image of the Virgin Mary emerging from the various colourful panels that fill the circular frame. The whole school including all year groups, staff, PTA and governors contributed to the circle of symbols and images in the outer circles. For instance Year 3 produced the Tree of Knowledge, Year 6 a butterfly symbolising the metamorphosis from Reception to Year 6, and parents produced the Helping Hand referring to the PTA supporting the children. Extracts from the Anne Egan’s statement","2 by 2: galvanized and painted mild steel, marine ply, glass mosaic<br>Vision and Values: marine ply, ceramic, glass mosaic",2 by 2: none<br>Vision and Values: none,"2 by 2: this frieze was designed, finished and mounted by the artist in 2006 and made in collaboration with the youngest and oldest children in the school. Each Reception child drew, and transferred to flat clay, a pair of animals with the help of a year 6 ‘buddy’. These were incorporated in a long thin wavy rainbow of mosaic. <br>Vision and Values: in early 2004 St Mary’s Bathwick commissioned the artist to produce a permanent piece of work to be displayed outside, next to the playground.  The brief mentioned that the piece should reflect the ethos of the school, include the name of the school and would involve the children in the making.  Year 6 pupils with the help of some of the PTA and under the supervision of the artist worked on Vision and Values. Extracts from Anne Egan’s statement","Access to the piece is by appointment, please contact the school to arrange a visit.",,150,350,2,,2 by 2: good<br>Vision and Values: good,"2 by 2: good<br>Vision and Values: good, a few pieces of mosaic are chipped or missing.","Bathwick St Mary CofE Primary: 2 by 2: outside and above the Reception Class building. Vision and Values: front wall of the school, overlooking the playground, Darlington Road, Bath BA2 6NN","(51.3887, -2.34625)",51.3887,-2.34625,Figurative|Mosaic,Anne Egan,"Anne attended Warwick University in 1980 before studying a Foundation course in Art and Design at the City of Bath College in 2003 and a BA at Bath Spa University in the School of Art and Design. Anne has had several exhibitions at the Royal West of England Academy in Bristol. She also exhibited at the American Museum and at The Angel in London. She has worked collaboratively with children of St Mary’s Primary School in Bathwick, Bath.",,1959,,with the children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA58-a.jpg|BA58-b.jpg|BA58-c.jpg|BA58-d.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,22,71,12,1,29
BA14,Communion Table,"A rectangular, polished cut of wood with open fissure at the centre supported by brass bars linking one piece of wood to the other. The top rests on four black, flat, rectangular legs facing the centre of the table diagonally.",2007,2007,The piece was unveiled alongside the rest of the artwork at a re-opening ceremony at St Michael’s Church in 2007,"Originally one piece with the jagged edges on the outside cut in half and turned with the outside edges inwards to create the dramatic fissure along the centre. The piece can be interpreted in different ways. To some the fissure symbolises the brokenness and fragility that believers bring to Jesus, as well as Jesus’ own brokenness for his brethren. To other it may represent the temple curtain being ripped in half at the moment of crucifixion, or the gap may represent a journey to be made or a path to follow.","Top: Burr Elm, Legs: Glastonbury bog oak, semi-fossilised, 5000 year old wood.",,"In 2007 St Michael’s Without had a major programme of renovation to improve access to the building, restore the organ and create a café. Several pieces of artwork were commissioned on this occasion including this piece.",,,84,140,80,,Good,Good,"St Michael''s Church, facing North towards the Sanctuary, Broad Street  Bath BA1 5LJ","(51.3837, -2.35979)",51.3837,-2.35979,Abstract|Church Art,Stephen Budd,"Stephen Budd is a Bath-based cabinet-maker and is workshop manager at Wood Works, a Genesis Trust project in Bath that offers placements to the long term unemployed who repair and refurbish furniture donated to them by the general public.",http://www.thewoodworksproject.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA14-a.jpg|BA14-b.jpg|BA14-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,11,7,1,20
BA104,Sculpture trail,"Pot of Flowers: a round shaped pot of flowers <br>Fish Man: a sculpture with the legs of a man kneeling, his trunk extended forward and his upper body in the form of a fish, its head pushing into the ground, <br>Figure in Space: an abstract rectangular form in two parts, suggesting two faces or figures facing each other<br>Commemorative Column: the base of a mock Greek column cut out in a slant",1985,1985,"''Commemorative Column'' was presented in a ceremony to the University of Bath by Councillor Eric Snook, Mayor of Bath (1992-1993)","The pieces were produced outdoors, in public over a 3 week period in 1985. The column was presented to the University of Bath on the anniversary of its royal charter.  ''Pot of Flowers'' is by Hilary Cartmel, ''Fish Man'' is by Colin Foster, ''Figure in Space'' is by Janos Kalmar and the sculpture students at the City of Bath College produced the ''Commemorative Column''.",All made of Bath stone,Fish Man: none<br>Commemorative Column: at the base of the column: MCCRONE-WHITE ARMSTRONG-KYRIACOU-SHIRLEY HELYAR. With a commemorative plaque on top of the column.<br>Figure in Space: none<br>Pot of Flowers: none,"A sculpture competition was organised by John Joakes from Store Sculpture during Bath Festivals in 1985. Six British sculptors and one Hungarian sculptor produced stone carvings in public at Royal Victoria Park over a three week period. The stone was donated by The Store Firms Ltd and Ding and Williams Ltd. Funding in kind was given by the City of Bath College. Other local funders included South West Art, His Grace The Duke of Norfolk and Julie Kent Interiors Ltd. <br>Commemorative Column: produced by the City of Bath College sculpture trainees to commemorate the 60th anniversary of the University of Bath in 2006.",The Temptation of Eve by Laurence Tindall was one of the six sculptures carved during Bath Festival in 1985. It is now displayed at Combe Grove Country Club in Monkton Combe.,,180,80,65,90,"Fish Man: poor, black and green lichen all over the surface, some carved graffiti and chips in the stone.<br>Commemorative Column: fair green lichen on the surface<br>Pot of Flowers: fair, green and black lichen on the surface<br>Figure in Space: fair, green and black lichen on the surface",Fish Man: good<br>Commemorative Column: good<br>Pot of Flowers: good<br>Figure in Space: good,"University of Bath: Fish Man and Commemorative Column: near the lake; Figure in Space and Pot of Flowers by car park B, University of Bath, Claverton Down, Bath, BA2 7AY","(51.3786, -2.32895)",51.3786,-2.32895,Abstract|Figurative|Sculpture|Surrealist,City of Bath College student sculptors,,,,,Commemorative Column,Colin Foster,,,1954,,Fish Man,Hilary Cartmel,Hilary Cartmel studied at Exeter College of Art and Trent Polytechnic.,http://www.hilarycartmel.co.uk/,,,Pot of Flowers,Janos Kalmar,Janos Kalmar is a Hungarian sculptor.  He attended Warsaw and Budapest Academies of Art. Some of his work can be found in the British Museum collection.,http://janoskalmar.com/,1952,,Figure in Space,,,,,,,,,,,,,BA104-a.jpg|BA104-b.jpg|BA104-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,22,580,12,1,29
BA103,Interlocking Figures,"A naked man and a woman sliced through their middle front interlock with each other, arms in an embrace against a soft textured background",1983,1983,,"Wright’s series of interlocking figures are superbly modeled, many were made in slipcast porcelain editions and had an abstractly archetypal quality reminiscent of Henry Moore and the domestic intimacy of early Staffordshire figures. (Extract from Peter Wright’s obituary in The Guardian in 2003: www.guardian.co.uk/news/2003/aug/25/guardianobituaries.artsobituaries1) <br>Part of the University of Bath Art Collection.",Ceramic,‘Wright ‘83’,Purchased by the University in 1983 as part of the University of Bath Art Collection.,,,83,36,6,,Good,Good,"University of Bath, Library corridor 1 West, Claverton Down, Bath, BA2 7AY","(51.38, -2.32799)",51.38,-2.32799,Sculpture,Peter Wright,"Peter attended Hornsey College of Art from 1946 to 1950 where he studied graphics, but also discovered clay. In 1957 he went to teach art at Sutton Coldfield College of Further Education, where he was obliged to also take ceramics classes. A crash course of self-tuition refocused his interest in the material and its possibilities. He realised how he could integrate his graphic skills with a three-dimensional form and was attracted to a discipline with its own seductive alchemy and processes. In 1954 he settled down with his wife Sheila at Monkton Combe near Bath and made a living producing well-designed domestic ware but also ambitious press-moulded tin glaze pieces that reflected the structure of the surrounding landscape. Successful with this work, Wright exhibited at venues like the British Crafts Centre, the Design Centre and, in 1957, at the Victoria and Albert Museum. Despite his admiration for Minoan and Cycladic pottery, Wright distanced himself from most contemporary ceramics and looked to a broader picture - to medieval art, African sculpture and artists such as Chagall and Morandi. In 1957 he began teaching at Bath Academy of Art and then at the College of Education (later Bath Spa University College). By the mid-1960s he became frustrated by creative stasis, and moved in a more sculptural direction. He made inventive abstract pieces, notably in porcelain. His underlying themes dealt now with issues of unity and integration, separation and release. By the late 1970s, though still making some pots and producing relief pieces, his activity centred on the small figurative interlocking sculptures for which he is best known. (Notes from Guardian obituary).",http://www.guardian.co.uk/news/2003/aug/25/guardianobituaries.artsobituaries1,1919,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA103-a.jpg,Copyright: Bath and North East Somerset,22,580,12,1,29
BA50,"Chair and Door,Swimming Pool at Sunset,Bee Orchid,Sow and Piglets,Pattern on Water,Scribbly Gum Tree Bark,Mountains, Mallorca,Backlit Leaves,Agave American","Two black and white and seven coloured photographs depicting rural scenes, details of natural elements and a motel swimming pool.",2005,,,"Anna''s love of travel, nature and quiet observation of lighting and details in her surroundings shine through in her eye-catching landscape photography. Extract from Anna Proctor’s website: www.annaproctorphotography.co.uk",Photographic print,Artist signature,Purchased by the RUH in 2008 after being on loan.,,,70,103,,,Good,,"Royal United Hospital, Lansdown Restaurant, RUH staff dinning room, RUH South, ground floor, Combe Park. Bath BA1 3NG","(51.3909, -2.39165)",51.3909,-2.39165,Abstract|Figurative|Photography,Anna Proctor,"Anna Proctor is a Fine Art photographer and a Qualified Licentiate of the Master Photographers Association (LMPA) and a Licentiate of the Royal Photographic Society (LRPS). She works to commission for art, commercial and location lifestyle photographic work.",http://www.annaproctorphotography.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA50-a.jpg|BA50-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,29,316,8,1,16
BA146,RE: cycle II,A giant bicycle frame is resting on a tree trunk. Two wheels rotate in the wind; they are decorated with eight white wooden arrows. A disused white and blue neon is positioned at the base of the bicycle frame. A painted triangular metal flag points out from the base of the bicycle derailleur. At the bottom of the trunk there is what looks like a wheelbarrow frame turned upside down with curved handles.,2007,,,"‘RE: cycle means regarding the cycle, it is a homage to Marcel Duchamp and Picasso who both used bicycles in their work. RE: cycle also refers to the fact that we are all eventually recycled…into dust or smoke or something. It also carries an environmental and well being message, riding a bicycle is good for energy saving and reducing waste as well as a healthy pursuit for body and mind.’ Peter Wells","Metal, rubber, paint, plastic",,RE: cycle was a project initiated and produced by the artist who reports on its installation: ‘It was totally my own idea and took a lot of planning and dangerous work. I was up there once in a thunderstorm with lightening around me! I also had to alter the piece after various storms and had to protect it from the public with thorns and barbed wire around the base.’ Peter Wells. Peter was commissioned to create a RE: cycle sculpture for the Glastonbury Festival in 2007.,See also Peter Wells’ RE: cycle I along the Kenneth and Avon canal between Bath and Bathampton.,,350,250,,,"Poor, the metal is rusty",The structure appears safe.,"Abbey View allotment, Abbey View Gardens, Bath BA2 6DQ","(51.3775, -2.34979)",51.3775,-2.34979,,Peter John Wells,"Born in Eldoret, Kenya, Peter attended the Bath Academy of Art between 1977 and 1980. He subsequently exhibited in London, Brussels and with The British Council in India  in 1996, 2000 and 2007. In 1999 he was nominated Guardian Artist of the month. Peter has also illustrated children’s books for Action Aid and has designed sets for the Opera Director Ian Burton. Peter spends six months of the year travelling in India and creates many of his pieces while he is there, other work he recreates at home in England in the summer, working from pencil sketches, pen and ink drawings, photographs, entries in his journals. He presented another <i>RE: cycle</i> sculpture at Glastonbury Festival in 2007.",http://www.peterjohnwells.co.uk,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA146-a.jpg|BA146-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,33,562,12,1,111
CP153,On the Wings,A series of fourteen mosaic birds of various shapes with writing on their feathers fly across the surface of the bridge’s underside.,1990,1993,A multi opening event ceremony was organised with cyclists travelling between Mangotsfield Station and Warmley Station.,The theme was based on flight and refers to another form of sustainable bird movement.,Ceramics,"Founded by Avon CC, the roadway common, co-ordinated by Vizability","The 15 mile long railway path between Bath and Bristol was built by Sustrans between 1979 and 1985. The sculpture trail entitled Art and the Travelling Landscape was created by Katy Hallett with support and sponsorship from a large number of public and private institutions.<br>On the Wings was the result of an outreach project involving several centres and local groups such as Oldham Common Young Mothers, a Disability Centre, and Warmley School.",,,150,150,,,"Very poor, out of fourteen birds only four are still covered or partially covered in mosaic. A lot of mosaic pieces can be found on the cycle path.",The wooden boards cut in the shape of the birds and supporting the mosaic are still securely fastened.,"Bath and Bristol Railway Path, Victoria Road Bridge, Bitton","(51.4497, -2.4666)",51.4497,-2.4666,,Vizability Community Art,Vizability was an artist led co-operative based in Bishopston in Bristol. They ceased to exist after Avon County became unitary authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CP153-a.jpg|CP153-b.jpg|CP153-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,,,,,
BA107,"Lady Hare on Dog, 1999","A walking dog is carrying the Lady-Hare on its back. The dog is approximately three times the size of the Lady-Hare. The Lady-Hare has a human body leaning against the dog’s back, its head is resting on the dog’s head with its arms embracing the dog’s face. The texture of the piece is very rugged and both animals’ bodies are inserted with metal parts, small cogs and wheels, a grater, a bicycle chain suggesting the vertebrae of the dog. The colour of the piece is grey with hints of copper green.",1999,2000,,"Sophie Ryder creates part animal, part human ‘characters beyond human form’ as she describes them. The Lady-Hare was created as a companion for the Minotaur, although in this work his place has been taken by the dog. To Ryder the Lady-Hare’s ears represent human hair, and the figure can be interpreted as a self-portrait. (Transcript of the Victoria Art Gallery label).",Bronze,Ryder 1999,The piece was purchased with the aid of the Museum and Gallery Council/Victoria and Albert Museum Purchase Grant Fund and the Friends of the Victoria Art Gallery. It was purchased as a permanent reminder of Sophie Ryder’s exhibition ‘Life Force’ held at the Victoria Art Gallery in 1999. At the same time as the exhibition four monumental works by the artist were situated around the city.,,,154,173,,,Very good,Very good,"Victoria Art Gallery: main entrance hallway, Bridge Street, Bath BA2 4AT","(51.3829, -2.35844)",51.3829,-2.35844,Figurative|Sculpture,Sophie Ryder,"Sophie Ryder is figurative artist renowned for her giant sculptures exploring mythical characters and more particularly her own creation of the Lady-Hare, part human, part hare, a figure she has developed over the years. She trained in sculpture at the Royal Academy School between 1981-1984 and was involved in many site-specific projects across the UK including the Forest of Dean. She has exhibited nationally and internationally, including Bath in 1999 and 2009 (Victoria Art Gallery) and at the Yorkshire Sculpture Park.",http://www.sophie-ryder.com/,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA107-a.jpg|BA107-b.jpg|BA107-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,11,7,1,20
BA26,Magna Carta,"This mural is no longer visible but it covered the whole building façade with inscription from the Magna Carta in black lettering and in English (the original text is in Latin). Two rows of close-set small rectangular windows running along the whole length of the façade were covered with silver FASCAL adhesive film cut outs in a variety of characters representing medieval society: a king, an archbishop, an Earl, No Free Man and other imaginary characters.",1978,1978,,"The theme of the piece is medieval society, real and imagined by the artists. It was chosen in reference to the medieval narrow shape of the street on which the building sits in John street. The figures from left to right on the first row are: The King, Stephen Langton (an imagined portrait of the Archbishop of Canterbury), William Marshall, Earl of Pembroke, Isabelle of Angouleme (who was King John’s Queen). On the second row: the castle of Rochester, Forrest and Warren (two imaginary characters), No Free Man (an imaginary character) and a representation of early English architecture. The large window (artwork no longer visible): the King enthroned (Great Seal of England). From the City of Bath‘s Mayor’s Honorary Guides, September 1995, Number 53 (PP195), Bath Record Office.",Paint over Bath stone and FASCAL adhesive film on the windows.,An abbreviated translation of the Magna Carta by Professor Harry Rothwell. Taken from W.L Warren’s book ‘King John’,"The piece was commissioned by Philips and Jolly’s Auction Rooms. On the advice of architects Williams, Bertram and Fell who restored adjoining properties, an open competition was organised by Bath Preservation Trust and Bath City Council to decorate the façade of the auction house. The painting was done with the help of Streetwatch, a team of unemployed young people led by Nick Jones of Bath Urban Studies Centre. They were supervised and assisted by architect Margaret Withers over a four week period between November and December 1978. Small letters were stencilled using sheet metal letter cuts provided by students from Bath Technical College and paint was donated by ICI Paints Ltd.","For more information please consult the City of Bath‘s Mayor’s Honorary Guides, September 1995, No 53 (PP195), Bath Record Office.<br><br>This building was substantially altered in 2010 and the Magna Carta mural no longer exists. This is an archive entry for information only.",,600,1500,,,"No longer on wall - building now altered but had been Fair, soot on the top edge",,"(Formerly) Bath, John Street, back end of the former Auction house Bonhams, John Street, BA1 2JL","(51.3837, -2.36249)",51.3837,-2.36249,Decorative|Figurative|Mural,Alison Share,,,,,,Carlton Smith,,,,,,Diana O’Keffe,,,,,,Ian Clegg,,,,,,Margaret Withers,Margaret Withers was an architect living in Bath who later moved to Cornwall.,,,,artistic direction and management,Quintin Howard Evans,,,,,,BA26-a.jpg|BA26-b.jpg|BA26-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,11,7,1,20
BA81,Durham Prison,Black and white photographic prints in black deep boxes. The photographs depict barred windows and hands.,1992,1992,,,Colour and black and white photographic print. Deep boxes: painted wood,,Not known,,,50,50,20,,Good,Good,"University of Bath, E-lounge at 5 West Level 3 (other photographs from the set are in stored collections), Claverton Down, Bath, BA2 7AY","(51.3802, -2.33041)",51.3802,-2.33041,Photography,Nick Lowe,(no details found),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA81-a.jpg|BA81-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,22,580,12,1,29
BA122,"Georgian, Nanny Face, Conehead and Flowerpot Man","Flowerpot Man: a man standing in jacket and suit, his hands folded in front of his body with a flowerpot in place of a head. <br>Conehead a face with an open mouth and a long conical, bold head. Conehead supports the unfinished steel canopy of the loading bay and has the end of the metal roofing structure inserted on the left hand side of its head. <br>Georgian: a face with curly hair, a mole on the chin, wearing a carnival mask covering his eyes.<br>Nanny Face: a face with a covered head, tight lips, wearing round glasses looking straight at the viewer with a stern expression.",1995,1995,The sculptures were unveiled by Don Foster MP when the Natural Theatre Company’s building officially opened in 1995. It was re-unveiled ten years later by Don Foster MP accompanied by Ralph Oswick’s famous character Lady Margaret after being repaired. This was a triple unveiling which included the return of the stolen White Hart pub stag statue and the mending of the church clock opposite. The ceremony was attended by several hundred locals and became the basis from which the large-scale street parties Widcombe Rising were created.,"All sculptures are based on the Natural Theatre’s best-known street theatre and stage characters.<br>Flowerpot Man is the company’s unofficial trademark. Its jacket and hands were modelled on a photo of Prince Charles.<br>Georgian and Nanny Face are two brackets either side of the lift door. The carvings serve as structural supports for an unfinished steel canopy/loading bay that was meant to have a glazed roof but funding ran out.<br>The intention of the project was to involve trainee masons in a creative and amusing community project and to celebrate the arrival of the Natural Theatre Company in Widcombe. Nanny Face was positioned at street level to reflect the nature of the Naturals’ work that specialises in street theatre. It is in Bath stone representing the fact that the Naturals are an integral part of the cultural fabric of the city.<br>The trainees chose the subjects that inspired them from photographs and videos of the Natural Theatre’s work, in consultation with the architects, Aaron Evans Architects. Their work was deliberately populist in style.",All sculptures are made of Bath stone,"Flowerpot Man: M. Blow, N. Rose, M. Ford, K. Fridrich, B. Holden, P. Jennings carved in circle along the base of the piece.<br>Conehead: none<br>Georgian: none<br>Nanny Face: none","Project co-ordinators were Natural Theatre Company Artistic Director Ralph Oswick and General Manager Dot Perrier. The building restoration was financed by Arts Council England via the National Lottery, the Foundation for Sport and the Arts, Bath City Council and the Natural Theatre Company. The Bath stone was provided half price by Foster Yeoman Ltd, an aggregate business in Frome and paid for by sponsorship from Walcot Reclamation. Transport and installation were carried out in kind by Emerys of Bath, main contractors for the restoration.",,,275,34,31,,"Flowerpot Man: good. Mild lichen traces on the base and on the jacket. In 2005 when the head of the sculpture was vandalised the face was scratched and sanded back. <br>Conehead: good. Traces of moss on the top of the head running along the left and right cheeks and around the chin.<br>Georgian: good with traces of moss on the hair<br>Nanny Face: good, moss traces on the right hand side of the veil",Flowerpot Man: good. In 2005 the carved flowers at the back of the head were damaged. They were re-carved by a professional mason and steel rod implanted in between the shoulders and head to strengthen the structure.<br>Conehead: good<br>Georgian: very good <br>Nanny Face: very good,"Bath, Widcombe Hill, entrance of the loading bay area of the Widcombe Institute Building, Bath, BA2 6AA","(51.3761, -2.35242)",51.3761,-2.35242,,B. Holden,,,,,,K. Fridrich,,,,,,M. Blow,,,,,,M. Ford,,,,,,N. Rose,,,,,,P. Jennings,,,,,,BA122-a.jpg|BA122-b.jpg|BA122-c.jpg|BA122-d.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,33,569,12,1,111
BA91,View of a Creek,"An abstract, colourful view of a creek with a village in the background; framed",,1998,,Part of the University of Bath Art Collection,Oil paint on canvas,,The painting was bequeathed to the University by Miss Margaret Niven in 1998 together with ''A View of the Severn Valley'' by Bernard Adams.,,,75,100,,,Good,Good,"University of Bath, Library Level 3, The Parade, Claverton Down, Bath, BA2 7AY","(51.38, -2.32796)",51.38,-2.32796,Abstract|Painting,Ben Matthews,"Born at the Chantry, Duston, Northampton in 1889, son of the Rev. B.Matthews. He trained and qualified as an architect before becoming a painter as a pupil of Eustace Frere and at the Architectural Association School in London. He went to Paris in 1923 and studied painting at the Academie Moderne under Othon Friesz and Fernand Leger.  He lived and painted principally in France between the two World Wars. From 1947 he spent a substantial amount of time in Spain and his work is mainly Mediterranean subjects. He was an Impressionist painter for many years but his work became more abstract from the 1970’s. Ben was also President of the National Society of Painters, Sculptors and Engravers and Honorary Secretary of the Royal Institute of Oil Painters. He exhibited not only in the UK but also in France, the United States and South Africa. (Extract from a 1972 catalogue for a retrospective exhibition of Ben Matthew’s work at the Central Art Gallery in Northampton).",,1889,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA91-a.jpg,Copyright: Bath and North East Somerset,22,580,12,1,29
BA158,Obelisk,A wooden obelisk sits on a wooden platform. Four cables are attached at the top of the obelisk and when plucked make a sound and create vibrations in the body of the person standing on the platform.,1994,,,"The piece was created to provide sensory stimuli for hearing impaired and visually impaired residents at Poolemead House.  One can use hands for plucking the cables or tap with a stick, creating vibrations that can be felt throughout the body.",Wood and metal,,The idea of a sensory sculpture was inspired by an open day at RNID Poolemead where residents used a variety of objects to create instruments and make music. The session was so successful that Poolemead staff decided to create a permanent sensory sculpture for the residents. <br>Obelisk is one of many other multi-sensory features at Poolemead including a camomile patch and a mint bench creating olfactory landmarks and sensory enjoyment for the visually impaired and hearing impaired residents.,"Access to the piece is by appointment, please contact the RNID centre to arrange a visit",,246,143,,,"Fair, the wooden platform’s surface is worn out and the wood is chipped in places.",Good,"Poolemead House, Watery Lane Cottage, RNID Poolemead, Twerton, Bath BA2 1RN","(51.3803, -2.40022)",51.3803,-2.40022,,Hugh Johnson,Hugh Johnson is still RNID Poolemead’s gardener,,,,,Richard Sadd,Richard Sadd organised arts and craft sessions for Poolemead residents and later became a Sign Language interpreter.,,,,,Tony Hay,Tony Hay organised music and movement sessions for residents at RNID Poolemead.,,,,,,,,,,,,,,,,,,,,,,,BA158-a.jpg,Copyright: Bath and North East Somerset,28,468,11,1,91
BA55,Dancers,An abstract sculpture cut in a thin sheet of stainless steel represents a dancer lifting another.,2003,2003,The dance studio with the stained glass and stainless steel sculpture at the front of the building were unveiled by the Mayor of Bath.,Stylised dancers signal the way to the dance studio.,Stainless steel,,The sculpture was funded through the ‘1% for art’ scheme as part of the new build of the Gilchrist dance studio.,"Access to the piece is by appointment, please contact the school to arrange a visit.",,210,80,,,Good,Very good,"St Gregory’s Catholic College, façade of the canteen building, entrance way to the dance studio, Combe Hay Lane Odd Down, Bath BA2 8PA","(51.3535, -2.38219)",51.3535,-2.38219,Abstract|Sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA55-a.jpg|BA55-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,30,327,19,1,61
