Number,1890,1900,1910,1920,1930,1940,1950,1960,1970
46,,,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Bath Co-op Grocers,Bath Co-op Grocers,Ace Supermarket
47,,,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Bath Co-op Grocers,Bath Co-op Grocers,Ace Supermarket
48,,,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Bath Co-op Grocers,Bath Co-op grocers,Ace Supermarket
49,,,Glass Merchant,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Bath Co-op house Furnishers,Bath Co-op Hardware,
50,,,Glass Merchant,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Bath Co-op Drapers,Bath Co-op Drapers,
51,,,Baker & Confectioner,Twerton Co-operative Stores,Twerton Co-operative Stores,Twerton Co-operative Stores,Bath Co-op Drapers,Bath Co-op Drapers,
52,,,Greengrocer,Greengrocer,Greengrocers,General Store,Greengrocers,Greengrocers,Parkers Bakeries
53,,,Fancy Drapers,Drapers,Drapers,Drapers,Drapers,Bendix Laundrette,Launderette
54,,,,,,,,Woolworths & Maypole Dairy Co,Woolworths
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,Maypole Dairy Co
58,,,Machinist,,,,,,
