name,also_known_as,postcode,phone,website,service_types,date_last_check,specialisms_services,provider_name,local_authority,region,location_url,location_id,provider_id,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Visiting Christian Science Nursing Service,,BA1 7QD,1225859501,,Homecare agencies,15/05/2013 - 01:00,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Personal care,Whitehaven Trust Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-118330117,1-118330117,1-101677476,6c17bf750aa0f131b95a11148f5e8834db5af6a3,"22 Box Road, Bathford, Bath
(51.403049, -2.309141)",1,26,41,10,1
Circle Hospital (Bath) Limited t/a Circle Bath,,BA2 8SQ,1761422222,http://www.circlebath.co.uk,Hospital,19/02/2014 - 00:00,"Caring for adults under 65 yrs|Caring for adults over 65 yrs|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Circle Hospital (Bath) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-119269999,1-119269999,1-101727364,eccd7ec464d1aa36512d5fe4d40faecca68af814,"Foxcote Avenue, Bath Business Park, Peasedown St John, Bath
(51.311296, -2.416357)",15,72,377,22,1
Care South Home Care Services Bath,,BA2 8SG,1761422920,http://www.care-south.co.uk,Homecare agencies,25/02/2014 - 00:00,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities|Personal care,Care South,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-119691985,1-119691985,1-101609021,8cdbef0e19705e2c7af6396281277b1b9b42eb12,"3 The Office Village, Roman Way, Bath Business Park, Peasedown St John, Bath
(51.312229, -2.414357)",15,70,383,22,1
Greenhill House - Care Home with Nursing Physical Disabilities,,BA2 0ES,1761479900,http://www.lcdisability.org,Nursing homes,23/01/2014 - 00:00,"Caring for adults under 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Leonard Cheshire Disability,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-120084900,1-120084900,1-102642667,30eeac7d76454445ab7ac3d76d11b1c391164aea,"South Road, Timsbury, Bath
(51.323673, -2.483088)",14,87,460,16,1
RNID Action on Hearing Loss Newbridge Hill,,BA1 3PR,1225443019,http://www.rnid.org.uk,Residential homes,04/03/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities|Accommodation for persons who require nursing or personal care,The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-120302216,1-120302216,1-102642650,33f09aeb555400cda33678ad5d43c065f8d34676,"51 Newbridge Hill, Bath
(51.386609, -2.391058)",29,16,318,8,1
RNID Action on Hearing Loss Barron Winnicott Home,,BA2 1RN,1225342928,http://www.rnid.org.uk,Residential homes,29/10/2013 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities|Accommodation for persons who require nursing or personal care,The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-120302473,1-120302473,1-102642650,83735d2cf03ee12d876c78b8647152b7060bc102,"Poolemead Centre, Watery Lane, Bath
(51.380248, -2.400215)",28,91,468,11,1
RNID Action on Hearing Loss Gallaudet Home,,BA2 1RN,1225356492,http://www.rnid.org.uk,Residential homes,22/03/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities|Accommodation for persons who require nursing or personal care,The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-120302490,1-120302490,1-102642650,315c03ee6a1315ed8f68b356dc09d985d776d806,"Poolemead Centre, Watery Lane, Bath
(51.380248, -2.400215)",28,91,468,11,1
RNID Action on Hearing Loss Ashley Phoenix Home,,BA2 1RN,1225356490,http://www.rnid.org.uk,Residential homes,09/08/2013 - 01:00,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities|Accommodation for persons who require nursing or personal care,The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-120302507,1-120302507,1-102642650,ff832b7f5fdf429e8e5463f3803aa92b5ebcf10d,"Poolemead Centre, Watery Lane, Bath
(51.380248, -2.400215)",28,91,468,11,1
RNID Action on Hearing Loss Leopold Muller Home,,BA2 1RN,1225356482,http://www.rnid.org.uk,Nursing homes,24/12/2013 - 00:00,"Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-120302542,1-120302542,1-102642650,529bd225a30595f58c47ed5c24ca28b247285e0c,"Poolemead Centre, Watery Lane, Bath
(51.380248, -2.400215)",28,91,468,11,1
Whitehaven Care Home,,BA3 4AU,1761413143,http://www.qualitycarehomes.ltd.uk,Residential homes,03/10/2013 - 01:00,Sensory impairments|Dementia|Mental health conditions|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,Quality Care Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-120421124,1-120421124,1-101676774,019df1cfbee4ec0f19add51e12c58371dc364ef1,"Fosseway, Midsomer Norton, Radstock
(51.278584, -2.472937)",26,100,520,26,1
Oakfield Care Home,,BA1 4AS,1225335645,http://www.fshc.co.uk,Nursing homes,22/02/2014 - 00:00,"Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Acegold Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-123562685,1-123562685,1-116865061,b4381e9a1605654e29f180ee4c43124f9c4035c7,"Weston Park, Weston Village, Bath
(51.393435, -2.385367)",20,107,547,5,1
Bath MIND - 82 Lower Oldfield Park,,BA2 3HP,1225448396,,Residential homes,13/06/2013 - 00:00,Mental health conditions|Accommodation for persons who require nursing or personal care,Bath MIND,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-124160584,1-124160584,1-101609102,72814f7d70871ecfaf2257792d1f9f8b12d00565,"Oldfield Park, Bath
(51.377267, -2.371798)",33,112,563,12,1
Ivybank House Care Home,,BA2 5NF,1225837776,http://www.fshc.co.uk,Residential homes,12/07/2014 - 00:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,FSHC Newco 2 Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-124828047,1-124828047,1-116863852,04d4e5578d01deaebcf93ac67c94d707f34e14b2,"Ivybank House, Ivybank Park, Bath
(51.363769, -2.363415)",18,4,261,17,1
Treetops,,BS31 1AF,1179869700,http://www.shaw.co.uk,Nursing homes,05/12/2013 - 00:00,"Dementia|Mental health conditions|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury",The Shaw Foundation Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-125519833,1-125519833,1-101635648,206e4c1db12b4b1a0b6979ff611eff8692fce25c,"St Clements Road, Keynsham, Bristol
(51.409797, -2.498186)",37,52,179,2,1
64 Chilcompton Road,,BA3 2PL,1761414034,http://www.swallowcharity.org,Residential homes,26/09/2013 - 01:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Swallow Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-142966073,1-142966073,1-101647120,20783c2759b4a853368bd9ed1b288d6d27ed9887,"Midsomer Norton, Radstock
(51.282248, -2.493794)",25,13,302,27,1
Bloomfield,,BS39 7BD,1761417748,http://www.barchester.com,Nursing homes,10/12/2013 - 00:00,"Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Barchester Healthcare Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-125862088,1-125862088,1-102642955,931cf7429105d69c6062dd3b5403d98b1c3670ee,"Salisbury Road, Paulton, Bath
(51.299399, -2.495126)",13,67,372,23,1
Rosewell,,BS39 6HF,1761472062,http://www.europeancare.co.uk,Nursing homes|Rehabilitation (illness/injury),05/04/2014 - 01:00,"Dementia|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Embrace (UK) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-125882484,1-125882484,1-102643156,3d0304efc7cde044305cf3df9b6a6ae1c293c5a6,"Church Hill, High Littleton, Bristol
(51.320057, -2.510947)",3,42,135,23,1
Smallcombe House,,BA2 6EJ,1225465694,http://www.salvationarmy.org.uk,Residential homes,13/06/2014 - 00:00,Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,The Salvation Army Social Work Trust,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-126102853,1-126102853,1-102643035,0894d59146068e6ffdefeb8a5840a5fbbf92d5a4,"Oakwood Gardens, Bathwick Hill, Bath
(51.377569, -2.337432)",22,29,77,12,1
Woodland Grove,,BA1 4AS,1225464004,http://www.anchor.org.uk,Residential homes,14/05/2014 - 01:00,Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,Anchor Trust,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-126242424,1-126242424,1-102642895,8c001627ace0daacb0c3bbb6b10aa7e91e051b4f,"Weston Park, Weston Village, Bath
(51.393435, -2.385367)",20,107,547,5,1
The Laurels Nursing Home,,BA2 0ER,1761470631,http://www.europeancare.co.uk,Nursing homes|Rehabilitation (illness/injury),23/10/2013 - 01:00,"Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Embrace (South West) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-126265158,1-126265158,1-118170329,f5a7edf35c51e09cb8d636aad0d7cffd94c44197,"South Road, Timsbury, Nr Bath
(51.323391, -2.481822)",14,88,454,16,1
Burlington Street,,BA1 2SA,1225320060,http://www.dhi-online.org.uk,Rehabilitation (substance abuse),24/03/2014 - 00:00,Caring for adults under 65 yrs|Mental health conditions|Substance misuse problems|Accommodation for persons who require treatment for substance misuse,Developing Health and Independence,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1263008673,1-1263008673,1-927177975,c8a08b9660a878319034e099786cff13c823b249,"1 - 4 Burlington Street, Bath
(51.388557, -2.364287)",21,2,247,7,1
Englishcombe House Residential Home,,BA2 2EE,1225428369,http://www.cedarcarehomes.com,Residential homes,19/09/2013 - 01:00,"Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury",Cedar Care Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-126332039,1-126332039,1-101642327,89d67e2456568dc7ab0258a8d8af94e0734329aa,"33 Englishcombe Lane, Bath
(51.367165, -2.375767)",31,65,344,14,1
Oriel Lodge,,BA1 7AS,1225310301,http://www.thegroveonline.co.uk,Residential homes,18/01/2014 - 00:00,"Sensory impairments|Dementia|Mental health conditions|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury",Grove Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-127126102,1-127126102,1-101683733,e607bc3dc5353f1ad9e95108fba1faa6b3f99155,"Oriel Gardens, Lower Swainswick, Bath
(51.401182, -2.340294)",23,58,217,4,1
Priory Radstock,,BA3 3RS,1761438610,http://www.priorygroup.com,Residential homes,18/07/2014 - 00:00,Caring for adults under 65 yrs|Learning disabilities|Accommodation for persons who require nursing or personal care,Priory Education Services Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-127569767,1-127569767,1-118164389,ef9e7c3b9ce1097db1c53ab1be1a244596515f26,"Rookery House, Wells Road, Radstock
(51.290641, -2.455078)",26,99,521,26,1
Priory Radstock Satellite,,BA3 2JP,1761417398,http://www.priorygroup.com,Residential homes,29/10/2013 - 00:00,Caring for adults under 65 yrs|Learning disabilities|Accommodation for persons who require nursing or personal care,Priory Education Services Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-127583815,1-127583815,1-118164389,8456c381285c57fe8f9d5b6350595893d7211e3b,"42 Redfield Road, Midsomer Norton, Radstock
(51.28375, -2.491588)",25,13,302,27,1
Elm Tree House,,BS31 1NR,1179867791,http://www.craegmoor.co.uk,Residential homes,07/05/2014 - 01:00,Caring for adults under 65 yrs|Learning disabilities|Accommodation for persons who require nursing or personal care,Treehome Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-128712287,1-128712287,1-118164087,870409dd3322fa8bbd4b3ad75bfe10c755a072c4,"8 Chandag Road, Keynsham, Bristol
(51.41125, -2.490638)",16,45,157,3,1
Batheaston Dental Practice,,BA1 7NB,1225859394,,Dentist,04/12/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Vanessa Vaughan,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188126312,1-188126312,1-152945012,7ee9475f24131a3230de722b8fa33cf8cdce326b,"211 London Road East, Batheaston, Bath
(51.405615, -2.317756)",1,23,35,10,1
BMI Bath Clinic,,BA2 7BR,1225835555,,Hospital|Diagnosis/screening,30/05/2013 - 01:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",BMI Healthcare Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-128758255,1-128758255,1-102643500,9a6e71f30eb1480de090fd0fcd8ae7311706a6e9,"Claverton Down Road, Combe Down, Bath
(51.364141, -2.332191)",19,37,105,18,1
Saltford Dental Surgery,,BS31 3DJ,1225873809,,Dentist,30/05/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Michael Robert Owen,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1442649016,1-1442649016,1-1269533369,f0d5729d5bf145084fc8fc3a599b2a1d4b567c10,"478A Bath Road, Saltford, Bristol
(51.402088, -2.45933)",17,80,422,16,1
Shockerwick House Residential and Nursing Home,,BA1 7LL,,,Nursing homes,11/12/2013 - 00:00,"Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Bupa Care Homes (CFC Homes) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-130120637,1-130120637,1-116865215,e1298399a3b2dece40060194852648cfe5562163,"Shockerwick House, Lower Shockerwick, Bath
(51.416182, -2.285848)",1,26,41,10,1
Cranhill Nursing Home,,BA1 2YA,1225422321,,Nursing homes,08/10/2013 - 01:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,Mr Charles Otter,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-130276899,1-130276899,1-101716554,5a68570e21f1506304c899263a6d67022db7913a,"Weston Road, Bath
(51.389812, -2.376657)",20,107,548,5,1
Way Ahead Care - Bath and North East Somerset,,BA2 9ES,1225789161,http://www.wayaheadcare.co.uk,Homecare agencies|Supported housing|Supported living,10/04/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities|Personal care,Way Ahead Community Services Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-130335221,1-130335221,1-101647801,9fd659ff1407851a259c09d947c1efb801600c1e,"Chameleon Court, Lower Bristol Road, Bath
(51.382394, -2.398523)",28,92,479,11,1
Ellsworth House,,BA3 4AU,1761404550,http://www.consensussupport.com,Residential homes,10/01/2014 - 00:00,Caring for adults under 65 yrs|Learning disabilities|Accommodation for persons who require nursing or personal care,Consensus Support Services Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-132648020,1-132648020,1-119235696,8b322b6ed24174f9fff83bff0834c01574d99b83,"Fosseway, Midsomer Norton, Radstock
(51.278584, -2.472937)",26,100,520,26,1
Carewatch (Bath & North East Somerset),,BA3 2HN,1761411199,http://www.carewatchbath.co.uk,Homecare agencies,22/02/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities|Personal care,I & S Dutton Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-135903368,1-135903368,1-125693062,8187688858b722c9252a448cf088a31d6c672be0,"125 High Street, The Island, Midsomer Norton, Radstock
(51.285688, -2.483808)",11,11,291,25,1
RNID Action on Hearing Loss 29 & 30 Dominion Road,,BA2 1DW,1225332396,http://www.rnid.org.uk,Residential homes,05/03/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities|Accommodation for persons who require nursing or personal care,The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-136679993,1-136679993,1-102642650,c67bcbb8f39f586af49636efcc3cb3f48fa826db,"29 & 30 Dominion Road, Twerton, Bath
(51.379942, -2.397654)",28,92,479,11,1
RNID Action on Hearing Loss Watery Lane Cottage,,BA2 1RN,1225342917,http://www.rnid.org.uk,Residential homes,22/03/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities|Accommodation for persons who require nursing or personal care,The Royal National Institute for Deaf People,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-136680037,1-136680037,1-102642650,243ef4ab57dd3a6f7a65d021347777a6d75f53f9,"Poolemead Centre, Watery Lane, Bath
(51.380248, -2.400215)",28,91,468,11,1
