Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Pensford Primary School,This school in Bristol will use the funding to deliver training and playtime activities to young children during lunch breaks and after school. This will enable the beneficiaries to take part in more structured playtime activities which will improve social skills and general communication skills.,27/10/2014,9036,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Bathford Cricket Club,Bathford Sports Pavilion Project,20/10/2014,20284,Inspired Facilities,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Pentathlon GB,NGB Funding 2013-17,16/10/2014,275150,NGB Funding 2013-17,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Holburne Museum Of Art,Contemporary Art Programme,03/10/2014,64636,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,University of Bath Trampoline Club,Furthering club success,01/10/2014,8929,Small Grants,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Bath and North East Somerset Council,The Archway Centre: Roman Baths Learning Centre and World Heritage Interpretation Centre,30/09/2014,3544800,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",An application from an individual,An application from an individual,30/09/2014,3110,Heroes Return,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Golden-Oldies,"The organisation will use the funding to expand its reach by delivering singing and social activities in a new part of the region. This will enable the group to deliver therapeutic singing activities to more older and vulnerable people in the region in order to improve wellbeing, provide a social activity and reduce isolation.",30/09/2014,9350,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Read Around Bath,"This charity in Bath will use the funding to run an outreach reading club for people from disadvantaged backgrounds. This will enable members of the public who find reading difficult to come together, learn how to read and hold discussions about the book they have read.",30/09/2014,9160,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Avon County Rowing Club,Explore Avon County 2014,22/09/2014,10000,Small Grants,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",59th Staffordshire Division,59th Staffordshire Division,09/06/2014,4000,Heroes Return,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Parochial Church Council Of Paulton,"This charity in Paulton will use the funding to make alterations to the existing path through the churchyard, removing a step and re-grading the path to enable better access. This will enable greater usage of the churchyard by the local community.",19/09/2014,8000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Butcombe Village Hall,This is a project by a charity in Bristol. The group will use the funding to replace kitchen equipment within the village hall. This will respond to an increasing need to provide local residents and groups with access to useable facilities.,24/08/2014,9833,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Creativity Works for Everyone,"This is a project by a charity in Bath. The group will use the funding to form an alliance with other charities to provide a food stall and a social, caring and supported route for people who are dealing with ill mental health to encourage them to access",20/08/2014,10000,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Museum of East Asian Art,Lunar New Year Development Programme,19/08/2014,12570,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Elizabeth Crarer,The Heroine Project: Dorothy Lawrence,19/08/2014,1914,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Judith Rodrigues,The Hill Hassall R&D Residency,18/08/2014,6101,Grants for the arts,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Theatre Bath,Theatre Bath Conference & Workshops 2014/15,13/08/2014,7000,Grants for the arts,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Live Wire Theatre Company,This is a project by a community organisation in Bath and North East Somerset. The group will use the funding to run creative and interactive workshops for people living with disabilities. This will engage beneficiaries to increase their confidence by working together and feeling valued in new social situations.,04/08/2014,3000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Cleveland Pools Trust,Cleveland Pools Restoration Project,22/07/2014,4143600,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Welton Primary School,This is a project by a school based in Bath. The group will use the funding to build a pond for use by children during extra-curricular activities. This will improve the provision of outdoor learning for science and nature activities.,17/07/2014,5004,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Whitchurch Primary School,Primary Spaces,16/07/2014,19000,Primary Spaces,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,St. Saviour's C/E Junior School,Primary Spaces,16/07/2014,30000,Primary Spaces,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,High Littleton,Primary Spaces,16/07/2014,30000,Primary Spaces,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",St Philip's CE VC Primary School,"This is a project by a school in Bath. The group will use the funding to install new play apparatus for children. This will improve the group?s facilities and provide a new, engaging, outdoor area for beneficiaries.",16/07/2014,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Dance,Bath Dance and Beyond,10/07/2014,67044,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,St Saviours Infants,Primary Spaces,09/07/2014,28800,Primary Spaces,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,UNIVERSITY OF BATH,3Thirty Club (II),08/07/2014,93686,University Sports Activation Fund,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Hospital Broadcasts Society,"This is a project by a charity in Bath, Somerset. The group will use the funding to purchase new radio broadcast equipment to replace to current outdated equipment, train and recruit new volunteers and develop a new programming schedule in celebration of",25/06/2014,9750,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Folk Festival,Bath Folk Youth Band,25/06/2014,5452,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,3rd Stage Dance Company,Hidden Dance,23/06/2014,2240,Grants for the arts,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Ideas of the Mind Ltd,Forest of Imagination,23/06/2014,15000,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",CAB-Bath & NE Somerset,This is a project by a charity in Bath. The group will use the funding to provide accredited training for unemployed volunteers. This will provide the beneficiaries with the skills and qualifications that will improve their future employment prospects.,05/06/2014,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Natural Theatre Company,Natural Diversions Phase 2,04/06/2014,30891,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Bath Lawn Tennis Club,Purchase and effective promotion of a tennis ball machine,22/05/2014,1625,Small Grants,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Team Bath Evolution Trampoline Club,New trampolines,22/05/2014,10000,Small Grants,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",TRC,This is a project by a charity in Bath. The group will use the funding to build a playground for children who are recovering from trauma that use the group's projects. This will improve the group's facilities and provide an outside space for the children to enjoy where they feel safe.,22/05/2014,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Hampset Cricket Club,New under 18s team,14/05/2014,920,Small Grants,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Bath & North East Somerset Council,TRY Active Bath and North East Somerset,30/04/2014,209445,Community Sport Activation Fund,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Wellow Parish Council,Creation of tennis/netball courts,29/04/2014,50000,Inspired Facilities,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Bath Abbey Parochial Church Council,Bath Abbey Footprint project,29/04/2014,10429500,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Pride in Paulton Partnership,"This is a project by a community organisation in Paulton, Somerset. The group will use the funding to purchase watering equipment and hanging baskets. This will help to increase community pride and morale by providing an opportunity for the beneficiaries",29/04/2014,2911,Awards for All,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Robbie Verrecchia,Bath Carnival 2014,29/04/2014,15000,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Arts Strategy Group,Art at the Heart Participatory Arts,29/04/2014,60000,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Carnival,This is a project by a community organisation in Bath. The group will use the funding to provide creative workshops for disadvantaged young people and adults. This will enable the beneficiaries to take part in activities that they would normally not have,24/04/2014,8000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",B&NES Carers Centre,This is a project by a charity in Bath. The group will use the funding to recruit and train additional volunteers as well as existing ones to support the group's expansion. They will run fortnightly sessions of well publicised health screening and carers',17/04/2014,9796,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,City of Bath Petanque Club,Development of a new P?tanque Terrain,10/04/2014,23185,Inspired Facilities,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Sue Hill Dance Ltd,Victoria Hall  Development Project,04/04/2014,5670,Grants for the arts,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Bristol Bowmen and Golden Phoenix Archer,Emergency Flood Relief,28/03/2014,2000,Emergency Flood Relief,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Jolyon Laycock,Dark Seas,24/03/2014,1800,Grants for the arts,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Keynsham & District Mencap Society,Keynham Mencap Boccia Club,21/03/2014,4750,Small Grants,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Parochial Church Council of High Littleton,This is a project by a community organisation in Bristol. The group will use the funding to repair the retaining boundary wall of their churchyard. This will improve the group's facilities and ensure the safety of people walking on the pavement adjacent to the wall.,17/03/2014,10000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Bristol Initiative Charitable Trust,Bath and Bristol's Heritage in the Lifting and Accessing Industry,12/03/2014,10000,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Golden-Oldies,World War One - Our Heritage in Songs and Memories,12/03/2014,25000,,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
UK Sport,Sport,Pentathlon GB,Major Event,01/03/2014,258000,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Minerva Bath Rowing Club,Get Equipped - Hard of hearing awareness & assistance,25/02/2014,2405,Get Equipped,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Whitchurch Primary School,"This is a project by a school in Bath, Somerset. The group will use the funding to purchase outdoor play equipment. This will improve the group's facility and provide a stimulating play area which can be used by a wider cross section of children.",25/02/2014,9695,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Fringe Festival,New Works No. 2,25/02/2014,31588,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Twerton Infant School,This is a project by a school in Bath. The group will use the funding to provide an extracurricular project to help children and their parents who have no access to ICT equipment or the internet to develop ICT skills.,12/02/2014,9720,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Cameley CofE VC Primary School,"This is a project by a school in Temple Cloud, Bristol. The group will use the funding to upgrade a dilapidated trim trail area with sensory, creative and musical play equipment. This will provide children with an adventurous, interactive inclusive play area which will also be accessible for children with special educational needs.",12/02/2014,7184,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Hinton Blewett Parish Council,This is a project by Hinton Blewitt Parish Council. The group will use the funding for new playground equipment. This will provide the community with a recreation space and encourage participation in healthy outdoor activities.,11/02/2014,3640,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Wellow Parish Council,Wellow Parish Council,07/02/2014,9502,Awards for All,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Royal United Hospital Charitable Fund,This is a project by a charity in Bath. The group will use the funding to run reminiscence therapy for older people who live with Dementia. This will enable the beneficiaries to take part in constructive and positive activities that will provide a therapeutic way for the participants to reduce the most severe symptoms of Dementia.,05/02/2014,8760,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Ramshacklicious Theatre Company,Grime,29/01/2014,49500,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Chew Stoke Church Hall,This community organisation in Bristol will use the funding to improve the facilities in their church hall to enable access for people with disabilities.,25/01/2014,10000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Kilter Theatre,The Last Post 2014,13/01/2014,14964,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Stephanie Bengry-Howell,Industri us,07/01/2014,9048,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Wassail,The Giants,23/12/2013,11000,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Golden-Oldies,The Goldies singing sessions project aims to address isolation and loneliness across South Wales. It will also deliver its ?Time after Time? (Tro ar ?l Tro) intergenerational project in schools. A BIG SING will be held in the final year of the project bringing together groups and of ages in a musical event. 26 new sessions will be established over 3 years; 500 isolated older or disabled people and 500 young people of school age will benefit.,18/12/2013,149000,People and Places,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Camphill Communities Thornbury Limited,"This is a project by a school in Bristol. The group will use the funding to renovate and update a music gazebo to provide a special place for children with moderate to severe special needs. This will create a safe, purpose built outdoor space to develop their social and practical skills and confidence.",04/12/2013,10000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Museum of East Asian Art,Lunar New Year Extravaganza - The Year of the Horse,02/12/2013,3490,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Fringe Festival,New Works,23/04/2013,19532,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Three Ways School,This is a project by an academy in Bath. The group will use the funding to purchase two specially adapted off-road wheelchairs that will allow a number of children with very complex needs to have access to outdoor learning. This will provide the beneficia,25/11/2013,8990,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Butterfly Psyche Theatre,The Blue Bird,20/11/2013,14965,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Sounding It Out Association,Building Bridges - the Trowbridge Song Project,01/11/2013,49850,Grants for the arts,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Severnside Composers Alliance,Music on the Edge,24/10/2013,5000,Grants for the arts,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Westfield Parish Council,This is a project by Westfield Parish Council in Somerset. The group will use the funding to purchase and install new play equipment in the local park for young children. This will provide the community with new safe play facilities which will improve community and family interaction.,16/10/2013,10000,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Percy Community Centre,Steel Band School,16/10/2013,16448,Youth Music - Youth Music Programme,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Pentathlon GB,NGB Funding 2013-17,11/10/2013,189505,NGB Funding 13-17,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Westfield Parish Council,This is a project by Westfield Parish Council in Somerset. The group will use the funding to purchase and install new play equipment in the local park for young children. This will provide the community with new safe play facilities which will improve com,10/10/2013,10000,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Three Ways School,"This is a project by an academy in Bath. The group will use the funding to purchase two specially adapted off road wheelchairs that will allow a number of children with very complex needs to have access to outdoor learning, the wheelchairs would also be m",27/09/2013,8990,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The PCC of St Michael's Without,St Michael's spire and tower: a landmark to keep,18/09/2013,153300,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Chew Stoke Primary School,This is a project by a school in Bristol. The group will use the funding to purchase two Scrapstore Playpod storage containers and train lunchtime play workers. This will encourage the beneficiaries to be more physically and mentally active.,03/09/2013,9807,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure","St Mary the Virgin Church, Stanton Drew","This is a project by a community group in Stanton Drew, Bristol. The group will use the funding to install a toilet area and a servery. This will enable the group to provide toilet facilities and a place to prepare food for visitors to the church.",03/09/2013,9757,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Nicholas White,Yer Tiz,02/09/2013,2035,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Hawthorn Court Association,This is a project by a community organisation in Bristol. The group will use the funding to create a sensory garden for older people who are living with physical and sensory impairment. This will enable the beneficiaries to actively socialise and particip,30/08/2013,10000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Holy Trinity Parish Church,"This is a project by a community organisation in Bristol. The group will use the funding to install an audio-visual system for people who are hearing and visually impaired. This will ensure that the building is accessible to all members of the community,",29/08/2013,5401,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Hawthorn Court Association,This is a project by a community organisation in Bristol. The group will use the funding to create a sensory garden for older people who are living with physical and sensory impairment. This will enable the beneficiaries to actively socialise and particip,15/08/2013,10000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,"A Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Malta in September 2013. Funding has been provided for one Second World War veteran, one spouse and one carer.",14/08/2013,2420,Heroes Return,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,"Chantry Singers, The",Bach Festival 2010,03/08/2010,7000,Grants for the Arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Holy Trinity Parish Church,"This is a project by a community organisation in Bristol. The group will use the funding to install an audio-visual system for people who are hearing and visually impaired. This will ensure that the building is accessible to all members of the community,",08/08/2013,5401,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Philharmonia,Young Apollo Festival - A Britten Retrospective,31/07/2013,9923,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Golden-Oldies,"This is a project by a charity in Bath, Somerset. The group will use the funding to hold a training day designed to develop awareness of their singing club for older people. This will build capacity for the group by helping to attract new leaders to run t",30/07/2013,4820,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
