id,title,date,easting,northing,homepage,image,thumbnail,usage terms,location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
eaw040769,"Kingswood School, Lansdown, 1951. This image has been produced from a print marked by Aerofilms Ltd for photo editing.",1951/10/11,374218,166739,http://www.britainfromabove.org.uk/image/eaw040769,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW040769.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW040769.jpg,http://www.britainfromabove.org.uk/download/EAW040769,"(51.3990827787397, -2.371990556122488)",21,235,7,1,1
eaw049565,"The Chew Valley and the site of Chew Valley Lake prior to filling, Compton Martin, from the south-west, 1953",1953/05/26,355170,157908,http://www.britainfromabove.org.uk/image/eaw049565,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW049565.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW049565.jpg,http://www.britainfromabove.org.uk/download/EAW049565,"(51.31849315094605, -2.6446644286078937)",4,87,21,1,32
eaw026674,"Farmland, Herons Green, 1949. This image has been produced from a damaged negative.",1949/10/01,355154,159940,http://www.britainfromabove.org.uk/image/eaw026674,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026674.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026674.jpg,http://www.britainfromabove.org.uk/download/EAW026674,"(51.336761853914844, -2.645150424634802)",6,84,21,1,31
eaw032279,"The E. S. & A. Robinson Ltd Paper Mill and environs, Keynsham, 1950. This image was marked by Aerofilms Ltd for photo editing.",1950/09/05,366114,168690,http://www.britainfromabove.org.uk/image/eaw032279,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW032279.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW032279.jpg,http://www.britainfromabove.org.uk/download/EAW032279,"(51.416196827762825, -2.4886641553836077)",16,152,3,1,45
eaw002267,"Fry's (Cadbury's) Somerdale Factory, Somerdale, 1946",1946/08/18,365886,169432,http://www.britainfromabove.org.uk/image/eaw002267,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW002267.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW002267.jpg,http://www.britainfromabove.org.uk/download/EAW002267,"(51.42285459407335, -2.4920142912441077)",24,161,1,1,48
epw033291,"Rotcombe Lane and environs, High Littleton, 1930",1930/07/01,364527,158540,http://www.britainfromabove.org.uk/image/epw033291,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW033291.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW033291.jpg,http://www.britainfromabove.org.uk/download/EPW033291,"(51.32483801080251, -2.510467656799849)",3,138,23,1,42
eaw047206,"Purnell and Sons Ltd Printing Works, the village and surrounding countryside, Paulton, from the north-west, 1952. This image was marked by Aerofilms Ltd for photo editing.",1952/10/09,364821,157012,http://www.britainfromabove.org.uk/image/eaw047206,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW047206.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW047206.jpg,http://www.britainfromabove.org.uk/download/EAW047206,"(51.31111753372749, -2.5060972860730293)",13,581,23,1,69
eaw026395,"Southdown House, Southdown, 1949",1949/09/08,373120,163730,http://www.britainfromabove.org.uk/image/eaw026395,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026395.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026395.jpg,http://www.britainfromabove.org.uk/download/EAW026395,"(51.37197646218191, -2.3875445788136513)",27,441,15,1,85
epw022213,"Southdown, Bath, 1928",1928/07/30,372784,163463,http://www.britainfromabove.org.uk/image/epw022213,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW022213.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW022213.jpg,http://www.britainfromabove.org.uk/download/EPW022213,"(51.36955967906763, -2.3923508894576315)",27,442,15,1,83
eaw026452,"The Circus and the city centre, Bath, from the north-west, 1949",1949/09/08,374735,165354,http://www.britainfromabove.org.uk/image/eaw026452,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026452.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026452.jpg,http://www.britainfromabove.org.uk/download/EAW026452,"(51.38665303914506, -2.364460095958121)",35,21,7,1,22
eaw049900,"Bath, the second day of the Somerset-Kent county cricket match, 1953",1953/06/12,375456,164992,http://www.britainfromabove.org.uk/image/eaw049900,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW049900.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW049900.jpg,http://www.britainfromabove.org.uk/download/EAW049900,"(51.383429927053854, -2.3540740026088613)",35,9,7,1,21
eaw026392,"Matthew Coombe and Sons Southdown Nursery and environs, Southdown, 1949",1949/09/08,373008,163548,http://www.britainfromabove.org.uk/image/eaw026392,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026392.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026392.jpg,http://www.britainfromabove.org.uk/download/EAW026392,"(51.370334687459774, -2.389139645417931)",27,441,15,1,85
epw041211,"F. Pratten & Co Horticultural Builders Works and Norton Hill Colliery, Midsomer Norton, 1933",1933/05/01,366959,153505,http://www.britainfromabove.org.uk/image/epw041211,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW041211.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW041211.jpg,http://www.britainfromabove.org.uk/download/EPW041211,"(51.27971316329754, -2.475098877761165)",26,520,26,1,100
eaw049573,"The Chew Valley and the site of Chew Valley Lake prior to filling, Chew Magna, from the north-east, 1953",1953/05/26,358779,162575,http://www.britainfromabove.org.uk/image/eaw049573,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW049573.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW049573.jpg,http://www.britainfromabove.org.uk/download/EAW049573,"(51.360728749347814, -2.593422765921145)",6,79,21,1,31
eaw032290,"Nursery between Southdown Road and Coronation Avenue, Southdown, 1950",1950/09/05,372985,163451,http://www.britainfromabove.org.uk/image/eaw032290,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW032290.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW032290.jpg,http://www.britainfromabove.org.uk/download/EAW032290,"(51.369461420967994, -2.389462638385766)",27,445,15,1,84
eaw023887,"The Forum, Newark Works, River Avon and environs, Bath, from the east, 1949. This image has been produced from a print marked by Aerofilms Ltd for photo editing.",1949/06/14,374960,164432,http://www.britainfromabove.org.uk/image/eaw023887,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW023887.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW023887.jpg,http://www.britainfromabove.org.uk/download/EAW023887,"(51.378372956444444, -2.3611614876938005)",35,14,7,1,20
epw048398,"New housing around Upper Bloomfield Road and The Green, Odd Down, 1935",1935/07/01,373575,162306,http://www.britainfromabove.org.uk/image/epw048398,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW048398.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW048398.jpg,http://www.britainfromabove.org.uk/download/EPW048398,"(51.35919410402488, -2.38090191462333)",30,331,19,1,60
epw048388,"Kingswood School, the Royal School, Lansdown Road and environs, Lansdown, 1935",1935/07/01,374554,166572,http://www.britainfromabove.org.uk/image/epw048388,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW048388.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW048388.jpg,http://www.britainfromabove.org.uk/download/EPW048388,"(51.397596455025585, -2.3671488174067883)",21,234,7,1,1
eaw027302,"The village of Moreton and site of Chew Valley Lake, West Harptree, from the south-east, 1949",1949/10/19,356284,157726,http://www.britainfromabove.org.uk/image/eaw027302,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW027302.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW027302.jpg,http://www.britainfromabove.org.uk/download/EAW027302,"(51.3169436817319, -2.6286579834867316)",2,274,21,1,6
eaw032288,"Nursery between Southdown Road and Coronation Avenue, Southdown, 1950",1950/09/05,373009,163449,http://www.britainfromabove.org.uk/image/eaw032288,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW032288.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW032288.jpg,http://www.britainfromabove.org.uk/download/EAW032288,"(51.36944458428426, -2.389117730133262)",27,445,15,1,84
eaw047195,"Purnell and Sons Ltd Printing Works, Paulton, 1952. This image was marked by Aerofilms Ltd for photo editing.",1952/10/09,364908,156774,http://www.britainfromabove.org.uk/image/eaw047195,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW047195.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW047195.jpg,http://www.britainfromabove.org.uk/download/EAW047195,"(51.30898297638987, -2.50482565729376)",13,581,23,1,69
eaw049563,"The Chew Valley and the site of Chew Valley Lake prior to filling, Compton Martin, from the south, 1953",1953/05/26,355540,157536,http://www.britainfromabove.org.uk/image/eaw049563,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW049563.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW049563.jpg,http://www.britainfromabove.org.uk/download/EAW049563,"(51.31517755470659, -2.6393090342020997)",4,87,21,1,32
eaw002931,"Industry at Bath Riverside including the Victoria Works, Avonbank Works and the Gas Works, Bath, 1946",1946/10/02,374085,164875,http://www.britainfromabove.org.uk/image/eaw002931,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW002931.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW002931.jpg,http://www.britainfromabove.org.uk/download/EAW002931,"(51.38231670795194, -2.373765637078238)",33,559,12,1,112
eaw026455,"Crescent Gardens and environs, Bath, from the west, 1949",1949/09/08,374441,165009,http://www.britainfromabove.org.uk/image/eaw026455,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026455.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026455.jpg,http://www.britainfromabove.org.uk/download/EAW026455,"(51.38353777398953, -2.3686600032229053)",34,209,9,1,115
epw048390,"The Royal United and Forbes Fraser Hospitals, Newbridge, 1935",1935/07/01,372783,165810,http://www.britainfromabove.org.uk/image/epw048390,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW048390.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW048390.jpg,http://www.britainfromabove.org.uk/download/EPW048390,"(51.390662456167085, -2.3925458456890665)",29,316,8,1,16
eaw026396,"Southdown House and Matthew Coombe and Sons Southdown Nursery, Southdown, 1949",1949/09/08,373094,163745,http://www.britainfromabove.org.uk/image/eaw026396,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026396.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026396.jpg,http://www.britainfromabove.org.uk/download/EAW026396,"(51.37211009674988, -2.387919225228306)",27,441,15,1,85
eaw047197,"Purnell and Sons Ltd Printing Works and the village, Paulton, from the north-west, 1952. This image was marked by Aerofilms Ltd for photo editing.",1952/10/09,364853,156750,http://www.britainfromabove.org.uk/image/eaw047197,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW047197.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW047197.jpg,http://www.britainfromabove.org.uk/download/EAW047197,"(51.308763777960515, -2.5056122982630824)",13,364,23,1,68
epw038339,"The Phonetic Institute Print Works (Pitman Press) and the Windsor Bridge Road Gasometers, Bath, 1932",1932/06/01,373764,164734,http://www.britainfromabove.org.uk/image/epw038339,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW038339.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW038339.jpg,http://www.britainfromabove.org.uk/download/EPW038339,"(51.381034105824675, -2.3783675820359607)",32,538,13,1,103
epw033152,"The city from Pulteney Bridge to Lansdown Crescent, Bath, 1930",1930/07/01,374941,165347,http://www.britainfromabove.org.uk/image/epw033152,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW033152.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW033152.jpg,http://www.britainfromabove.org.uk/download/EPW033152,"(51.38659927481037, -2.36149932849303)",35,4,7,1,22
epw060104,"The Purnell and Sons Ltd Printing Works, Paulton, 1938",1938/11/01,364890,156711,http://www.britainfromabove.org.uk/image/epw060104,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW060104.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW060104.jpg,http://www.britainfromabove.org.uk/download/EPW060104,"(51.30841540580413, -2.5050776581330942)",13,364,23,1,68
epw033190,"The town, Keynsham, 1930. This image has been produced from a copy-negative.",1930/07/01,365542,168487,http://www.britainfromabove.org.uk/image/epw033190,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW033190.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW033190.jpg,http://www.britainfromabove.org.uk/download/EPW033190,"(51.41433701381357, -2.4968692936039343)",37,182,2,1,52
eaw047211,"Parish's House, Timsbury, 1952. This image was marked by Aerofilms Ltd for photo editing.",1952/10/09,367377,158703,http://www.britainfromabove.org.uk/image/eaw047211,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW047211.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW047211.jpg,http://www.britainfromabove.org.uk/download/EAW047211,"(51.326474802853504, -2.469583108836979)",14,459,16,1,87
epw053142,"The Royal Crescent, St Andrew's Church and St James's Square, Bath, 1937",1937/05/19,374509,165502,http://www.britainfromabove.org.uk/image/epw053142,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW053142.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW053142.jpg,http://www.britainfromabove.org.uk/download/EPW053142,"(51.38797361661099, -2.367718443544544)",34,200,9,1,115
eaw047201,"Purnell and Sons Ltd Printing Works and the village, Paulton, from the north-west, 1952. This image was marked by Aerofilms Ltd for photo editing.",1952/10/09,364864,156783,http://www.britainfromabove.org.uk/image/eaw047201,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW047201.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW047201.jpg,http://www.britainfromabove.org.uk/download/EAW047201,"(51.30906117483541, -2.5054577577815342)",13,364,23,1,68
epw048405,"The city, Bath, from the north-west, 1935",1935/07/01,374060,165157,http://www.britainfromabove.org.uk/image/epw048405,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW048405.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW048405.jpg,http://www.britainfromabove.org.uk/download/EPW048405,"(51.38485114071174, -2.374145547866368)",34,205,9,1,115
epw001942,"The Abbey Church of St Peter and St Paul and town centre, Bath, 1920",1920/07/01,375128,164700,http://www.britainfromabove.org.uk/image/epw001942,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW001942.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW001942.jpg,http://www.britainfromabove.org.uk/download/EPW001942,"(51.380790082128506, -2.3587665723990194)",35,12,7,1,20
eaw026670,"Farmland, Herons Green, 1949. This image has been produced from a damaged negative.",1949/10/01,355016,159536,http://www.britainfromabove.org.uk/image/eaw026670,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026670.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026670.jpg,http://www.britainfromabove.org.uk/download/EAW026670,"(51.333118514474336, -2.6470801191416724)",6,84,21,1,31
eaw000742,"Lansdown Crescent and environs, Lansdown, from the south, 1946",1946/05/09,374594,165963,http://www.britainfromabove.org.uk/image/eaw000742,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW000742.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW000742.jpg,http://www.britainfromabove.org.uk/download/EAW000742,"(51.39212248840336, -2.3665300784558383)",21,242,7,1,2
eaw002936,"Industry at Bath Riverside including the Victoria Works and Avonbank Works, Bath, 1946",1946/10/02,374024,165017,http://www.britainfromabove.org.uk/image/eaw002936,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW002936.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW002936.jpg,http://www.britainfromabove.org.uk/download/EAW002936,"(51.383590688514445, -2.374652570061734)",32,538,13,1,103
eaw032286,"Nursery between Southdown Road and Coronation Avenue, Southdown, 1950",1950/09/05,373003,163478,http://www.britainfromabove.org.uk/image/eaw032286,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW032286.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW032286.jpg,http://www.britainfromabove.org.uk/download/EAW032286,"(51.369705049127695, -2.389206131154555)",27,445,15,1,84
epw033304,"Church Street and environs, Paulton, 1930",1930/07/01,365003,156618,http://www.britainfromabove.org.uk/image/epw033304,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW033304.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW033304.jpg,http://www.britainfromabove.org.uk/download/EPW033304,"(51.30758619094651, -2.5034474583767654)",13,363,23,1,68
eaw027295,"Stoke Hill, Breach Hill Lane near Valley View and surrounding countryside, Chew Stoke, 1949. This image was marked by Aerofilms Ltd for photo editing.",1949/10/19,355307,160441,http://www.britainfromabove.org.uk/image/eaw027295,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW027295.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW027295.jpg,http://www.britainfromabove.org.uk/download/EAW027295,"(51.34127848054854, -2.643017307300723)",6,84,21,1,31
eaw047207,"Purnell and Sons Ltd Printing Works, the village and surrounding countryside, Paulton, from the north, 1952. This image was marked by Aerofilms Ltd for photo editing.",1952/10/09,364866,157236,http://www.britainfromabove.org.uk/image/eaw047207,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW047207.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW047207.jpg,http://www.britainfromabove.org.uk/download/EAW047207,"(51.313134389966024, -2.505473841014517)",13,581,23,1,69
