Output Area Code,Local Authority Code,Local Authority Name,Region/Country Code,Region/Country Name,Supergroup Code,Supergroup Name,Group Code,Group Name,Subgroup Code,Subgroup Name
E00072599,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072600,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072601,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072602,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072603,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072604,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072605,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00072606,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a1,White Professionals
E00072607,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072608,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072609,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072610,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072611,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072612,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072613,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1c,Ageing Rural Dwellers,1c1,Rural Employment and Retirees
E00072614,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072615,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072616,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072617,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072618,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072619,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072620,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072621,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072622,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072623,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b3,Ageing Rural Flat Tenants
E00072624,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b1,Rural Life
E00072625,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b3,Ageing Rural Flat Tenants
E00072626,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072627,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00072628,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072629,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072630,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072631,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072632,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a4,Older Farming Communities
E00072633,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b1,Multi-Ethnic Suburbia
E00072634,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072635,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072636,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00072637,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072638,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072640,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072641,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072720,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072642,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072643,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072644,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b3,Ageing Rural Flat Tenants
E00072645,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072646,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b3,Ageing Rural Flat Tenants
E00072647,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072648,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b3,Ageing Rural Flat Tenants
E00072649,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072650,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b3,Ageing Rural Flat Tenants
E00072651,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a3,Agricultural Communities
E00072652,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b1,Rural Life
E00072653,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072654,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a3,Agricultural Communities
E00072655,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072656,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00072657,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072658,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072659,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072660,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072661,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072662,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072663,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072664,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1c,Ageing Rural Dwellers,1c3,Detached Rural Retirement
E00072665,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b3,Ageing Rural Flat Tenants
E00072666,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072667,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072668,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00072669,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00072670,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072671,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00072672,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072673,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00072674,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00072675,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00072676,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072677,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00072678,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8d,Migration and Churn,8d1,Young Hard-Pressed Families
E00072679,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072680,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00072681,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00072682,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072683,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00072684,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00072685,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072686,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072687,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072688,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1c,Ageing Rural Dwellers,1c3,Detached Rural Retirement
E00072689,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b1,Rural Life
E00072690,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072691,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072692,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b1,Rural Life
E00072693,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072694,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b1,Rural Life
E00072695,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8a,Industrious Communities,8a1,Industrious Transitions
E00072696,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00072697,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8a,Industrious Communities,8a2,Industrious Hardship
E00072698,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1c,Ageing Rural Dwellers,1c2,Renting Rural Retirement
E00072699,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1b,Rural Tenants,1b2,Rural White-Collar Workers
E00072700,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a2,Comfortable Suburbia
E00072701,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00072702,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a1,White Professionals
E00072703,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072704,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072705,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072706,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b3,Semi-Detached Ageing
E00072707,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072708,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072709,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072710,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072711,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b3,Semi-Detached Ageing
E00072712,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072713,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072714,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072715,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072716,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072717,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072718,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072719,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072721,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072722,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072723,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c3,Renting Hard-Pressed Workers
E00072724,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072725,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c3,Renting Hard-Pressed Workers
E00072726,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8a,Industrious Communities,8a1,Industrious Transitions
E00072727,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072728,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072729,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072730,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00072731,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072732,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072733,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c3,Renting Hard-Pressed Workers
E00072734,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00072735,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072736,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072737,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072738,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072739,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072740,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8a,Industrious Communities,8a1,Industrious Transitions
E00072741,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7d,Ageing City Dwellers,7d3,Retired Communal City Dwellers
E00072742,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072743,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7d,Ageing City Dwellers,7d1,Ageing Communities and Families
E00072744,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a1,White Professionals
E00072745,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072746,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8c,Hard-Pressed Ageing Workers,8c1,Ageing Industrious Workers
E00072747,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7d,Ageing City Dwellers,7d1,Ageing Communities and Families
E00072748,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072749,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8a,Industrious Communities,8a1,Industrious Transitions
E00072750,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00072751,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b2,Hard-Pressed Rented Terraces
E00072752,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00072753,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00072754,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8b,Challenged Terraced Workers,8b1,Deprived Blue-Collar Terraces
E00072755,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c2,Migrant Commuters
E00072756,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2b,Inner-City Students,2b1,Students and Commuters
E00072757,E06000022,Bath and North East Somerset,E12000009,South West,3,Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods
E00072758,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072759,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00072760,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072761,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072762,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072763,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072764,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c3,Professional Service Cosmopolitans
E00072765,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a4,Ageing in Suburbia
E00072766,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072767,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00072768,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072769,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
