incident_number,datetime,ward,location,incident_category,type_0,type_1,type_2,type_3,x_coordinate,y_coordinate,unitary_authority,origin_of_call,property_category,property_type,is_primary_fire,cause_of_fire,is_property_derelict,is_property_occupied_at_the_incident,property_normally_occupied,is_fire_confined_to_chimney,how_fire_was_discovered,main_cause_of_fire,ignition_source,ignition_source_powered,item_first_damaged,item_responsible_for_spread_of_fire,main_action_by_other_than_frs,main_action_by_frs,special_service_type,road_traffic_collision,false_alarm_reason,victims_involved,were_alarm_systems_present,no_of_fatalities,no_of_fire_fatalities,no_of_injuries,no_of_rescues,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
009546-05082009,08/05/2009 11:10:42 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Hotel/motel,,375***,165***,BANES,Person (land line),OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Steam,no,,,,,,36,498,6,1,96
001173-16042009,04/16/2009 03:50:47 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Converted office,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Converted office,,,,,,,,,,,,,,,,,Malicious False Alarm > By phone,no,,,,,,36,498,6,1,96
006274-21062009,06/21/2009 10:29:16 PM +0000,FARMBOROUGH,"(51.36967918618802, -2.4538928970619205)",Special Service,Building,Dwelling,House - single occupancy,,368***,163***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Flooding, Other",no,,no,,,,,,8,130,16,1,40
013630-28092009,09/28/2009 03:39:30 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Entertainment and culture,Theatre,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Entertainment and culture > Theatre,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,498,6,1,96
004224-29052009,05/29/2009 01:49:59 PM +0000,WESTON,"(51.39695592292638, -2.367919876620639)",Special Service,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,Up to 2 storeys,374***,166***,BANES,Police,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,,,,,,,,,,,,,,,"Effecting entry/exit, No persons involved",no,,no,,,,,,21,235,7,1,1
010480-17082009,08/17/2009 04:51:34 PM +0000,ABBEY,"(51.39700019568331, -2.3535463911730448)",False Alarm,Road Vehicle,Motorcycle,,,375***,166***,BANES,Police,RoadVehicle,Road Vehicle > Motorcycle,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,36,500,6,1,93
011177-28082009,08/28/2009 12:48:33 AM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Fire,Road Vehicle,Car,,,374***,165***,BANES,Police,RoadVehicle,Road Vehicle > Car,yes,Deliberate ? others property,no,,,,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Vehicles only -> Unknown,Not known,Not known,"Foam, rubber, plastic -> Foam - raw material only",None,,,no,,no,,,,,,34,200,9,1,115
004105-26052009,05/26/2009 11:15:45 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Hotel/motel,,375***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
008155-17072009,07/17/2009 02:43:28 PM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
012381-13092009,09/13/2009 10:27:35 AM +0000,WIDCOMBE,"(51.37901726536445, -2.353407734154723)",Fire,Road Vehicle,Motorcycle,,,375***,164***,BANES,Person (land line),RoadVehicle,Road Vehicle > Motorcycle,yes,Deliberate ? others property,no,,,,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Vehicles only -> Unknown,Not known,Not known,Not known,None,,,no,,no,,,,,,33,564,12,1,111
003214-14052009,05/14/2009 03:46:12 PM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,20,546,5,1,107
010930-23082009,08/23/2009 08:21:40 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,168***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,37,182,2,1,52
006773-29062009,06/29/2009 01:35:40 AM +0000,COMBE DOWN,"(51.37010895680229, -2.3246082759429627)",False Alarm,Building,Non Residential,Hospitals and medical care,Other (including surgery),377***,163***,BANES,Person (land line),NonResidential,Building > Non Residential > Hospitals and medical care > Other (including surgery),,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,22,70,12,1,29
013385-25092009,09/25/2009 04:57:39 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Sheltered Housing - not self contained,,375***,165***,BANES,Person (land line),OtherResidential,Building > Other Residential > Sheltered Housing - not self contained,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,36,498,6,1,96
011704-05092009,09/05/2009 07:25:45 AM +0000,OLDFIELD,"(51.37897302091154, -2.367775587009803)",False Alarm,Building,Other Residential,Residential Home,Retirement/Elderly,374***,164***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Residential Home > Retirement/Elderly,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,33,561,12,1,109
006021-18062009,06/18/2009 06:14:21 PM +0000,MIDSOMER NORTON REDFIELD,"(51.288581726911914, -2.4961125259524635)",False Alarm,Building,Other Residential,Sheltered Housing - not self contained,,365***,154***,BANES,Person (land line),OtherResidential,Building > Other Residential > Sheltered Housing - not self contained,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Toaster/toast,no,,,,,,11,287,25,1,10
002951-10052009,05/10/2009 04:36:53 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Other Residential,Sheltered Housing - not self contained,,365***,168***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Sheltered Housing - not self contained,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,37,182,2,1,52
011506-01092009,09/01/2009 11:57:05 AM +0000,SOUTHDOWN,"(51.378879247282384, -2.39651117938257)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,372***,164***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,28,469,11,1,89
005538-01072014,07/01/2014 01:54:02 AM +0000,ABBEY,"(51.38805123395204, -2.339106340447153)",Fire,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,376***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Accidental;  Fault in equipment or appliance ,Electric Lighting -> Other incandescent light bulbs ,Electric,Furniture/Furnishings - Lampshades,Furniture/Furnishings - Lampshades,None,Small means -> Disconnection of fuel supply -> switched off,,no,,no,yes,,,,,22,71,12,1,29
009833-08082009,08/08/2009 08:49:27 PM +0000,WALCOT,"(51.39704270572472, -2.339172869838466)",Special Service,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,376***,166***,BANES,Person (running call),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,"Effecting entry/exit, For person in distress",no,,no,,,,,,23,230,4,1,58
007203-04072009,07/04/2009 04:12:58 AM +0000,KEYNSHAM NORTH,"(51.42351213188684, -2.483190683495366)",Fire,Building,Non Residential,Industrial Processing,Other,366***,169***,BANES,Person (land line),NonResidential,Building > Non Residential > Industrial Processing > Other,yes,Accidental,no,no,Yes - occupied,no,Persons,Other,Not known,Electric,Not known,Not known,Other,None -> No firefighting,,no,,no,yes,,,,,,,,,
008544-23072009,07/23/2009 06:39:58 AM +0000,ABBEY,"(51.38805123395204, -2.339106340447153)",Fire,Outdoor,Outdoor structures,Refuse/rubbish tip,,376***,165***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,no,Deliberate ? unknown owner,no,,,,,,,,,,,,,no,,no,,,,,,22,71,12,1,29
000990-14042009,04/14/2009 02:35:58 AM +0000,SOUTHDOWN,"(51.369935557636936, -2.3820684996326986)",Fire,Road Vehicle,Motor Home,,,373***,163***,BANES,Police,RoadVehicle,Road Vehicle > Motor Home,yes,Deliberate ? others property,no,,,,Persons,Deliberate;  - others property: Bomb/incendiary device,Fuel/chemical related -> Flammable chemicals ,Not applicable,"Explosives, gas, chemicals -> Petrol/Oil products",Clothing/Textiles  -> Other textiles,Water from bucket/container,None -> No firefighting,,no,,no,,,,,,31,359,14,1,66
013711-29092009,09/29/2009 05:12:02 AM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Fire,Road Vehicle,Caravan on tow,,,374***,165***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Caravan on tow,yes,Deliberate ? unknown owner,no,,,,Persons,Deliberate;  - unknown owner: Heat source and combustibles brought together deliberately,Smoking Related -> Cigarette lighter ,Not applicable,,,None,,,no,,no,,,,,,34,200,9,1,115
007045-20072014,07/20/2014 06:11:53 PM +0000,FARMBOROUGH,"(51.35158159181407, -2.482433289425764)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,366***,161***,BANES,Person (land line),Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > External factors > Other,no,,,,,,8,130,16,1,40
006303-22062009,06/22/2009 02:10:12 PM +0000,HIGH LITTLETON,"(51.306439443621606, -2.524996338787209)",Special Service,Outdoor,"Grassland, woodland and crops",Woodland/forest - conifers/softwood,,363***,156***,BANES,Person (land line),Outdoor,"Outdoor > Grassland, woodland and crops > Woodland/forest - conifers/softwood",,,,,,,,,,,,,,,"Making Safe (not RTC), Stabilise or otherwise make safe unsafe structure",no,,no,,,,,,3,136,23,1,43
004340-30052009,05/30/2009 05:44:06 PM +0000,BATHAVON NORTH,"(51.424169596464615, -2.2818444093609562)",False Alarm,Building,Other Residential,Residential Home,Nursing/Care,380***,169***,BANES,Other FRS,OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Chemicals/aerosols,no,,,,,,,,,,
005402-10062009,06/10/2009 05:03:21 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,168***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Steam,no,,,,,,37,182,2,1,52
011830-06092009,09/06/2009 08:16:13 PM +0000,KINGSMEAD,"(51.38791845815606, -2.382218344259114)",Fire,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,373***,165***,BANES,Police,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate ? unknown owner,no,,,,,,,,,,,,,no,,no,,,,,,34,202,9,1,54
002160-28042009,04/28/2009 09:13:51 PM +0000,LAMBRIDGE,"(51.40603416354781, -2.339239433659037)",Fire,Building,Dwelling,House - single occupancy,,376***,167***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,yes,Accidental,no,no,Yes - occupied,no,Persons,Accidental;  Cooking - other cooking,Cooking appliance -> Cooker incl oven,Electric,Food -> Other,Food -> Other,None,Small means -> Removal from/of heat source,,no,,no,no,,,,,1,32,10,1,23
006833-29062009,06/29/2009 08:02:27 PM +0000,LYNCOMBE,"(51.36099006304717, -2.3676314465748853)",Special Service,Road Vehicle,Car,,,374***,162***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,1,0,18,259,17,1,4
007618-09072009,07/09/2009 04:00:27 PM +0000,ABBEY,"(51.37901726536445, -2.353407734154723)",Fire,Building,Non Residential,Transport buildings,Bus/coach station/garage,375***,164***,BANES,Person (land line),NonResidential,Building > Non Residential > Transport buildings > Bus/coach station/garage,yes,Accidental,no,yes,Yes - occupied,no,Automatic alarm system,Accidental;  Careless handling - due to careless disposal,Smoking Related -> Smoking materials ,Not applicable,Rubbish/Waste/Recycling -> Rubbish/Waste material,Rubbish/Waste/Recycling -> Rubbish/Waste material,None,None -> No firefighting,,no,,no,yes,,,,,33,564,12,1,111
009595-05082009,08/05/2009 07:57:05 PM +0000,KEYNSHAM NORTH,"(51.42345193748686, -2.4975722393895747)",Fire,Outdoor,Outdoor structures,Large refuse/rubbish container (e.g. skip),,365***,169***,BANES,Person (land line),OutdoorStructure,Outdoor > Outdoor structures > Large refuse/rubbish container (e.g. skip),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,24,161,1,1,48
012096-10092009,09/10/2009 07:03:00 AM +0000,WALCOT,"(51.39704270572472, -2.339172869838466)",False Alarm,Building,Non Residential,Retail,Large supermarket,376***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Retail > Large supermarket,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,23,230,4,1,58
001394-19042009,04/19/2009 05:33:38 PM +0000,SOUTHDOWN,"(51.378879247282384, -2.39651117938257)",Special Service,Outdoor,"Grassland, woodland and crops",Tree scrub (includes single trees not in garden),,372***,164***,BANES,Person (mobile),Outdoor,"Outdoor > Grassland, woodland and crops > Tree scrub (includes single trees not in garden)",,,,,,,,,,,,,,,"Other rescue/release of persons, From height e.g. pylon crane, roof or ledge",no,,yes,,0,0,0,1,28,469,11,1,89
008755-26072009,07/26/2009 01:07:04 AM +0000,WIDCOMBE,"(51.37897302091154, -2.367775587009803)",Special Service,Road Vehicle,Car,,,374***,164***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,yes,,0,0,1,0,33,561,12,1,109
009309-02082009,08/02/2009 11:38:57 PM +0000,COMBE DOWN,"(51.37002577927021, -2.3533384594150153)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,163***,BANES,Person (mobile),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Smoking,no,,,,,,33,575,12,1,110
002818-08052009,05/08/2009 11:41:19 PM +0000,ODD DOWN,"(51.3609440864242, -2.381993635417731)",Special Service,Road Vehicle,Car,,,373***,162***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Other",no,,no,,,,,,30,328,19,1,19
003543-19052009,05/19/2009 04:28:04 PM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,Person (land line),NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Steam,no,,,,,,20,546,5,1,107
013107-21092009,09/21/2009 07:18:24 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Hotel/motel,,375***,165***,BANES,Person (land line),OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Steam,no,,,,,,36,498,6,1,96
011993-09092009,09/09/2009 01:03:35 AM +0000,CLUTTON,"(51.3333482558125, -2.539657763238048)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,362***,159***,BANES,Person (land line),Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,5,98,20,1,35
003760-23052009,05/23/2009 12:17:32 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Fire,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,375***,165***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,36,498,6,1,96
009418-04082009,08/04/2009 05:21:29 AM +0000,WALCOT,"(51.39704270572472, -2.339172869838466)",False Alarm,Building,Dwelling,House - single occupancy,,376***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,,23,230,4,1,58
013782-30092009,09/30/2009 07:05:39 AM +0000,BATHAVON NORTH,"(51.39712243762106, -2.3104257253397282)",False Alarm,Building,Non Residential,Sporting venues,Other outdoor sporting venue,378***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Sporting venues > Other outdoor sporting venue,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,1,45,10,1,24
016428-05112009,11/05/2009 09:21:44 PM +0000,COMBE DOWN,"(51.37002577927021, -2.3533384594150153)",Fire,Outdoor,"Grassland, woodland and crops",Woodland/forest - conifers/softwood,,375***,163***,BANES,Person (mobile),Outdoor,"Outdoor > Grassland, woodland and crops > Woodland/forest - conifers/softwood",no,Deliberate ? unknown owner,yes,,,,,,,,,,,,,no,,no,,,,,,33,575,12,1,110
013318-24092009,09/24/2009 09:11:58 PM +0000,LANSDOWN,"(51.39700019568331, -2.3535463911730448)",False Alarm,Outdoor,Other outdoors (including land),Highway/road surface/pavement,,375***,166***,BANES,Person (land line),Outdoor,Outdoor > Other outdoors (including land) > Highway/road surface/pavement,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,36,500,6,1,93
