FEATURE_LOCATION,the_geom,FEATURE_TYPE_CODE,FEATURE_NO,EASTING,NORTHING,FEATURE_ID,ATTRIB_VALUE_CODE,ADOPTED_HW,URBANRURAL,MI_STYLE,MI_PRINX
GBIN: MIDDLE CROSS JNT OF FROME OLD ROAD BY PHONE BOX,POINT (-2.439467954918487 51.29077089784603),GBIN,15.01,369451.56,154718.28,067,YE,CLASS 4 ROAD,Urban,,228
"GBIN: CNR JNT OF ST MARYS RISE, MANOR ROAD AND CHURCH HI",POINT (-2.426857593341713 51.29158939129433),GBIN,15.01,370331.43,154804.12,072,GR,CLASS 4 ROAD,Urban,,229
GBIN: CHURCH HILL NEXT TO GRAVEYARD,POINT (-2.425965366857593 51.29368669150092),GBIN,15.02,370395,155037,407,YE,CLASS 4 ROAD,Rural,,230
GBIN: WATERLOO ROAD OPP PINES WAY ON SIDE OF HOUSE,POINT (-2.443998970060876 51.29306907202708),GBIN,15.01,369137.15,154975.77,063,YE,,Urban,,231
"GBIN: CNR JNT OF FROME OLD ROAD, FROME ROAD AND CARLINGF",POINT (-2.442420733270506 51.29161689947169),GBIN,15.01,369246.23,154813.6,069,YE,CLASS 4 ROAD,Urban,,232
GBIN: CARLINGFORD TERRACE TOP OF HILL OS NO.33,POINT (-2.441987505320617 51.29096564566694),GBIN,15.02,369276,154741,068,YE,CLASS 4 ROAD,Urban,,233
GBIN: TOP OF SPRINGFIELD BUILDINGS OPP NO.36/38,POINT (-2.443910038226342 51.297308027901956),GBIN,15.03,369146.21,155447.15,061,YE,CLASS 4 ROAD,Urban,,234
GBIN: BRISTOL ROAD OS NO 3,POINT (-2.44652309551133 51.294329382793805),GBIN,15.01,368962,155117,406,BL,CLASS 4 ROAD,Urban,,235
GBIN: JNT TYNING HILL AND STONEABLE ROAD,POINT (-2.437837011849617 51.29526220589162),GBIN,15.01,369568.27,155217.09,065,YE,CLASS 4 ROAD,Urban,,236
GBIN: TOP OF WHITELANDS HILL ON CNR OPP SUBSTATION,POINT (-2.43556042473849 51.296459800337814),GBIN,15.02,369727.8,155349.33,066,YE,CLASS 4 ROAD,Rural,,237
GBIN: JNT TYNING HILL AND DANEACRE ROAD,POINT (-2.439525963369139 51.29440486145082),GBIN,15.03,369449.94,155122.45,064,YE,CLASS 4 ROAD,Urban,,238
GBIN: SUNNYMEAD 1/2 WAY ROUND OPP NO.82,POINT (-2.491624225031423 51.29177374403168),GBIN,15.01,365815.37,154852.88,078,YE,CLASS 4 ROAD,Urban,,239
GBIN: FOSSE GREEN ON FOSS WAY OPP JNT WITH COOMB END,POINT (-2.456081425909438 51.299330109586364),GBIN,15.01,368298.99,155677.24,058,GR,CLASS 4 ROAD,Urban,,240
GBIN: WELTON GROVE ON CORNER O/S NO.30 BY CAR PARK,POINT (-2.480268743270658 51.29427128019371),GBIN,15.01,366609,155125.4,080,YE,CLASS 4 ROAD,Urban,,241
GBIN: OPP. PRIMARY SCHOOL ENTRANCE O/S CHURCH,POINT (-2.471047535067404 51.28225511578051),GBIN,15.01,367243.39,153784.89,073,YE,CLASS 4 ROAD,Urban,,242
GBIN: JNT CONYGRE RISE AND THE STREET,POINT (-2.490872391861452 51.34360933089202),GBIN,15.01,365906.37,160617.28,022,YE,CLASS 4 ROAD,Urban,,243
GBIN: OLDBRIDGE ROAD OPP NO.29,POINT (-2.556381954431244 51.40522636799093),GBIN,15.01,361395.54,167502.48,001,GR,CLASS 4 ROAD,Urban,,244
"GBIN: ST JULIANS RD, CORNER BEND DOWN FROM FARM",POINT (-2.408493520691558 51.302302524741755),GBIN,15.01,371618.6,155988.26,151,YE,CLASS 4 ROAD,Rural,,245
GBIN: SOUTH ROAD BY TRIANGLE VERGE & JNT CHURCH LANE,POINT (-2.478404232337572 51.32494898885296),GBIN,15.01,366761.26,158536.28,030,YE,CLASS 4 ROAD,Urban,,246
GBIN: HIGH STREET 1/2 WAY UP OPP BRAMBLE COT. BY POSTBOX,POINT (-2.546197537069562 51.370350082838584),GBIN,15.01,362075.04,163618.44,014,YE,CLASS 4 ROAD,Urban,,247
GBIN: DOVERS LANE OFF BATHFORD HILL BY POST OFFICE,POINT (-2.301423061166871 51.40027055365576),GBIN,15.01,379127.76,166847.5,292,YE,CLASS 4 ROAD,Urban,,248
GBIN: EAGLE ROAD JNT EAGLE PARK,POINT (-2.319490247350165 51.413205293335245),GBIN,15.01,377877.17,168291.36,267,GR,CLASS 4 ROAD,Urban,,249
GBIN: SCHOOL LANE JNT OPP VILLAGE HALL,POINT (-2.320174636677049 51.40884274191508),GBIN,15.01,377827.46,167806.39,271,BL,CLASS 4 ROAD,Urban,,250
GBIN: SCHOOL LANE AT BOTTOM NEAR SCHOOL,POINT (-2.318848547491886 51.40948134704909),GBIN,15.02,377920,167877,386,YE,CLASS 4 ROAD,Urban,,251
GBIN: DURNHILL OFF MENDIP VILLAS OPP SUBSTATION,POINT (-2.664316787801466 51.31341660428547),GBIN,15.01,353795.33,157354.65,008,YE,CLASS 4 ROAD,Rural,,252
GBIN: CHURCH LANE O/S PARK FARM,POINT (-2.432884016319481 51.401641967561446),GBIN,15.01,369983.47,167045.85,376,GR,CLASS 4 ROAD,Rural,,253
GBIN: VILLAGE NORTH END OPP THE MOUNT BY PROW / BIN,POINT (-2.428456976669239 51.38237021547125),GBIN,15.01,370278.9,164900.76,117,GR,CLASS 4 ROAD,Rural,,254
GBIN: VILLAGE MIDDLE CORNER JNT OPP THE RICKYARD,POINT (-2.426083607960106 51.38154711032934),GBIN,15.01,370443.53,164808.25,118,GR,CLASS 4 ROAD,Rural,,255
GBIN: JNT OF INNOX GROVE AND PADLEIGH HILL,POINT (-2.406140835659048 51.36252018673617),GBIN,15.01,371819.71,162684.32,120,YE,CLASS 4 ROAD,Rural,,256
GBIN: KILKENNY LANE O/S KILKENNY COTTAGES,POINT (-2.397214394399057 51.352357462886175),GBIN,15.01,372435.07,161550.69,122,YE,CLASS 4 ROAD,Rural,,257
GBIN: JNT OF POOR HILL AND BELL CLOSE,POINT (-2.489955055513219 51.34460405302803),GBIN,15.01,365971,160727.48,021,YE,CLASS 4 ROAD,Urban,,258
GBIN: JNT BATH ROAD AND OLD LANE,POINT (-2.485782973813416 51.345839563512435),GBIN,15.01,366262.5,160862.95,019,GR,,Urban,,259
GBIN: LWR SIDE OF WALL OPP TRIANGULAR VILLAGE GREEN,POINT (-2.480041780763964 51.36072596312085),GBIN,15.01,366673.2,162515.88,016,GR,CLASS 4 ROAD,Rural,,260
GBIN: PENSFORD OLD ROAD ON VERGE OPP NO.38 BY PROW SIGN,POINT (-2.544983728716635 51.3683370368285),GBIN,15.01,362157.87,163393.94,092,YE,CLASS 4 ROAD,Urban,,261
GBIN: JNT ROTCOMBE LANE AND PARKLANDS,POINT (-2.508532715926025 51.32537375096462),GBIN,15.01,364662.24,158597.64,023,YE,CLASS 4 ROAD,Urban,,262
GBIN: PILGRIMS WAY O/S BROOK HOUSE BY STREAM & PROW SIGN,POINT (-2.635321392740518 51.352833414655564),GBIN,15.01,355854.19,161720.37,012,YE,CLASS 4 ROAD,Urban,,263
GBIN: BEAUFORT AVENUE OPP GRACE DRIVE OS NO 51,POINT (-2.483510775617687 51.2929774987713),GBIN,15.01,366382,154983,409,GR,CLASS 4 ROAD,Urban,,264
GBIN: OLD MIDFORD ROAD OS THE BEECHES,POINT (-2.350433860569118 51.34898488138841),GBIN,15.01,375691,161159,400,YE,CLASS 4 ROAD,Rural,,265
GBIN: OLD MIDFORD ROAD CROSSROADS WITH TUCKING MILL LANE,POINT (-2.346230416640201 51.345652521403096),GBIN,15.02,375982,160787,433,YE,CLASS 4 ROAD,Rural,,266
"GBIN: MOUNTAIN WOOD, TOP, LAMP-POST 71",POINT (-2.300356814054114 51.39831367534697),GBIN,15.01,379201.04,166629.56,287,YE,CLASS 4 ROAD,Urban,,267
"GBIN: MOUNTAIN WOOD, BOTTOM BY T-SPLIT OPP SWINGS",POINT (-2.302725106888827 51.39779025548785),GBIN,15.02,379036.04,166572.03,286,GR,CLASS 4 ROAD,Urban,,268
"GBIN: CATHERINE WAY, BACK LINK BETWEEN LWR & UPPER",POINT (-2.315780260023556 51.412098105371285),GBIN,15.01,378134.66,168167.1,373,YE,CLASS 4 ROAD,Urban,,269
GBIN: HANTONE HILL CNR OPP NO.11 &13,POINT (-2.321691637034564 51.390542397591695),GBIN,15.01,377713.01,165771.59,168,GR,CLASS 4 ROAD,Urban,,270
"GBIN: HANTONE HILL, TOP OPP NO.29",POINT (-2.319581983423726 51.389632725163395),GBIN,15.02,377859.36,165669.78,169,GR,CLASS 4 ROAD,Urban,,271
"GBIN: HANTONE HILL, BACK PART OPP. NO.49",POINT (-2.319090187268643 51.3899665728417),GBIN,15.03,377893.74,165706.76,170,GR,CLASS 4 ROAD,Urban,,272
GBIN: HANTONE HILL JNT A36 WARM. RD,POINT (-2.321417585897327 51.391611413604835),GBIN,15.04,377732.6,165890.39,167,BL,CLASS 4 ROAD,Urban,,273
"GBIN: HOLCOMBE CLOSE OPP NO.13, T-JNT HOLCOMBE LA",POINT (-2.320939954880555 51.39286930828243),GBIN,15.01,377766.44,166030.14,179,BL,CLASS 4 ROAD,Urban,,274
GBIN: JNT HOLCOMBE VALE AND HOLCOMBE LANE,POINT (-2.32107499944027 51.393555973982984),GBIN,15.01,377757.38,166106.55,178,YE,CLASS 4 ROAD,Urban,,275
"GBIN: HOLCOMBE VALE, BOTTOM ON GREEN",POINT (-2.320997299054649 51.394424352878744),GBIN,15.02,377763.21,166203.1,177,GR,CLASS 4 ROAD,Urban,,276
GBIN: JNT A36 WARM. RD AND DEVONSHIRE ROAD,POINT (-2.328144270715355 51.39205281862425),GBIN,15.01,377264.78,165941.56,174,GR,CLASS 4 ROAD,Urban,,277
GBIN: VICTORIA GARDENS TOP JNT LOND. RD. WT.,POINT (-2.324229797654569 51.40412230334036),GBIN,15.01,377543.08,167282.65,274,YE,CLASS 4 ROAD,Urban,,278
GBIN: GLOUCESTER RD O/S TURNPIKE COT NR BENNETS RD,POINT (-2.342137338750212 51.40438094123021),GBIN,15.01,376297.57,167317.08,208,YE,C ROAD,Rural,"Symbol (34, 16711680, 10)",1
GBIN: JNT BENNETS ROAD & GLOUCESTER ROAD,POINT (-2.342247707524212 51.403065966567915),GBIN,15.02,376289.21,167170.87,207,BL,C ROAD,Urban,"Symbol (34, 16711680, 10)",2
GBIN: SUMMER LANE JUNCTION BEECHWOOD ROAD,POINT (-2.345676317021536 51.35787383705908),GBIN,15.01,376027,162146,401,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",3
GBIN: TOLL BRIDGE ROAD O/S BREWERY OFFICES,POINT (-2.32696518273259 51.402034267408126),GBIN,15.01,377351.77,167051.27,294,BL,C ROAD,Urban,"Symbol (34, 16711680, 10)",4
GBIN: TOLL BRIDGE ROAD JNT LOND. RD. WT.,POINT (-2.328086777439564 51.4022634982022),GBIN,15.02,377273.87,167077.11,293,BL,C ROAD,Urban,"Symbol (34, 16711680, 10)",5
GBIN: HIGHT STREET O/S SHOPS & PUBLIC TOILETS,POINT (-2.393191037395054 51.396914883603124),GBIN,15.01,372741.84,166504.57,247,BL,C ROAD,Urban,"Symbol (34, 16711680, 10)",6
GBIN: LANSDOWN ROAD BOTTOM OPP ROUNDABOUT,POINT (-2.395940031333498 51.39837866583906),GBIN,15.01,372551.47,166668.39,249,BL,C ROAD,Urban,"Symbol (34, 16711680, 10)",7
GBIN: BAILBROOK BRIDGE (OVER A46),POINT (-2.338536590689551 51.402587477423744),GBIN,15.01,376547.11,167116.45,259,YE,C ROAD,Urban,"Symbol (34, 16711680, 10)",8
GBIN: BAILBROOK LANE OPP. BAILBROOK FARM,POINT (-2.334855484149759 51.40271779486168),GBIN,15.02,376803.25,167129.77,205,BL,C ROAD,Rural,"Symbol (34, 16711680, 10)",9
GBIN: JNT AXBRIDGE ROAD AND MEARE ROAD,POINT (-2.358339926525387 51.364048339046185),GBIN,15.01,375148.59,162836.92,333,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",10
GBIN: BEECHEN CLIFF ROAD OPP NO 1,POINT (-2.366147840165693 51.37485995247678),GBIN,15.01,374611,164042,387,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",11
GBIN: JNT BELGRAVE ROAD AND UPP. STREET HAYES,POINT (-2.350111361257331 51.39439135859407),GBIN,15.01,375737.59,166208.71,200,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",12
GBIN: JNT BENNET LANE AND SEYMOUR ROAD,POINT (-2.355497331687916 51.39318066227781),GBIN,15.01,375362.21,166075.87,198,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",13
GBIN: BENNET'S LANE AT THE TOP JUNC CAMDEN ROAD,POINT (-2.356319315000429 51.39352172735616),GBIN,15.02,375305.2,166114.08,,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",14
GBIN: BENNETS ROAD - TOP,POINT (-2.340466741532491 51.40356690503571),GBIN,15.01,376413.35,167226,206,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",15
GBIN: JNT ALEXANDRA ROAD & CALTON ROAD BY STEPS,POINT (-2.357746106446785 51.37581629695065),GBIN,15.01,375196.32,164145.47,345,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",16
"GBIN: ALEXANDRA ROAD, BY STEPS NEAR LYN. HILL JNT",POINT (-2.35599077903411 51.37537246030509),GBIN,15.02,375318.25,164095.52,344,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",17
GBIN: BLENHEIM GARDENS TOP O/S NO.16,POINT (-2.360136978443111 51.39977193920698),GBIN,15.01,375043,166810.49,222,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",18
GBIN: PERRYMEAD JNT WITH POPES WALK,POINT (-2.349284702717795 51.37049205590663),GBIN,15.01,375782.43,163550.5,339,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",19
GBIN: BROADMOOR VALE 1/2 WAY UP ON CORNER,POINT (-2.399202717293624 51.403226374829124),GBIN,15.01,372327.42,167208.76,254,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",20
"GBIN: BEECHEN CLIFF RD, NR MAIN JNT, STEPS TO BRUTON AVE",POINT (-2.366089677279911 51.37447396154134),GBIN,15.01,374614.83,163999.06,347,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",21
GBIN: EDGEWORTH ROAD NEAR AMBLESIDE RD JNT,POINT (-2.388168057226284 51.3644525086954),GBIN,15.01,373072.17,162892.44,315,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",22
GBIN: EDWARD STREET NR BOTTOM OPP NO.6,POINT (-2.383219122668732 51.385448716120706),GBIN,15.01,373428.92,165225.69,187,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",23
"GBIN: ELLISTON DRIVE, 1/2 WAY UP OPP NO.30",POINT (-2.394902381007813 51.37308949852808),GBIN,15.01,372608.5,163855.5,306,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",24
GBIN: BYRON ROAD OPP JNT SHELLEY RD,POINT (-2.362227313198533 51.37460651747816),GBIN,15.01,374883.75,164012.46,325,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",25
GBIN: CAMBRIDGE TERRACE O/S VINE HOUSE,POINT (-2.350113591413042 51.3758940210765),GBIN,15.01,375727.6,164151.55,359,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",26
GBIN: CAROLINE PLACE TOP JNT LANDSDOWN ROAD,POINT (-2.361693338690234 51.38860790248089),GBIN,15.01,374928.6,165569.43,190,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",27
"GBIN: CASTLE GARDENS, BOTTOM NR MAIN JNT  O/S NO.4",POINT (-2.368643765290523 51.367084703262584),GBIN,15.01,374432.92,163178.16,375,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",28
"GBIN: CHANDLER CLOSE, MIDDLE O/S NO.85 WARDENS OFFICE",POINT (-2.395321373874428 51.39388566711112),GBIN,15.01,372591.81,166168.47,245,YE,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",29
