Provider,Age Group,LSOA,No. spells
Other,85+,E01014460,under 5
Other,85+,E01014471,under 5
Other,85+,E01014478,under 5
Other,85+,E01014480,under 5
RUH,0-18,E01014371,under 5
RUH,0-18,E01014446,under 5
RUH,0-18,E01032071,under 5
RUH,19 -45,E01014418,under 5
RUH,19 -45,E01032078,under 5
RUH,85+,E01014470,under 5
RUH,85+,E01031888,under 5
Other,0-18,E01014373,under 5
Other,0-18,E01014395,under 5
Other,0-18,E01014397,under 5
Other,0-18,E01014403,under 5
Other,0-18,E01014418,under 5
Other,0-18,E01014442,under 5
Other,0-18,E01014445,under 5
Other,0-18,E01014449,under 5
Other,0-18,E01014464,under 5
Other,0-18,E01014478,under 5
Other,0-18,E01014479,under 5
Other,0-18,E01014480,under 5
Other,0-18,E01014482,under 5
Other,19 -45,E01014373,under 5
Other,19 -45,E01014376,under 5
Other,19 -45,E01014388,under 5
Other,19 -45,E01014424,under 5
Other,19 -45,E01014432,under 5
Other,19 -45,E01014434,under 5
Other,19 -45,E01014453,under 5
Other,19 -45,E01014455,under 5
Other,19 -45,E01014458,under 5
Other,19 -45,E01014459,under 5
Other,19 -45,E01014466,under 5
Other,19 -45,E01014467,under 5
Other,19 -45,E01014484,under 5
Other,46 - 65,E01014375,under 5
Other,46 - 65,E01014379,under 5
Other,46 - 65,E01014381,under 5
Other,46 - 65,E01014398,under 5
Other,46 - 65,E01014406,under 5
Other,46 - 65,E01014409,under 5
Other,46 - 65,E01014411,under 5
Other,46 - 65,E01014425,under 5
Other,46 - 65,E01014429,under 5
Other,46 - 65,E01014432,under 5
Other,46 - 65,E01014457,under 5
Other,46 - 65,E01014465,under 5
Other,46 - 65,E01014477,under 5
Other,46 - 65,E01014479,under 5
Other,46 - 65,E01014480,under 5
Other,46 - 65,E01014481,under 5
Other,46 - 65,E01014484,under 5
Other,66 - 85,E01014374,under 5
Other,66 - 85,E01014375,under 5
Other,66 - 85,E01014388,under 5
Other,66 - 85,E01014419,under 5
Other,66 - 85,E01014441,under 5
Other,66 - 85,E01014460,under 5
Other,66 - 85,E01014469,under 5
Other,66 - 85,E01014472,under 5
Other,66 - 85,E01014477,under 5
Other,85+,E01014393,under 5
Other,85+,E01014412,under 5
Other,85+,E01014423,under 5
Other,85+,E01014426,under 5
Other,85+,E01014448,under 5
Other,85+,E01014463,under 5
Other,85+,E01014469,under 5
RUH,0-18,E01014384,under 5
RUH,0-18,E01014435,under 5
RUH,19 -45,E01014381,under 5
RUH,19 -45,E01014446,under 5
RUH,85+,E01014383,under 5
RUH,85+,E01014390,under 5
RUH,85+,E01014443,under 5
RUH,85+,E01014458,under 5
Other,0-18,E01014400,under 5
Other,0-18,E01014425,under 5
Other,0-18,E01014432,under 5
Other,0-18,E01014439,under 5
Other,0-18,E01014443,under 5
Other,0-18,E01014462,under 5
Other,0-18,E01014466,under 5
Other,19 -45,E01014385,under 5
Other,19 -45,E01014405,under 5
Other,19 -45,E01014431,under 5
Other,19 -45,E01014439,under 5
Other,19 -45,E01014444,under 5
Other,19 -45,E01014447,under 5
Other,19 -45,E01014452,under 5
Other,19 -45,E01014464,under 5
Other,19 -45,E01014465,under 5
Other,19 -45,E01014473,under 5
Other,19 -45,E01014476,under 5
Other,19 -45,E01014480,under 5
Other,19 -45,E01014483,under 5
Other,46 - 65,E01014371,under 5
Other,46 - 65,E01014397,under 5
Other,46 - 65,E01014407,under 5
Other,46 - 65,E01014414,under 5
Other,46 - 65,E01014440,under 5
Other,46 - 65,E01014441,under 5
Other,46 - 65,E01014451,under 5
Other,46 - 65,E01014474,under 5
Other,66 - 85,E01014376,under 5
Other,66 - 85,E01014381,under 5
Other,66 - 85,E01014430,under 5
Other,66 - 85,E01014431,under 5
Other,66 - 85,E01014436,under 5
Other,66 - 85,E01014438,under 5
Other,66 - 85,E01014444,under 5
Other,66 - 85,E01014455,under 5
Other,66 - 85,E01014456,under 5
Other,66 - 85,E01014471,under 5
Other,66 - 85,E01014484,under 5
Other,85+,E01014435,under 5
RUH,0-18,E01014372,under 5
RUH,0-18,E01014382,under 5
RUH,0-18,E01014395,under 5
RUH,0-18,E01014419,under 5
RUH,19 -45,E01014384,under 5
RUH,66 - 85,E01014447,under 5
RUH,85+,E01014386,under 5
RUH,85+,E01014433,under 5
RUH,85+,E01014446,under 5
RUH,85+,E01014447,under 5
RUH,85+,E01014450,under 5
RUH,85+,E01014454,under 5
RUH,85+,E01014475,under 5
RUH,85+,E01014483,under 5
Other,0-18,E01014384,5
Other,0-18,E01014398,5
Other,0-18,E01014401,5
Other,0-18,E01014402,5
Other,0-18,E01014404,5
Other,0-18,E01014431,5
Other,0-18,E01014448,5
Other,19 -45,E01014371,5
Other,19 -45,E01014378,5
Other,19 -45,E01014379,5
Other,19 -45,E01014386,5
Other,19 -45,E01014397,5
Other,19 -45,E01014407,5
Other,19 -45,E01014419,5
Other,19 -45,E01014438,5
Other,19 -45,E01014449,5
Other,19 -45,E01014462,5
Other,46 - 65,E01014378,5
Other,46 - 65,E01014387,5
Other,46 - 65,E01014426,5
Other,46 - 65,E01014458,5
Other,46 - 65,E01014467,5
Other,66 - 85,E01014370,5
Other,66 - 85,E01014377,5
Other,66 - 85,E01014413,5
Other,66 - 85,E01014421,5
Other,66 - 85,E01014426,5
Other,66 - 85,E01014453,5
Other,66 - 85,E01014463,5
Other,66 - 85,E01014473,5
Other,85+,E01014370,5
Other,85+,E01014383,5
Other,85+,E01014398,5
RUH,0-18,E01014408,5
RUH,46 - 65,E01014406,5
RUH,46 - 65,E01014476,5
RUH,66 - 85,E01014466,5
RUH,85+,E01014402,5
RUH,85+,E01014414,5
RUH,85+,E01014427,5
RUH,85+,E01014434,5
RUH,85+,E01014449,5
RUH,85+,E01014468,5
RUH,85+,E01014474,5
RUH,85+,E01014476,5
Other,0-18,E01014385,6
Other,0-18,E01014396,6
Other,0-18,E01014399,6
Other,19 -45,E01014370,6
Other,19 -45,E01014383,6
Other,19 -45,E01014399,6
Other,19 -45,E01014403,6
Other,19 -45,E01014406,6
Other,19 -45,E01014409,6
Other,19 -45,E01014440,6
Other,19 -45,E01014446,6
Other,19 -45,E01014450,6
Other,19 -45,E01014471,6
Other,19 -45,E01014474,6
Other,19 -45,E01014475,6
Other,46 - 65,E01014386,6
Other,46 - 65,E01014404,6
Other,66 - 85,E01014392,6
Other,66 - 85,E01014399,6
Other,66 - 85,E01014404,6
Other,66 - 85,E01014422,6
Other,66 - 85,E01014448,6
Other,66 - 85,E01014452,6
Other,85+,E01014384,6
Other,85+,E01014404,6
RUH,0-18,E01014385,6
RUH,0-18,E01014392,6
RUH,0-18,E01014397,6
RUH,0-18,E01014407,6
RUH,0-18,E01014476,6
RUH,19 -45,E01014482,6
RUH,46 - 65,E01014383,6
RUH,46 - 65,E01014419,6
RUH,85+,E01014406,6
RUH,85+,E01014457,6
RUH,85+,E01014465,6
RUH,85+,E01014466,6
Other,19 -45,E01014380,7
Other,19 -45,E01014393,7
Other,19 -45,E01014420,7
Other,19 -45,E01014448,7
Other,46 - 65,E01014370,7
Other,46 - 65,E01014400,7
Other,46 - 65,E01014437,7
Other,46 - 65,E01014448,7
Other,66 - 85,E01014391,7
Other,66 - 85,E01014393,7
Other,66 - 85,E01014397,7
Other,66 - 85,E01014416,7
Other,66 - 85,E01014420,7
Other,85+,E01014459,7
RUH,0-18,E01014389,7
RUH,19 -45,E01014375,7
RUH,19 -45,E01014403,7
RUH,19 -45,E01014452,7
RUH,46 - 65,E01014484,7
RUH,85+,E01014375,7
RUH,85+,E01014388,7
RUH,85+,E01014420,7
RUH,85+,E01014442,7
RUH,85+,E01014462,7
Other,19 -45,E01014384,8
Other,19 -45,E01014401,8
Other,19 -45,E01014425,8
Other,19 -45,E01014463,8
Other,46 - 65,E01014399,8
Other,66 - 85,E01014378,8
Other,66 - 85,E01014395,8
Other,66 - 85,E01014398,8
Other,66 - 85,E01014401,8
Other,66 - 85,E01014418,8
RUH,0-18,E01014375,8
RUH,0-18,E01014391,8
RUH,0-18,E01014413,8
RUH,0-18,E01014418,8
RUH,0-18,E01014436,8
RUH,0-18,E01014481,8
RUH,19 -45,E01014385,8
RUH,19 -45,E01014386,8
RUH,19 -45,E01014388,8
RUH,19 -45,E01014413,8
RUH,19 -45,E01014416,8
RUH,19 -45,E01014422,8
RUH,19 -45,E01014453,8
RUH,46 - 65,E01014421,8
RUH,85+,E01014385,8
RUH,85+,E01014397,8
RUH,85+,E01014418,8
RUH,85+,E01014419,8
RUH,85+,E01014435,8
RUH,85+,E01014467,8
Other,19 -45,E01014396,9
Other,46 - 65,E01014402,9
Other,46 - 65,E01014403,9
Other,46 - 65,E01014463,9
Other,66 - 85,E01014386,9
Other,85+,E01014400,9
RUH,0-18,E01014381,9
RUH,0-18,E01014422,9
RUH,0-18,E01014424,9
RUH,0-18,E01014427,9
RUH,0-18,E01014484,9
RUH,19 -45,E01014377,9
RUH,19 -45,E01014389,9
RUH,19 -45,E01014392,9
RUH,19 -45,E01014395,9
RUH,19 -45,E01014410,9
RUH,19 -45,E01014454,9
RUH,46 - 65,E01014377,9
RUH,46 - 65,E01014381,9
RUH,46 - 65,E01014382,9
RUH,46 - 65,E01014385,9
RUH,46 - 65,E01014446,9
RUH,46 - 65,E01014482,9
RUH,46 - 65,E01014483,9
RUH,66 - 85,E01014383,9
RUH,66 - 85,E01014406,9
RUH,85+,E01014387,9
RUH,85+,E01014410,9
RUH,85+,E01014412,9
RUH,85+,E01014415,9
RUH,85+,E01014421,9
RUH,85+,E01014440,9
RUH,85+,E01014484,9
Other,0-18,E01014446,10
Other,19 -45,E01014372,10
Other,19 -45,E01014404,10
Other,19 -45,E01014414,10
Other,46 - 65,E01014418,10
Other,85+,E01014403,10
RUH,0-18,E01014393,10
RUH,0-18,E01014421,10
RUH,0-18,E01014460,10
RUH,0-18,E01014474,10
RUH,19 -45,E01014382,10
RUH,19 -45,E01014391,10
RUH,19 -45,E01014419,10
RUH,19 -45,E01014479,10
RUH,46 - 65,E01014384,10
RUH,46 - 65,E01014397,10
RUH,46 - 65,E01014422,10
RUH,46 - 65,E01014423,10
RUH,46 - 65,E01014473,10
RUH,66 - 85,E01014446,10
RUH,85+,E01014382,10
RUH,85+,E01014395,10
RUH,85+,E01014407,10
RUH,85+,E01014425,10
RUH,85+,E01014431,10
RUH,85+,E01014432,10
RUH,85+,E01014471,10
Other,0-18,E01014382,11
Other,19 -45,E01014418,11
Other,66 - 85,E01014396,11
Other,85+,E01014446,11
RUH,0-18,E01014386,11
RUH,0-18,E01014387,11
RUH,0-18,E01014403,11
RUH,0-18,E01014482,11
RUH,19 -45,E01014376,11
RUH,19 -45,E01014398,11
RUH,19 -45,E01014417,11
RUH,19 -45,E01014477,11
RUH,46 - 65,E01014394,11
RUH,46 - 65,E01014408,11
RUH,46 - 65,E01014410,11
RUH,46 - 65,E01014435,11
RUH,85+,E01014372,11
RUH,85+,E01014373,11
RUH,85+,E01014394,11
RUH,85+,E01014482,11
Other,46 - 65,E01014384,12
Other,46 - 65,E01014401,12
Other,66 - 85,E01014446,12
Other,85+,E01014447,12
RUH,0-18,E01014420,12
RUH,0-18,E01014452,12
RUH,0-18,E01014472,12
RUH,0-18,E01014479,12
RUH,19 -45,E01014421,12
RUH,19 -45,E01014429,12
RUH,19 -45,E01014460,12
RUH,46 - 65,E01014392,12
RUH,46 - 65,E01014393,12
RUH,46 - 65,E01014470,12
RUH,66 - 85,E01014384,12
RUH,85+,E01014384,12
RUH,85+,E01014399,12
RUH,85+,E01014422,12
RUH,85+,E01014441,12
RUH,85+,E01014461,12
Other,46 - 65,E01014396,13
Other,66 - 85,E01014383,13
Other,66 - 85,E01014384,13
Other,66 - 85,E01014385,13
Other,66 - 85,E01014400,13
Other,66 - 85,E01014402,13
Other,85+,E01014382,13
RUH,0-18,E01014377,13
RUH,0-18,E01014417,13
RUH,0-18,E01014428,13
RUH,0-18,E01014454,13
RUH,0-18,E01014468,13
RUH,19 -45,E01014408,13
RUH,19 -45,E01014435,13
RUH,19 -45,E01014465,13
RUH,19 -45,E01014472,13
RUH,46 - 65,E01014375,13
RUH,46 - 65,E01014388,13
RUH,46 - 65,E01014413,13
RUH,46 - 65,E01014418,13
RUH,46 - 65,E01014428,13
RUH,46 - 65,E01014468,13
RUH,46 - 65,E01014479,13
RUH,66 - 85,E01014435,13
RUH,66 - 85,E01014476,13
RUH,85+,E01014377,13
RUH,85+,E01014398,13
RUH,85+,E01014451,13
RUH,85+,E01014464,13
Other,19 -45,E01014390,14
Other,19 -45,E01014400,14
Other,46 - 65,E01014469,14
Other,85+,E01014396,14
RUH,0-18,E01014370,14
RUH,0-18,E01014400,14
RUH,0-18,E01014411,14
RUH,0-18,E01014431,14
RUH,0-18,E01014461,14
RUH,19 -45,E01014393,14
RUH,19 -45,E01014397,14
RUH,19 -45,E01014457,14
RUH,19 -45,E01014483,14
RUH,46 - 65,E01014424,14
RUH,46 - 65,E01014432,14
RUH,46 - 65,E01014438,14
RUH,46 - 65,E01014443,14
RUH,46 - 65,E01014454,14
RUH,46 - 65,E01014481,14
RUH,85+,E01014391,14
RUH,85+,E01014404,14
RUH,85+,E01014445,14
RUH,85+,E01014448,14
Other,19 -45,E01014402,15
Other,46 - 65,E01014446,15
Other,66 - 85,E01014439,15
RUH,0-18,E01014414,15
RUH,0-18,E01014430,15
RUH,0-18,E01014442,15
RUH,0-18,E01014475,15
RUH,19 -45,E01014380,15
RUH,19 -45,E01014401,15
RUH,19 -45,E01014428,15
RUH,19 -45,E01014430,15
RUH,19 -45,E01014443,15
RUH,46 - 65,E01014374,15
RUH,46 - 65,E01014380,15
RUH,46 - 65,E01014436,15
RUH,46 - 65,E01014457,15
RUH,46 - 65,E01014467,15
RUH,66 - 85,E01014433,15
RUH,85+,E01014429,15
RUH,85+,E01014478,15
Other,46 - 65,E01014447,16
RUH,0-18,E01014396,16
RUH,0-18,E01014401,16
RUH,0-18,E01014453,16
RUH,0-18,E01014471,16
RUH,19 -45,E01014370,16
RUH,19 -45,E01014374,16
RUH,19 -45,E01014434,16
RUH,46 - 65,E01014395,16
RUH,46 - 65,E01014427,16
RUH,46 - 65,E01014441,16
RUH,46 - 65,E01014444,16
RUH,66 - 85,E01014474,16
RUH,85+,E01014379,16
RUH,85+,E01014424,16
Other,66 - 85,E01014403,17
RUH,0-18,E01014374,17
RUH,0-18,E01014376,17
RUH,0-18,E01014409,17
RUH,0-18,E01014438,17
RUH,0-18,E01014456,17
RUH,0-18,E01014465,17
RUH,19 -45,E01014451,17
RUH,19 -45,E01014476,17
RUH,46 - 65,E01014386,17
RUH,46 - 65,E01014398,17
RUH,46 - 65,E01014400,17
RUH,46 - 65,E01014402,17
RUH,46 - 65,E01014409,17
RUH,46 - 65,E01014471,17
RUH,66 - 85,E01014444,17
RUH,85+,E01014389,17
RUH,85+,E01014456,17
RUH,85+,E01014469,17
RUH,85+,E01014481,17
RUH,0-18,E01014402,18
RUH,0-18,E01014412,18
RUH,0-18,E01014426,18
RUH,0-18,E01014434,18
RUH,0-18,E01014441,18
RUH,0-18,E01014443,18
RUH,19 -45,E01014436,18
RUH,46 - 65,E01014372,18
RUH,46 - 65,E01014389,18
RUH,46 - 65,E01014412,18
RUH,46 - 65,E01014431,18
RUH,46 - 65,E01014455,18
RUH,46 - 65,E01014477,18
RUH,66 - 85,E01014478,18
RUH,66 - 85,E01014482,18
RUH,85+,E01014437,18
RUH,85+,E01014460,18
RUH,0-18,E01014394,19
RUH,0-18,E01014398,19
RUH,0-18,E01014410,19
RUH,0-18,E01014416,19
RUH,0-18,E01014450,19
RUH,19 -45,E01014387,19
RUH,19 -45,E01014415,19
RUH,19 -45,E01014420,19
RUH,19 -45,E01014459,19
RUH,46 - 65,E01014373,19
RUH,46 - 65,E01014414,19
RUH,46 - 65,E01014417,19
RUH,46 - 65,E01014425,19
RUH,46 - 65,E01014433,19
RUH,46 - 65,E01014450,19
RUH,46 - 65,E01014465,19
RUH,66 - 85,E01014450,19
RUH,66 - 85,E01014462,19
RUH,66 - 85,E01014468,19
RUH,85+,E01014423,19
RUH,85+,E01014428,19
RUH,85+,E01014477,19
RUH,85+,E01014480,19
RUH,0-18,E01014405,20
RUH,0-18,E01014415,20
RUH,0-18,E01014457,20
RUH,0-18,E01014459,20
RUH,0-18,E01014483,20
RUH,19 -45,E01014431,20
RUH,19 -45,E01014439,20
RUH,19 -45,E01014481,20
RUH,46 - 65,E01014403,20
RUH,46 - 65,E01014466,20
RUH,66 - 85,E01014390,20
RUH,66 - 85,E01014408,20
RUH,66 - 85,E01014412,20
RUH,66 - 85,E01014419,20
RUH,66 - 85,E01014451,20
RUH,85+,E01014396,20
RUH,85+,E01014413,20
RUH,85+,E01014473,20
Other,46 - 65,E01014382,21
RUH,0-18,E01014373,21
RUH,0-18,E01014425,21
RUH,0-18,E01014473,21
RUH,0-18,E01014477,21
RUH,19 -45,E01014412,21
RUH,19 -45,E01014423,21
RUH,19 -45,E01014432,21
RUH,19 -45,E01014433,21
RUH,19 -45,E01014441,21
RUH,19 -45,E01014461,21
RUH,19 -45,E01014468,21
RUH,46 - 65,E01014396,21
RUH,46 - 65,E01014430,21
RUH,46 - 65,E01014442,21
RUH,46 - 65,E01014472,21
RUH,66 - 85,E01014420,21
RUH,66 - 85,E01014454,21
RUH,66 - 85,E01014461,21
RUH,66 - 85,E01014464,21
RUH,85+,E01014376,21
RUH,0-18,E01014432,22
RUH,0-18,E01014455,22
RUH,19 -45,E01014400,22
RUH,19 -45,E01014405,22
RUH,19 -45,E01014426,22
RUH,19 -45,E01014455,22
RUH,19 -45,E01014469,22
RUH,46 - 65,E01014371,22
RUH,46 - 65,E01014376,22
RUH,46 - 65,E01014387,22
RUH,46 - 65,E01014399,22
RUH,46 - 65,E01014461,22
RUH,46 - 65,E01014478,22
RUH,66 - 85,E01014382,22
RUH,66 - 85,E01014484,22
RUH,85+,E01014452,22
RUH,85+,E01014453,22
RUH,0-18,E01014388,23
RUH,0-18,E01014440,23
RUH,0-18,E01014444,23
RUH,19 -45,E01014371,23
RUH,19 -45,E01014406,23
RUH,19 -45,E01014424,23
RUH,19 -45,E01014425,23
RUH,19 -45,E01014484,23
RUH,46 - 65,E01014420,23
RUH,46 - 65,E01014434,23
RUH,46 - 65,E01014439,23
RUH,46 - 65,E01014456,23
RUH,46 - 65,E01014480,23
RUH,66 - 85,E01014385,23
RUH,66 - 85,E01014386,23
RUH,66 - 85,E01014449,23
RUH,66 - 85,E01014470,23
RUH,85+,E01014401,23
RUH,85+,E01014438,23
RUH,85+,E01014455,23
RUH,0-18,E01014399,24
RUH,0-18,E01014469,24
RUH,0-18,E01014480,24
RUH,19 -45,E01014427,24
RUH,19 -45,E01014449,24
RUH,19 -45,E01014467,24
RUH,46 - 65,E01014404,24
RUH,46 - 65,E01014475,24
RUH,66 - 85,E01014372,24
RUH,66 - 85,E01014407,24
RUH,66 - 85,E01014471,24
RUH,85+,E01014378,24
RUH,85+,E01014392,24
RUH,85+,E01014459,24
RUH,85+,E01014463,24
RUH,0-18,E01014448,25
RUH,0-18,E01014467,25
RUH,19 -45,E01014396,25
RUH,19 -45,E01014399,25
RUH,19 -45,E01014442,25
RUH,46 - 65,E01014391,25
RUH,46 - 65,E01014405,25
RUH,46 - 65,E01014415,25
RUH,46 - 65,E01014460,25
RUH,66 - 85,E01014387,25
RUH,66 - 85,E01014415,25
RUH,66 - 85,E01014418,25
RUH,66 - 85,E01014472,25
RUH,85+,E01014439,25
Other,66 - 85,E01014447,26
RUH,0-18,E01014433,26
RUH,0-18,E01014437,26
RUH,0-18,E01014439,26
RUH,19 -45,E01014378,26
RUH,19 -45,E01014394,26
RUH,19 -45,E01014407,26
RUH,19 -45,E01014456,26
RUH,19 -45,E01014478,26
RUH,46 - 65,E01014378,26
RUH,46 - 65,E01014451,26
RUH,66 - 85,E01014442,26
RUH,66 - 85,E01014475,26
RUH,85+,E01014417,26
Other,19 -45,E01014382,27
