FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Location,Latitude,Longitude,NewRatingPending,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
1050906,18/00136/MIXED,Magu,Takeaway/sandwich shop,7844,37 Moorland Road,Oldfield Park,Bath,Bath And North East Somerset,BA2 3PN,5,fhrs_5_en-gb,2019/02/15,5,5,5,"(51.377033, -2.378303)",51.377033,-2.378303,false,31,347,14,1,63
204007,15766/2000/2/000,Cameley Primary School,School/college/university,7845,Cameley C Of E Vc Primary School,Meadway,Temple Cloud,Bristol,BS39 5BD,4,fhrs_4_en-gb,2018/11/08,5,5,10,"(51.320924, -2.540973)",51.320924,-2.540973,false,2,270,20,1,7
204288,07760/1000/2/000,Paragon School,School/college/university,7845,Lyncombe Vale,Lyncombe,Bath,Bath And North East Somerset,BA2 4LT,5,fhrs_5_en-gb,2018/05/22,5,5,5,"(51.370506, -2.355135)",51.370506,-2.355135,false,33,575,12,1,110
577031,13/00082/MIXED,Shell Elm Tree,Retailers - other,4613,Elm Tree Filling Station,Wells Road,Westfield,,BA3 3UR,5,fhrs_5_en-gb,2018/09/12,0,0,0,"(51.284465789795, -2.4674890041351)",51.284465789795,-2.4674890041351,false,26,516,26,1,98
205403,15242/0077/0/000,Slow Boats,Takeaway/sandwich shop,7844,Slow Boats,77 Queens Road,Keynsham,Bristol,BS31 2NW,3,fhrs_3_en-gb,2018/05/16,10,5,10,"(51.408669, -2.508121)",51.408669,-2.508121,false,37,187,2,1,53
205451,08/00190/MIXED,Greenacres Court Extra Care,Caring Premises,5,Greenacres Day Centre  Greenacres C,Greenacres,Midsomer Norton,Radstock,BA3 2FJ,5,fhrs_5_en-gb,2018/05/08,0,0,0,"(51.285503, -2.496794)",51.285503,-2.496794,false,25,306,27,1,14
204308,10/00255/MIXED,Tesco,Retailers - supermarkets/hypermarkets,7840,Tesco Stores Limited,3 Bristol Road,Keynsham,,BS31 2BA,5,fhrs_5_en-gb,2019/06/11,0,5,0,"(51.417604, -2.500497)",51.417604,-2.500497,false,24,173,1,1,49
204493,15640/1200/2/000,Haynes,Takeaway/sandwich shop,7844,The Haynes,New Road,High Littleton,,BS39 6JH,5,fhrs_5_en-gb,2018/11/21,5,5,5,"(51.325492, -2.510917)",51.325492,-2.510917,false,3,139,23,1,42
205168,12680/4800/3/C01,Lloyds Pharmacy,Retailers - other,4613,Lloyds Pharmacy  Combe Down House,The Avenue,Combe Down,Bath,BA2 5EG,0,fhrs_exempt_en-gb,,,,,"(51.361021, -2.345597)",51.361021,-2.345597,false,19,109,18,1,37
205584,09/00174/MIXED,Moorfields Inn,Pub/bar/nightclub,7843,Moorfields Hotel,73 Third Avenue,Oldfield Park,Bath,BA2 3NZ,5,fhrs_5_en-gb,2014/03/20,5,5,5,"(51.374932, -2.377223)",51.374932,-2.377223,false,31,351,14,1,64
205073,12/00003/MIXED,Methodist Housing Association (MHA),Caring Premises,5,49 Church Court,Midsomer Norton,Radstock,Bath And North East Somerset,BA3 2JA,5,fhrs_5_en-gb,2015/09/09,5,5,5,"(51.285795, -2.487233)",51.285795,-2.487233,false,25,301,27,1,14
205012,03340/1700/2/000,St Teresa's Nursing Home,Caring Premises,5,St Teresas Nursing Home,Corston Lane,Corston,Bath,BA2 9AE,5,fhrs_5_en-gb,2019/03/20,5,5,5,"(51.389117, -2.440243)",51.389117,-2.440243,false,8,125,16,1,41
1005541,17/00284/MIXED,Boathouse,Pub/bar/nightclub,7843,Boathouse Restaurant,Newbridge Road,Newbridge,Bath,BA1 3NB,5,fhrs_5_en-gb,2018/01/19,5,5,5,"(51.391041, -2.408054)",51.391041,-2.408054,false,29,310,8,1,18
629802,13/00227/MIXED,Old Manor House Hotel,Hotel/bed & breakfast/guest house,7842,The Old Manor House Hotel,5 Bristol Road,Keynsham,Bristol,BS31 2BA,5,fhrs_5_en-gb,2018/07/19,5,5,5,"(51.417604, -2.500497)",51.417604,-2.500497,false,24,173,1,1,49
204643,11/00288/MIXED,Go Bananas At Writhlington,Restaurant/Cafe/Canteen,1,Writhlington Sports Centre  Writhli,Knobsbury Lane,Writhlington,Radstock,BA3 3NQ,5,fhrs_5_en-gb,2018/11/21,0,0,0,"(51.286159, -2.431242)",51.286159,-2.431242,false,12,416,24,1,78
1002174,17/00270/FOOD,Shona Bake Cake,Other catering premises,7841,9 Ashford Road,Moorlands,Bath,Bath And North East Somerset,BA2 2DH,0,fhrs_exempt_en-gb,,,,,"(51.371280670166, -2.3775379657745)",51.371280670166,-2.3775379657745,false,31,355,14,1,65
