URN,LA,ESTAB,LAESTAB,School,123Pref,AdmNo,2014/15,2013/14,2012/13
109154,800,3034,8003034,St Saviour's CofE Infant School,99,60,Breached to 90. 73 places offered,42 offers made,40 places offered
109153,800,3033,8003033,St Saviour's CofE Junior School,71,90,75 places offered  ,54 offers made,54 places offered
109258,800,3422,8003422,St Stephen's CofE Primary School,101,60,60 places offered up to Category 4 - furthest direct line distance in this category 1.823 miles. 3 preferences refused ,60 places offered up to Category 4 - furthest direct line distance in this category 0.489 miles. 12 preferences refused,60 places offered up to Category 4 - furthest direct line distance in this category 0.378 miles. 14 preferences refused
109205,800,3102,8003102,Saltford CofE Primary School,116,60,60 places offered up to Category C - furthest direct line distance in this category 1.114 miles. 13 preferences refused,47 offers made,60 places offered up to Category E - furthest direct line distance in this category 2.029 miles. 9 preferences refused
109236,800,3347,8003347,Shoscombe CofE Primary School,23,20,13 places offered,4 offers made,11 places offered
109004,800,2157,8002157,Southdown Junior School,44,45,39 places offered,26 offers made,30 places offered
109070,800,2248,8002248,Stanton Drew Primary School,12,10,4 places offered,7 offers made ,6 places offered
109206,800,3103,8003103,Swainswick CofE Primary School,30,12,9 places offered,12 places offered up to Category E - furthest direct line distance in this category 1.302 miles. 3 preferences refused,10 places offered
109007,800,2160,8002160,Twerton Infant School,46,60,41 places offered,52 offers made,40 places offered
109209,800,3106,8003106,Ubley Church of England Primary School,23,12,Breached to 13 places offered,9 offers made,11 places offered
109071,800,2249,8002249,Welton Primary School,44,28,22 places offered,22 offers made,13 places offered
109072,800,2250,8002250,Westfield Primary School,65,60,50 places offered ,47 offers made,40 places offered
109227,800,3125,8003125,Weston All Saints CofE Primary School,162,90,90 places offered up to Category C - furthest direct line distance in this category 0.875 miles. 23 preferences refused,87 offers made,90 places offered 
109073,800,2251,8002251,Whitchurch Primary School,89,30,30 places offered up to Category C - furthest direct line distance in this category 0.855 miles. 9 preferences refused,30 places offered up to Category E - furthest direct line distance in this category 0.663 miles. 8 preferences refused ,30 places offered up to Category E - furthest direct line distance in this category 0.599 miles. 14 preferences refused
109008,800,2162,8002162,Widcombe Infant School,190,60,60 places offered up to Category C - furthest direct line distance in this category 0.646 miles. 36 preferences refused,60 places offered up to Category D - furthest direct line distance in this category 0.680 miles. 21 preferences refused,60 places offered up to and including Category C. 21 preferences refused
109259,800,3423,8003423,Widcombe CofE Junior School,82,60,60 places offered up to and including Category 5. 11 preferences refused,60 places offered up to and including Category 6. 7 preferences refused,60 places offered up to Category 5 - furthest direct line distance in this category 0.166 miles. 6 preference refused
