Image,GPSLocationAltitude,GPSLocationAccuracy,VillageWard,AccessStreet,LocationDescription,AssetNo,BinType,Location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu5vT9goM.jpg,190,10,Westfield,Wells road,By Co-op on Westfield shops,0,Knight,"(51.287007, -2.465323)",26,510,26,1,97
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm9-owQsM.jpg,149,10,Midsomer Norton,High street,Upper benches of the hollies,0,Other,"(51.286193, -2.481944)",11,291,25,1,11
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm_fO0wkM.jpg,19.2,5,City Centre,Green Park Rd,Opposite multistorey section of Avon Street car park,BB,Big Belly,"(51.378363, -2.362893)",35,14,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6G_mAsM.jpg,200,30,Tunley,B3115,Tunley. By phone box B3115,Unknown,,"(51.333606, -2.439365)",9,66,22,1,28
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA27LO8QoM.jpg,122,10,Southdown,The hollow,Brick fields park playing fields and gate to path to Dartmouth avenue,0,Knight,"(51.376605, -2.386011)",32,532,13,1,101
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgueWfngkM.jpg,121,5,Southdown,Mount Road,Outside old toilet block near play area opposite Roundhill Grove junction,LB0376,Jubilee,"(51.368688, -2.394829)",27,446,15,1,84
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4P8lAsM.jpg,158,10,Writhlington,Manor park,#11,0,Knight,"(51.290559, -2.430167)",12,414,24,1,78
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6KF5wgM.jpg,89,10,Keynsham,Sherwood Road,York house,0,Knight,"(51.411393, -2.500386)",37,180,2,1,52
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA64nWhggM.jpg,82,10,Oldfield Park,Lower Oldfield park,Junction of lower Oldfield park and junction road,Bath Spa,Jubilee,"(51.377639, -2.373809)",33,565,12,1,112
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh9KN3gsM.jpg,124,10,Bathford,Bathford hill,Bathford play space,0,Knight,"(51.400957, -2.299974)",1,43,10,1,26
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-5bzhAkM.jpg,126,10,Bathwick,North parade road,Leisure center car park by pay and display machine in undercover part near rugby ground,0,Other,"(51.382456, -2.353741)",35,3,7,1,21
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgqZPJ0AoM.jpg,165,10,Combe Down,Bradford Road,"Bus stop at junction of Bradford Road, Foxhill and Cleevedale Road",LB0359,Jubilee,"(51.359251, -2.357533)",19,121,18,1,36
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6b50gkM.jpg,104,30,Oldfield Park,Livingstone road,Bottom of Livingstone road by bus stop,0,Knight,"(51.377643, -2.378711)",31,346,14,1,63
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICg4cHKhAgM.jpg,31.6,5,Newbridge,Newbridge Road,Charmouth Road bus stop,LB0323,Leafield,"(51.385152, -2.395852)",29,323,8,1,17
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-5v9uQsM.jpg,174,10,Upper Weston,Pen hill road,Weston rec by the footpath from southlands bus stop,0,,"(51.395395, -2.393604)",20,545,5,1,108
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh4TuwQoM.jpg,87,10,Chew Magna,South Parade,By CO-OP,Unknown,Knight,"(51.365933, -2.610602)",6,81,21,1,31
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm8q--AgM.jpg,129,30,City Centre,Milsum street,Top of milsum street,0,Big Belly,"(51.38474, -2.361783)",35,11,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4-u3wgM.jpg,235,10,Peasedown St John,Ashgrove,Peasedown st John. Ashgrove by bus shelter and post box,Unknown,Jubilee,"(51.317975, -2.421849)",15,395,22,1,71
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA0-XziAkM.jpg,228.4,5,Lansdown,Lansdown Hill,Lansdown Cemetery,LB0153,Leafield,"(51.405714, -2.376624)",21,233,7,1,1
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy4eR9AgM.jpg,202,10,Combe Down,The firs,Near entrance to park from north road,0,,"(51.361221, -2.347958)",19,117,18,1,38
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm7uCrAgM.jpg,114,10,Widcombe,Claverton street,Half penny bridge on widcombe end,0,Jubilee,"(51.376638, -2.356178)",33,567,12,1,109
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA0-XziAoM.jpg,36.1,5,Lyncombe,Wells Road,Footpath to Magdalen Avenue by traffic crossing,LB0180,Leafield,"(51.377015, -2.365833)",33,561,12,1,109
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh9KN4QoM.jpg,124,30,Lansdown,Belvedere,Hedgemead park entrance off lower Hedgemead road,0,,"(51.390104, -2.359308)",21,245,7,1,59
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6KFhwkM.jpg,106,10,City Centre,Charlotte street,Footpath through area E of Charlotte street car park,0,Other,"(51.384572, -2.369308)",34,209,9,1,115
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA28eMyAkM.jpg,134,30,Claverton,Warminster road,Claverton lay by city bound,0,Knight,"(51.37634, -2.30382)",1,49,10,1,27
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgsdfu-AoM.jpg,65.7,5,Dunkerton,A367,"By bus stop, Northbound Bath side, at Dunkerton bridge opposite cottages",LB0119,Leafield,"(51.334315, -2.409406)",9,65,22,1,28
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-8_CnwkM.jpg,183,30,Lansdown,Belvedere,Hedgemead park playground by ivy wall,0,Knight,"(51.38798, -2.360118)",35,17,7,1,22
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA6-yiwAoM.jpg,23,10,Keynsham,Dapps hill,Dapps hill by river,0,Knight,"(51.410227, -2.494506)",16,156,3,1,45
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu7HB0AkM.jpg,67,10,,Midland road,Riverside by Midland road,0,Knight,"(51.384517, -2.376385)",34,205,9,1,115
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu_fk3AoM.jpg,136,30,City Centre,Stall street,Between Costa and pret,0,,"(51.381508, -2.360744)",35,10,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5bX-wsM.jpg,172,10,West Harptree,A368.Bath Road.,Outside shop,Unknown,Jubilee,"(51.309305, -2.630887)",2,274,21,1,6
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu52ingsM.jpg,123,30,,St James street,St James street outside chemist & #8,0,Knight,"(51.388472, -2.367582)",34,199,9,1,115
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgwb6tvAkM.jpg,44.8,10,Weston,Weston Park,Bus stop opposite Savile House,LB0392,Jubilee,"(51.392633, -2.384825)",20,547,5,1,107
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu9OSlAkM.jpg,132,10,Camerton,Daglands,Daglands. On green by Camerton hill,Unknown,Jubilee,"(51.317959, -2.459187)",9,63,22,1,28
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh9quwAoM.jpg,172,10,Clutton,Station road,-,Unknown,Other,"(51.330617, -2.540338)",5,99,20,1,35
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgsaPGzgkM.jpg,118.5,5,Haydon,Grovewood Road,Inside play area,LB0140,Leafield,"(51.284625, -2.45271)",12,419,24,1,79
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgueWJ5QkM.jpg,172.9,10,Lansdown,Lansdown Road,Hamilton Road bus stop north bound,LB0217,Jubilee,"(51.397762, -2.367794)",21,234,7,1,1
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA0_yEhwoM.jpg,210,10,Bear Flat,Shakespeare road,Alexandra park overlooking allotments,0,Knight,"(51.374053, -2.358059)",33,573,12,1,111
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh_C5swgM.jpg,84,10,,London road,London road opposite Kensington cottages,0,Jubilee,"(51.392731, -2.350238)",36,487,6,1,95
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy5b29gsM.jpg,14.7,10,Keynsham,Keynsham Memorial Park,Near Pavilion by river bridge,LB0160,Leafield,"(51.414828, -2.495079)",24,158,1,1,49
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA0-XzqAgM.jpg,15.9,5,Saltford,The Shallows,"The Shallows, Saltford, by information board and picnic bench",LB0032,Jubilee,"(51.403371, -2.450963)",17,426,16,1,80
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-7qLswoM.jpg,162,10,Bear Flat,Shakespeare road,Alexandra park by toilets,0,Knight,"(51.373923, -2.361007)",18,266,17,1,3
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICg8aCn8AkM.jpg,72.2,5,Weston,Weston Recreation Ground,Outside play area,LB0189,Jubilee,"(51.396462, -2.396543)",29,312,8,1,18
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA27LO4QgM.jpg,180,10,Paulton,Ham lane,Ham lane and brookside junc,0,Knight,"(51.305921, -2.496757)",13,366,23,1,69
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu9_l5wsM.jpg,143,30,Lansdown,Belvedere,Hedgemead park beyond playground on left fork by steps,0,Knight,"(51.389037, -2.360554)",21,245,7,1,59
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-4LjuQoM.jpg,113,10,,Upper church street,Junc of upper church street and royal crescent,0,,"(51.386448, -2.366773)",34,200,9,1,115
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgoYW35wsM.jpg,38.8,10,City Centre,Charlotte Street Car Park,Zone C steps leading to sports facilities,LB0330,Leafield,"(51.384909, -2.367159)",34,209,9,1,115
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgue7zhggM.jpg,93.8,5,Southdown,The Hollow,Junction of Kelston View and The Hollow,LB0378,Jubilee,"(51.374357, -2.394501)",27,476,11,1,89
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-4-VrAoM.jpg,94,10,,Bellots road,Bottom of bellots road where it meets linear park,0,Other,"(51.381733, -2.382269)",32,578,13,1,103
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA27mdwQsM.jpg,148,10,Bloomfield,Bloomfield road,Junc of Bloomfield park and Bloomfield road,0,,"(51.369312, -2.367874)",18,257,17,1,5
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA64nW6gkM.jpg,171,10,Midsomer Norton,Northmead road,Thicket mead roundabout,0,Knight,"(51.292898, -2.493446)",11,281,25,1,10
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-4LjuQgM.jpg,60,10,City Centre,Green park road,Near junc with Avon street,0,Brunel,"(51.378923, -2.363808)",34,196,9,1,55
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy7Cz-gsM.jpg,98,10,Chelwood,A368,By post box on A368,Unknown,,"(51.355437, -2.526013)",5,94,20,1,34
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA687l2wsM.jpg,77,10,,A4175,Two rivers way car park,0,Knight,"(51.418661, -2.493708)",24,161,1,1,48
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu9OSxAsM.jpg,208,10,Odd Down,Rush hill,Somerdale view bus stop opposite hand car wash,0,Knight,"(51.362147, -2.385014)",30,576,19,1,62
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgqZPJ0AsM.jpg,24.9,10,Bathwick,Bathwick St/ Henrietta Road,On the junction of Bathwick St and Henrietta Road,LB0345,Jubilee,"(51.387399, -2.353903)",35,19,7,1,21
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA276htAsM.jpg,215,10,Peasedown St John,Under Knoll,Peasedown st john. Under Knoll. Opp number 69,Unknown,Knight,"(51.320874, -2.415257)",15,390,22,1,70
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-9LHzAoM.jpg,66,5,Lansdown,Julian Road,By post and phone box opposite Bath Domestic Appliances,LB0142,Leafield,"(51.387971, -2.36364)",21,247,7,1,2
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy9Sp8gsM.jpg,83,10,City Centre,Avon street,Avon street coach park by wall,0,Other,"(51.378938, -2.363652)",34,196,9,1,55
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu7Sb4QkM.jpg,148,10,,Kelston view,Kelston view,0,Knight,"(51.376012, -2.401236)",28,474,11,1,90
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu7SbvgoM.jpg,182,30,Midsomer Norton,Pit road,Top of pit road,0,Other,"(51.285365, -2.474159)",26,513,26,1,100
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu-f08wsM.jpg,66,10,Newbridge,Brassmill lane,"Brassmill lane, Avon park bus stop",0,,"(51.38342, -2.398349)",29,321,8,1,17
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA166W5AkM.jpg,20,10,Westmoreland,Lower Bristol Road,Outside Bath Signs/Garden Machinery Shop by post box,LB0125,Leafield,"(51.379395, -2.370092)",33,561,12,1,109
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA05_67wkM.jpg,63,10,,Wells road,Top of car park ramp at bottom of wells road,0,Brunel,"(51.377158, -2.362155)",33,567,12,1,109
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAi7vLowsM.jpg,120,10,City Centre,Corn street,Avon street car park lift/stairs,0,Other,"(51.378866, -2.361624)",35,14,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6KFhwoM.jpg,102,10,City Centre,Corn street,Avon street car park lift/stairs,0,Other,"(51.378875, -2.362121)",35,14,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh_C5rwoM.jpg,160.9,5,Peasedown St John,Albert Avenue,On the green at the top,LB0065,Jubilee,"(51.31296, -2.429198)",15,388,22,1,73
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh7nYrgsM.jpg,119,10,Twerton,Freeview road,Entrance to innox park from freeview road,0,,"(51.377987, -2.394042)",28,469,11,1,89
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu-DF3woM.jpg,109,10,Keynsham,Bristol road,Hicksgate,0,Knight,"(51.423998, -2.518556)",24,161,1,1,48
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh7StlQkM.jpg,185,10,City Centre,Milsum street,Milsum street and upper borough walls,0,,"(51.38295, -2.36096)",35,11,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-5bftQoM.jpg,77.972927,10,Bear Flat,Bear Flats/Wellsway,The Bear Pub,LB0007,Jubilee,"(51.373886, -2.36633)",18,264,17,1,3
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6KFpwsM.jpg,182,10,Midsomer Norton,hillside avenue,Opposite #81,0,Knight,"(51.280524, -2.496756)",25,292,27,1,14
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh8TZ0AkM.jpg,85,10,Newbridge,Rudmore park,Dog bin half way across the park,0,,"(51.385622, -2.398553)",29,320,8,1,17
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4_uwAsM.jpg,89,10,Keynsham,Queens road,Outside #11 by playing field,0,,"(51.409974, -2.509184)",24,165,1,1,48
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAq6DrswoM.jpg,171,10,Farmborough,Brookside Drive,Brookside drive,Unknown,Knight,"(51.343432, -2.491796)",8,128,16,1,40
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu6nzvAkM.jpg,60,10,,Pulteney road,Outside probation services,0,Jubilee,"(51.381064, -2.351281)",22,76,12,1,30
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu6bMrgsM.jpg,81,10,Lower Swainswick,Gloucester road,Alice park play area,0,Knight,"(51.397462, -2.340981)",23,220,4,1,58
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA29Tb2wkM.jpg,39,10,Saltford,The shallows,The shallows toilets,0,Knight,"(51.403625, -2.451606)",17,426,16,1,80
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy6C8-QsM.jpg,230,10,Timsbury,Greenvale drive,Timsbury   greenvale drive junction st johns road,Unknown,Knight,"(51.322585, -2.479473)",14,462,16,1,87
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA88bB2QsM.jpg,149,10,East Harptree,Middle street,Layby at Grey Hollow,Unknown,Knight,"(51.299991, -2.623645)",2,272,21,1,6
